pdf_file,status,error,report_dir,appendix_found,candidate_pages,raw_row_count,total_fields,extracted_fields,missing_fields,coverage_rate,unknown_metrics
000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告,True,44;45;46;47;48;49;50;51;52;53;54;55;56;57,325,68,38,30,0.5588,230
000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告,True,32;33;34;35;36;37;38;39;40;41;42;43;44;45,200,68,26,42,0.3824,104
002083_孚日股份_2025_孚日股份：社会责任报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\003_002083_孚日股份_2025_孚日股份：社会责任报告,True,39;40;41;42;43;44;45;46;47;48;49;50,121,68,33,35,0.4853,63
002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告,True,49;50;51;52;53;54;55;56;57;58;59;60;61;62,266,68,21,47,0.3088,183
002302_西部建设_2024_西部建设：2024年度环境、社会和公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\005_002302_西部建设_2024_西部建设：2024年度环境、社会和公司治理（ESG）报告,True,42;43;44;45;46;47;48;49;50;51;52;53;54;55,186,68,27,41,0.3971,126
002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\006_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告,True,40;41;42;43;44;45;46;47;48;49;50;51;52;53,218,68,24,44,0.3529,152
002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\007_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告,True,21;22;23;24;25;26;27;28;29;30;31;32;33,117,68,17,51,0.25,81
002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告,True,39;40;41;42;43;44;45;46;47;48;49;50;51;52,333,68,31,37,0.4559,185
002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\009_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告,True,74;75;76;77;78;79;80;81;82;83;84;85;86;87,119,68,14,54,0.2059,62
002913_奥士康_2025_奥士康：社会责任报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\010_002913_奥士康_2025_奥士康：社会责任报告,True,93;94;95;96;97;98;99;100;101;102;103;104;105;106,582,68,29,39,0.4265,375
002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\011_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告,True,29;30;31;32;33;34;35;36;37;38;39;40;41;42,311,68,28,40,0.4118,229
600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\012_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,True,20;21;22;23;24;25;26;27;28;29;30;31;32;33,107,68,16,52,0.2353,51
