report_name,route_a_success,appendix_found,raw_row_count,route_a_extracted_fields,route_a_total_fields,route_a_coverage_rate,unknown_metrics,route_b_available,route_b_matched_fields,route_b_filled_fields,merged_extracted_fields,merged_total_fields,merged_coverage_rate
001_000858_五_粮_液_2024_五_粮_液_2024年度环境、社会及公司治理（ESG）报告,True,True,325,38,68,0.5588,230,True,5,5,41,68,0.6029
002_000923_河钢资源_2024_河钢资源_2024年度环境、社会及公司治理报告,True,True,200,26,68,0.3824,104,True,5,5,30,68,0.4412
003_002083_孚日股份_2025_孚日股份_社会责任报告,True,True,121,33,68,0.4853,63,False,0,0,29,68,0.4265
004_002249_大洋电机_2024_大洋电机_大洋电机2024年度环境、社会及公司治理（ESG）报告,True,True,266,21,68,0.3088,183,True,5,5,25,68,0.3676
005_002302_西部建设_2024_西部建设_2024年度环境、社会和公司治理（ESG）报告,True,True,186,27,68,0.3971,126,True,4,4,26,68,0.3824
006_002431_棕榈股份_2024_棕榈股份_棕榈股份2024年度环境、社会及公司治理（ESG）报告,True,True,218,24,68,0.3529,152,True,4,4,28,68,0.4118
007_002486_嘉麟杰_2024_嘉麟杰_2024年社会责任报告,True,True,117,17,68,0.25,81,True,4,4,20,68,0.2941
008_002649_博彦科技_2024_博彦科技_2024年度环境、社会及公司治理（ESG）报告,True,True,333,31,68,0.4559,185,True,5,5,34,68,0.5
009_002811_郑中设计_2024_郑中设计_2024年度环境、社会及公司治理（ESG）报告,True,True,119,14,68,0.2059,62,True,2,2,17,68,0.25
010_002913_奥士康_2025_奥士康_社会责任报告,True,True,582,29,68,0.4265,375,True,5,5,28,68,0.4118
011_002939_长城证券_2024_长城证券_2024年度社会责任暨环境、社会及公司治理（ESG）报告,True,True,311,28,68,0.4118,229,True,5,5,29,68,0.4265
012_600713_南京医药_2024_南京医药_南京医药2024年环境、社会和公司治理（ESG）报告,True,True,107,16,68,0.2353,51,True,3,3,20,68,0.2941
