report_name,standard_row_count,merged_row_count,unknown_row_count,route_b_available,route_b_matched_fields,needs_schema_rerun,needs_route_b,needs_merge,should_skip_route_b,suggested_actions,warnings
000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告,0,0,0,True,5,True,False,True,False,run_route_a_full_pipeline | rerun_schema_match | run_merge,route_a_cache_missing
000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告,0,0,0,True,5,True,False,True,False,run_route_a_full_pipeline | rerun_schema_match | run_merge,route_a_cache_missing
001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告,68,68,233,True,5,False,False,False,False,ready,
002083_孚日股份_2025_孚日股份：社会责任报告,0,0,0,False,0,True,False,True,True,run_route_a_full_pipeline | rerun_schema_match | skip_route_b | run_merge,route_a_cache_missing
002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告,0,0,0,True,5,True,False,True,False,run_route_a_full_pipeline | rerun_schema_match | run_merge,route_a_cache_missing
002302_西部建设_2024_西部建设：2024年度环境、社会和公司治理（ESG）报告,0,0,0,True,5,True,False,True,False,run_route_a_full_pipeline | rerun_schema_match | run_merge,route_a_cache_missing
002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告,0,0,0,True,4,True,False,True,False,run_route_a_full_pipeline | rerun_schema_match | run_merge,route_a_cache_missing
002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告,0,0,0,True,4,True,False,True,False,run_route_a_full_pipeline | rerun_schema_match | run_merge,route_a_cache_missing
002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告,0,0,0,True,5,True,False,True,False,run_route_a_full_pipeline | rerun_schema_match | run_merge,route_a_cache_missing
002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告,0,0,0,True,3,True,False,True,False,run_route_a_full_pipeline | rerun_schema_match | run_merge,route_a_cache_missing
002913_奥士康_2025_奥士康：社会责任报告,0,0,0,True,5,True,False,True,False,run_route_a_full_pipeline | rerun_schema_match | run_merge,route_a_cache_missing
002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告,0,0,0,True,5,True,False,True,False,run_route_a_full_pipeline | rerun_schema_match | run_merge,route_a_cache_missing
002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告,68,68,105,True,5,False,False,False,False,ready,
003_002083_孚日股份_2025_孚日股份：社会责任报告,68,68,68,False,0,False,False,False,True,skip_route_b | ready,
004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告,68,68,184,True,5,False,False,False,False,ready,
005_002302_西部建设_2024_西部建设：2024年度环境、社会和公司治理（ESG）报告,68,68,133,True,4,False,False,False,False,ready,
006_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告,68,68,148,True,4,False,False,False,False,ready,
007_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告,68,68,83,True,4,False,False,False,False,ready,
008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告,68,68,190,True,5,False,False,False,False,ready,
009_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告,68,68,53,True,2,False,False,False,False,ready,
010_002913_奥士康_2025_奥士康：社会责任报告,68,68,387,True,5,False,False,False,False,ready,
011_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告,68,68,240,True,5,False,False,False,False,ready,
012_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,68,68,51,True,3,False,False,False,False,ready,
600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,0,0,0,True,3,True,False,True,False,run_route_a_full_pipeline | rerun_schema_match | run_merge,route_a_cache_missing
