pdf_file,status,error,report_dir,appendix_found,candidate_pages,raw_row_count,total_fields,extracted_fields,missing_fields,coverage_rate,unknown_metrics,needs_route_b2,route_b2_reason
000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\013_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告,True,49;50;51;52;53;54;55;56;57,186,60,19,41,0.3167,137,False,
000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\014_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告,True,11;12;13;14;27;28;29;30;35;36;37;38;42;43;44;45,157,60,18,42,0.3,98,False,
002083_孚日股份_2025_孚日股份：社会责任报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\015_002083_孚日股份_2025_孚日股份：社会责任报告,False,,0,60,0,60,0.0,0,True,route_a_extracted_below_18
002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\016_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告,True,4;5;6;7;30;31;32;33;56;57;58;59;60;61;62,196,60,22,38,0.3667,142,False,
002302_西部建设_2024_西部建设：2024年度环境、社会和公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\017_002302_西部建设_2024_西部建设：2024年度环境、社会和公司治理（ESG）报告,True,13;14;15;16;17;38;39;40;41;48;49;50;51;52;53;54;55,180,60,10,50,0.1667,161,True,route_a_extracted_below_18
002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\018_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告,True,7;8;9;10;23;24;25;26;40;41;42;43;48;49;50;51;52;53,125,60,12,48,0.2,104,True,route_a_extracted_below_18
002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\019_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告,True,14;15;16;17;18;19;20;21;22;23;24;25;30;31;32;33,64,60,11,49,0.1833,52,True,route_a_extracted_below_18
002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\020_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告,True,6;7;8;9;46;47;48;49;50;51;52,178,60,23,37,0.3833,102,False,
002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\021_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告,True,8;9;10;11;47;48;49;50;51;52;60;61;62;63;77;78;79;80;82;83;84;85,123,60,17,43,0.2833,68,True,route_a_extracted_below_18
002913_奥士康_2025_奥士康：社会责任报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\022_002913_奥士康_2025_奥士康：社会责任报告,True,44;45;46;47;91;92;93;94;95;96;100;101;102;103;104,322,60,16,44,0.2667,198,True,route_a_extracted_below_18
002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\023_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告,True,16;17;18;19;22;23;24;25;36;37;38;39;40;41;42,153,60,12,48,0.2,126,True,route_a_extracted_below_18
002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,True,19;20;21;22;24;25;26;27;28;29;42;43;44;45;52;53;54;55,127,60,12,48,0.2,111,True,route_a_extracted_below_18
600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告,True,17;18;19;20;26;27;28;29;30;31;32;33;35;36;37;38,108,60,16,44,0.2667,90,True,route_a_extracted_below_18
600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\003_600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告,True,11;12;13;14;17;18;19;20;30;31;32;33;34;35;36;37;38;39;40;41;42,271,60,21,39,0.35,233,False,
600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告,True,2;3;4;5;6;7;8;9;18;19;20;21;43;44;45;46;48;49;50;51,120,60,17,43,0.2833,90,True,route_a_extracted_below_18
600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告,True,32;33;34;35;37;38;39;40;57;58;59;60;61;62,208,60,18,42,0.3,63,False,
600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告,True,34;35;36;37;38;39;40;41;64;65;66;67;68,192,60,26,34,0.4333,130,False,
600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\007_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,True,12;13;14;15;16;17;18;19;20;21;22;23;24;30;31;32;33,79,60,15,45,0.25,41,True,route_a_extracted_below_18
600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\024_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,True,12;13;14;15;16;17;18;19;20;21;22;23;24;30;31;32;33,63,60,15,45,0.25,47,True,route_a_extracted_below_18
600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\008_600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告,True,10;11;12;13;20;21;22;23;29;30;31;32;33;34;39;40;41;42,126,60,17,43,0.2833,101,True,route_a_extracted_below_18
600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\009_600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告,True,6;7;8;9;36;37;38;39;40;44;45;46;47;48,69,60,11,49,0.1833,58,True,route_a_extracted_below_18
600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\010_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告,True,5;6;7;8;9;10;11;12;20;21;22;23;24;25;26;27;28;29;30;31;32,68,60,3,57,0.05,64,True,route_a_extracted_below_18
601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\011_601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告,True,16;17;18;19;20;21;53;54;55;56;57;58,256,60,24,36,0.4,176,False,
603079_圣达生物_2024_圣达生物：浙江圣达生物药业股份有限公司2025年度环境、社会及公司治理（ESG）报告.pdf,success,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\012_603079_圣达生物_2024_圣达生物：浙江圣达生物药业股份有限公司2025年度环境、社会及公司治理（ESG）报告,True,8;9;10;11;15;16;17;18;34;35;36;37;39;40;41;42;43,160,60,7,53,0.1167,144,True,route_a_extracted_below_18
