index,field_key,name_cn,category,indicator_type
1,total_ghg_emissions,温室气体排放总量,E,quantitative
2,ghg_emissions_intensity,温室气体排放强度,E,quantitative
3,scope_1_emissions,范围一温室气体排放量,E,quantitative
4,scope_2_emissions,范围二温室气体排放量,E,quantitative
5,energy_consumption_total,能源消耗总量,E,quantitative
6,energy_consumption_intensity,能源消耗强度,E,quantitative
7,natural_gas_consumption,天然气消耗量,E,quantitative
8,electricity_consumption,用电量,E,quantitative
9,water_consumption,用水量,E,quantitative
10,wastewater_discharge,废水排放量,E,quantitative
11,air_pollutant_emissions,废气或大气污染物排放量,E,quantitative
12,non_hazardous_waste,一般废弃物产生量,E,quantitative
13,hazardous_waste,危险废弃物产生量,E,quantitative
14,environmental_investment,环保投入金额,E,quantitative
15,environmental_penalty_count,环境违规或处罚事件数量,E,quantitative
16,total_employees,员工总数,S,quantitative
17,male_employees,男性员工人数,S,quantitative
18,female_employees,女性员工人数,S,quantitative
19,female_employee_ratio,女性员工比例,S,quantitative
20,employee_turnover_rate,员工流失率,S,quantitative
21,training_total_hours,员工培训总时长,S,quantitative
22,training_hours_per_employee,人均培训时长,S,quantitative
23,training_coverage_rate,员工培训覆盖率,S,quantitative
24,social_security_coverage,社会保险覆盖率,S,quantitative
25,employee_medical_checkup_coverage,员工体检覆盖率,S,quantitative
26,trained_employees_count,受训员工人数,S,quantitative
27,safety_accident_count,安全生产事故数量,S,quantitative
28,occupational_health_safety_investment,安全生产投入,S,quantitative
29,safety_emergency_drill_count,安全应急演练次数,S,quantitative
30,lost_work_days_due_to_injury,因工伤损失工作日数,S,quantitative
31,r_and_d_personnel_count,研发人员数量,S,quantitative
32,r_and_d_expense,研发投入金额,S,quantitative
33,public_welfare_investment,公益投入金额,S,quantitative
34,board_size,董事会人数,G,quantitative
35,independent_directors,独立董事人数,G,quantitative
36,independent_director_ratio,独立董事比例,G,quantitative
37,female_directors,女性董事人数,G,quantitative
38,board_meetings,董事会会议次数,G,quantitative
39,shareholder_meetings,股东大会会议次数,G,quantitative
40,anti_corruption_training_sessions,反腐败培训次数,G,quantitative
41,anti_corruption_training_participants,反腐败培训人数,G,quantitative
42,confirmed_corruption_cases,确认腐败案件数量,G,quantitative
43,esg_strategy_targets,ESG战略目标,E,qualitative
44,climate_risk_management,气候风险识别与管理,E,qualitative
45,environmental_management_system,环境管理体系,E,qualitative
46,energy_saving_measures,节能减排措施,E,qualitative
47,water_management_measures,水资源管理措施,E,qualitative
48,waste_management_measures,废弃物管理措施,E,qualitative
49,employee_rights_policy,员工权益保障政策,S,qualitative
50,occupational_health_safety_system,职业健康安全管理体系,S,qualitative
51,employee_training_development,员工培训与发展机制,S,qualitative
52,diversity_equal_opportunity,多元化与平等雇佣政策,S,qualitative
53,supplier_esg_assessment,供应商ESG管理机制,S,qualitative
54,data_security_privacy,数据安全与隐私保护机制,S,qualitative
55,board_esg_oversight,董事会ESG监督机制,G,qualitative
56,esg_committee,ESG治理架构或委员会,G,qualitative
57,anti_corruption_policy,反腐败政策,G,qualitative
58,whistleblowing_mechanism,举报机制与举报人保护,G,qualitative
59,business_ethics_training,商业道德培训机制,G,qualitative
60,investor_communication,信息披露与投资者沟通机制,G,qualitative
