metric_name,count,suggested_action,suggested_field_key,suggested_name_cn,suggested_alias,score,validator_status,validator_reason,unit,topic_examples,table_title_examples,page_examples,report_examples,candidate_details
废水排放总量,4,review_add_alias_or_rule,wastewater_discharge,废水排放量,废水排放总量,1.0,accepted,schema_match_validated,万吨;立方米,水污染物;水资源利用,污染物排放;量化数据绩效表-环境绩效;水资源利用,page_51.png;page_51_left.png;page_37.png;page_58.png,001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告;002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告;005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告,"[{""field_key"": ""wastewater_discharge"", ""name_cn"": ""废水排放量"", ""alias"": ""废水排放总量"", ""score"": 1.0, ""validator_status"": ""accepted"", ""validator_reason"": ""schema_match_validated""}]"
研发人员人数,3,review_add_alias_or_rule,r_and_d_personnel_count,研发人员数量,研发人员人数,1.0,accepted,schema_match_validated,人,,社会绩效;研发创新,page_49_left.png;page_60.png;page_60_left.png,003_002083_孚日股份_2025_孚日股份：社会责任报告;004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""r_and_d_personnel_count"", ""name_cn"": ""研发人员数量"", ""alias"": ""研发人员人数"", ""score"": 1.0, ""validator_status"": ""accepted"", ""validator_reason"": ""schema_match_validated""}]"
社会公益投入,3,review_add_alias_or_rule,public_welfare_investment,公益投入金额,社会公益投入,1.0,accepted,schema_match_validated,万元,,ESG 绩效数据表-社会绩效;社会贡献;2024年度环境、社会及治理（ESG）报告-供应商与信息安全/创新/社会贡献数据,page_42_right.png;page_49.png;page_49_right.png,008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""public_welfare_investment"", ""name_cn"": ""公益投入金额"", ""alias"": ""社会公益投入"", ""score"": 1.0, ""validator_status"": ""accepted"", ""validator_reason"": ""schema_match_validated""}]"
对外捐赠金额,2,review_add_alias_or_rule,public_welfare_investment,公益投入金额,对外捐赠金额,1.0,accepted,schema_match_validated,万元,,ESG 数据表－社会维度-社会贡献;附表 3 ESG 数据表－社会贡献,page_52.png;page_52_left.png,001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""public_welfare_investment"", ""name_cn"": ""公益投入金额"", ""alias"": ""对外捐赠金额"", ""score"": 1.0, ""validator_status"": ""accepted"", ""validator_reason"": ""schema_match_validated""}]"
生产安全事故数,2,review_add_alias_or_rule,safety_accident_count,安全生产事故数量,生产安全事故数,1.0,accepted,schema_match_validated,次,职业健康与安全生产,社会绩效,page_43.png;page_43_right.png,002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告,"[{""field_key"": ""safety_accident_count"", ""name_cn"": ""安全生产事故数量"", ""alias"": ""生产安全事故数"", ""score"": 1.0, ""validator_status"": ""accepted"", ""validator_reason"": ""schema_match_validated""}]"
培训总时长,2,review_add_alias_or_rule,training_total_hours,员工培训总时长,培训总时长,1.0,accepted,schema_match_validated,小时,专项培训课程,2024年培训体系开展情况,page_41.png;page_41_right.png,006_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""training_total_hours"", ""name_cn"": ""员工培训总时长"", ""alias"": ""培训总时长"", ""score"": 1.0, ""validator_status"": ""accepted"", ""validator_reason"": ""schema_match_validated""}]"
安全事故数,2,review_add_alias_or_rule,safety_accident_count,安全生产事故数量,安全事故数,1.0,accepted,schema_match_validated,次,社会绩效,关键绩效表,page_31.png;page_31_left.png,007_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告,"[{""field_key"": ""safety_accident_count"", ""name_cn"": ""安全生产事故数量"", ""alias"": ""安全事故数"", ""score"": 1.0, ""validator_status"": ""accepted"", ""validator_reason"": ""schema_match_validated""}]"
董事会成员人数,2,review_add_alias_or_rule,board_size,董事会人数,董事会成员人数,1.0,accepted,schema_match_validated,人,三会治理,治理绩效,page_47.png;page_47_left.png,008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""board_size"", ""name_cn"": ""董事会人数"", ""alias"": ""董事会成员人数"", ""score"": 1.0, ""validator_status"": ""accepted"", ""validator_reason"": ""schema_match_validated""}]"
安全与质量培训总时长,2,review_add_alias_or_rule,training_total_hours,员工培训总时长,安全与质量培训总时长,0.92,accepted,schema_match_validated,小时,员工健康与安全,员工健康与安全,page_50.png;page_50_right.png,006_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""training_total_hours"", ""name_cn"": ""员工培训总时长"", ""alias"": ""培训总时长"", ""score"": 0.92, ""validator_status"": ""accepted"", ""validator_reason"": ""schema_match_validated""}]"
合规培训总时长,2,review_add_alias_or_rule,training_total_hours,员工培训总时长,合规培训总时长,0.92,accepted,schema_match_validated,小时,合规管理,治理绩效,page_47.png;page_47_left.png,008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""training_total_hours"", ""name_cn"": ""员工培训总时长"", ""alias"": ""培训总时长"", ""score"": 0.92, ""validator_status"": ""accepted"", ""validator_reason"": ""schema_match_validated""}]"
