report_name,success,total_fields,route_a_extracted_fields,route_b_matched_fields,route_b_filled_fields,route_b2_matched_fields,route_b2_filled_fields,merged_extracted_fields,missing_fields,coverage_rate,raw_coverage,industry,applicable_fields,applicable_extracted_fields,not_applicable_fields,applicable_coverage,output_dir,error
001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,True,60,12,0,0,0,0,12,48,0.2,0.2,service,60,12,0,0.2,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,
002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告,True,60,16,0,0,0,0,16,44,0.2667,0.2667,manufacturing,60,16,0,0.2667,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告,
003_600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告,True,60,21,0,0,0,0,21,39,0.35,0.35,manufacturing,60,21,0,0.35,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\003_600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告,
004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告,True,60,17,0,0,0,0,17,43,0.2833,0.2833,manufacturing,60,17,0,0.2833,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告,
005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告,True,60,18,0,0,0,0,18,42,0.3,0.3,pharma,60,18,0,0.3,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告,
006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告,True,60,26,0,0,0,0,26,34,0.4333,0.4333,pharma,60,26,0,0.4333,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告,
007_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,True,60,15,0,0,0,0,15,45,0.25,0.25,pharma,60,15,0,0.25,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\007_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,
008_600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告,True,60,17,0,0,0,0,17,43,0.2833,0.2833,pharma,60,17,0,0.2833,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\008_600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告,
009_600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告,True,60,11,0,0,0,0,11,49,0.1833,0.1833,manufacturing,60,11,0,0.1833,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\009_600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告,
010_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告,True,60,3,0,0,0,0,3,57,0.05,0.05,finance,56,3,4,0.0536,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\010_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告,
011_601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告,True,60,24,0,0,0,0,24,36,0.4,0.4,manufacturing,60,24,0,0.4,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\011_601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告,
012_603079_圣达生物_2024_圣达生物：浙江圣达生物药业股份有限公司2025年度环境、社会及公司治理（ESG）报告,True,60,7,0,0,0,0,7,53,0.1167,0.1167,pharma,60,7,0,0.1167,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\012_603079_圣达生物_2024_圣达生物：浙江圣达生物药业股份有限公司2025年度环境、社会及公司治理（ESG）报告,
