pdf_name,success,route_b2_available,industry,target_fields,matched_fields,llm_calls,skipped_by_industry,skipped_by_budget,reason,output_dir
002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告.pdf,True,True,service,30,2,30,0,0,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告
600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告.pdf,True,True,manufacturing,26,3,26,0,0,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告
600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告.pdf,True,True,manufacturing,21,4,21,0,0,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\003_600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告
600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告.pdf,True,True,manufacturing,25,0,25,0,0,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告
600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告.pdf,True,True,pharma,24,4,24,0,0,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告
600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告.pdf,True,True,pharma,16,1,16,0,0,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告
600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告.pdf,True,True,pharma,27,6,27,0,0,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\007_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告
600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告.pdf,True,True,pharma,25,2,25,0,0,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\008_600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告
600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告.pdf,True,True,manufacturing,31,2,31,0,0,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\009_600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告
600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告.pdf,True,True,finance,39,1,35,4,0,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\010_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告
601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告.pdf,True,True,manufacturing,18,1,18,0,0,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\011_601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告
