report_name,success,total_fields,route_a_extracted_fields,route_b_matched_fields,route_b_filled_fields,route_b2_matched_fields,route_b2_filled_fields,merged_extracted_fields,missing_fields,coverage_rate,output_dir,error
001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,True,52,12,17,17,1,1,30,22,0.5769,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,
002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告,True,52,10,17,17,4,4,31,21,0.5962,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告,
003_600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告,True,52,18,16,16,1,1,35,17,0.6731,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\003_600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告,
004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告,True,52,13,17,17,1,1,31,21,0.5962,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告,
005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告,True,52,14,15,15,2,2,31,21,0.5962,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告,
006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告,True,52,20,18,18,0,0,38,14,0.7308,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告,
007_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,True,52,9,17,17,2,2,28,24,0.5385,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\007_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,
008_600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告,True,52,12,13,13,1,1,26,26,0.5,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\008_600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告,
009_600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告,True,52,4,17,17,0,0,21,31,0.4038,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\009_600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告,
010_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告,True,52,2,10,10,1,1,13,39,0.25,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\010_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告,
011_601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告,True,52,14,18,18,1,1,33,19,0.6346,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\011_601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告,
012_603079_圣达生物_2024_圣达生物：浙江圣达生物药业股份有限公司2025年度环境、社会及公司治理（ESG）报告,True,52,6,18,18,0,0,24,28,0.4615,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\012_603079_圣达生物_2024_圣达生物：浙江圣达生物药业股份有限公司2025年度环境、社会及公司治理（ESG）报告,
