report_name,success,total_fields,route_a_extracted_fields,route_b_matched_fields,route_b_filled_fields,route_b2_matched_fields,route_b2_filled_fields,merged_extracted_fields,missing_fields,coverage_rate,raw_coverage,industry,applicable_fields,applicable_extracted_fields,not_applicable_fields,applicable_coverage,output_dir,error
001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,True,60,14,17,17,2,2,33,27,0.55,0.55,service,60,33,0,0.55,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,
002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告,True,60,15,17,17,3,3,35,25,0.5833,0.5833,manufacturing,60,35,0,0.5833,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告,
003_600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告,True,60,21,16,16,4,4,41,19,0.6833,0.6833,manufacturing,60,41,0,0.6833,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\003_600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告,
004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告,True,60,17,17,17,0,0,34,26,0.5667,0.5667,manufacturing,60,34,0,0.5667,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告,
005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告,True,60,18,15,15,4,4,37,23,0.6167,0.6167,pharma,60,37,0,0.6167,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告,
006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告,True,60,26,18,18,1,1,45,15,0.75,0.75,pharma,60,45,0,0.75,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告,
007_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,True,60,14,17,17,6,6,37,23,0.6167,0.6167,pharma,60,37,0,0.6167,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\007_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,
008_600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告,True,60,17,13,13,2,2,32,28,0.5333,0.5333,pharma,60,32,0,0.5333,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\008_600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告,
009_600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告,True,60,9,17,17,3,3,29,31,0.4833,0.4833,manufacturing,60,29,0,0.4833,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\009_600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告,
010_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告,True,60,3,11,11,1,1,15,45,0.25,0.25,finance,56,15,4,0.2679,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\010_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告,
011_601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告,True,60,23,18,18,1,1,42,18,0.7,0.7,manufacturing,60,42,0,0.7,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\011_601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告,
012_603079_圣达生物_2024_圣达生物：浙江圣达生物药业股份有限公司2025年度环境、社会及公司治理（ESG）报告,True,60,6,18,18,2,2,26,34,0.4333,0.4333,pharma,60,26,0,0.4333,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\012_603079_圣达生物_2024_圣达生物：浙江圣达生物药业股份有限公司2025年度环境、社会及公司治理（ESG）报告,
