report_index,pdf_name,report_dir,source_file,page_image,table_title,topic,metric_name,unit,values,evidence_text,reason
1,002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告.pdf,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告\unknown_metrics.csv,page_19.png,供应商评级分类,,优秀供应商,,{'2024年': 'A级'},优秀供应商 A级 同等条件下优先选用，可加大采购量,llm_no_match:该指标属于供应商评价或采购政策，不属于 Core ESG Schema。
1,002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告.pdf,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告\unknown_metrics.csv,page_19.png,供应商评级分类,,良好供应商,,{'2024年': 'B级'},良好供应商 B级 重点培养及扶持对象,llm_no_match:该指标属于供应商管理评价等级，不属于 Core ESG Schema 中定义的任何字段。
1,002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告.pdf,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告\unknown_metrics.csv,page_19.png,供应商评级分类,,合格供应商,,{'2024年': 'C级'},合格供应商 C级 限制使用或有条件使用，必要时对供应商进行现场考核,llm_no_match:该指标属于供应商管理类指标，Core ESG Schema 中无对应字段，且不属于环境、社会或治理核心指标。
1,002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告.pdf,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告\unknown_metrics.csv,page_19.png,供应商评级分类,,不合格供应商,,{'2024年': 'D级'},不合格供应商 D级 予以淘汰，同时从《合格供应商名录》中予以删除,llm_no_match:该指标属于供应商管理或供应链绩效，不属于 Core ESG Schema。
1,002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告.pdf,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告\unknown_metrics.csv,page_20.png,关键绩效表,供应商培育与激励,公司面向外部供应商开展培训共计,次,{'2024年': '4'},公司面向外部供应商开展培训共计 次 2024年 4,"llm_error:Error code: 429 - {'error': {'message': 'You have exceeded your current request limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#rate-limit', 'type': 'limit_requests', 'param': None, 'code': 'limit_requests'}, 'request_id': '6c671aca-45bf-9937-ba8d-b2bb249e8d89'}"
1,002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告.pdf,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告\unknown_metrics.csv,page_20.png,关键绩效表,供应商培育与激励,培训累计时长共计,次,{'2024年': '10'},培训累计时长共计 次 2024年 10,llm_no_match:该指标属于供应商培训累计时长，属于供应链管理或供应商发展类指标，Core ESG Schema 中无对应字段。
1,002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告.pdf,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告\unknown_metrics.csv,page_20.png,关键绩效表,内部培训,公司针对内部员工采购培训共计,次,{'2024年': '9'},公司针对内部员工采购培训共计 次 2024年 9,rejected_by_schema_validator:required_keyword_missing; original_reason=llm_match:指标为公司针对内部员工的培训次数，单位为'次'，与'员工培训总时长'的别名'培训总时长'语义接近，但单位应为'小时'。然而，'培训次数'在上下文中可能被误标为'次'，实际意图指向培训活动频次，属于员工培训相关指标，最接近的匹配为training_total_hours，因无更优匹配且语义相关，故匹配并给予中等偏高置信度。
1,002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告.pdf,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告\unknown_metrics.csv,page_20.png,关键绩效表,内部培训,培训累计时长为,小时,{'2024年': '4.5'},培训累计时长为 小时 2024年 4.5,"llm_error:Error code: 429 - {'error': {'message': 'You have exceeded your current request limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#rate-limit', 'type': 'limit_requests', 'param': None, 'code': 'limit_requests'}, 'request_id': 'e8f7ad55-afb0-9e52-aa3d-51192dc894d6'}"
1,002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告.pdf,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告\unknown_metrics.csv,page_20.png,关键绩效表,内部培训,公司内部通过可持续采购培训得采购员,人,{'2024年': '17'},公司内部通过可持续采购培训得采购员 人 2024年 17,llm_no_match:该指标属于公司特色培训内容（可持续采购培训），Core ESG Schema 中无对应字段，且不属于标准员工培训覆盖率或总时长指标。
1,002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告.pdf,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告\unknown_metrics.csv,page_20.png,关键绩效表,内部培训,占比为,%,{'2024年': '100'},占比为 % 2024年 100,llm_no_match:该指标为培训覆盖率的表述，但未明确提及培训覆盖率相关关键词，且'占比为'表述模糊，无法确认为员工培训覆盖率，不属于明确匹配的Core ESG Schema字段。
