field_key,field_name_cn,category,indicator_type,value_type,value,raw_value,unit,year,column_label,row_label,topic,table_title,page_image,evidence_text,status,confidence,match_reason
total_ghg_emissions,温室气体排放总量,E,quantitative,number,125285.17,"125,285.17",二氧化碳当量公吨数,2024,2024,温室气体排放总量,温室气体排放,环境绩效-温室气体排放,page_53.png,"温室气体排放 温室气体排放总量 2024 125,285.17 二氧化碳当量公吨数",extracted,0.94,heuristic_total_ghg_unit_pivot; schema_match_validated
ghg_emissions_intensity,温室气体排放强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
scope_1_emissions,范围一温室气体排放量,E,quantitative,number,124060.83,"124,060.83",二氧化碳当量公吨数,2024,2024,温室气体排放（范围一）,温室气体排放,环境绩效-温室气体排放,page_53.png,"温室气体排放 温室气体排放（范围一） 2024 124,060.83 二氧化碳当量公吨数",extracted,0.96,heuristic_scope_1; schema_match_validated
scope_2_emissions,范围二温室气体排放量,E,quantitative,number,1224.34,"1,224.34",二氧化碳当量公吨数,2024,2024,温室气体排放（范围二）,温室气体排放,环境绩效-温室气体排放,page_53.png,"温室气体排放 温室气体排放（范围二） 2024 1,224.34 二氧化碳当量公吨数",extracted,0.96,heuristic_scope_2; schema_match_validated
energy_consumption_total,能源消耗总量,E,quantitative,number,59232.26,"59,232.26",吨标准煤,2024,2024,直接能源消耗,能源,环境绩效-能源,page_53.png,"能源 直接能源消耗 2024 59,232.26 吨标准煤",extracted,0.96,normalized_alias_match:直接能源消耗; schema_match_validated
energy_consumption_intensity,能源消耗强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
natural_gas_consumption,天然气消耗量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
electricity_consumption,用电量,E,quantitative,number,2281669,"2,281,669.00",千瓦时,2024,2024,电力总量,能源,环境绩效-能源,page_53.png,"能源 电力总量 2024 2,281,669.00 千瓦时",extracted,0.92,heuristic_electricity; schema_match_validated
water_consumption,用水量,E,quantitative,number,25041,"25,041",吨,2024,2024,市政购水量,水资源,环境绩效-水资源,page_53.png,"水资源 市政购水量 2024 25,041 吨",extracted,0.92,heuristic_water; schema_match_validated
wastewater_discharge,废水排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
air_pollutant_emissions,废气或大气污染物排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
non_hazardous_waste,一般废弃物产生量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
hazardous_waste,危险废弃物产生量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
environmental_investment,环保投入金额,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
environmental_penalty_count,环境违规或处罚事件数量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
total_employees,员工总数,S,quantitative,number,52411,"52,411",人,2024,2024年,在岗员工总数,,员工雇佣情况,page_54.png,"在岗员工总数 52,411 人",extracted,0.93,heuristic_total_employees; schema_match_validated
male_employees,男性员工人数,S,quantitative,number,22982,"22,982",人,2024,2024年,男性,,员工雇佣情况,page_54.png,"男性 22,982 人",extracted,0.9400000000000001,normalized_alias_match:男性员工; schema_match_validated
female_employees,女性员工人数,S,quantitative,number,6447,"6,447",人,2024,2024年,女性,,员工雇佣情况,page_54.png,"女性 6,447 人",extracted,0.9400000000000001,normalized_alias_match:女性员工; schema_match_validated
female_employee_ratio,女性员工比例,S,quantitative,percentage,56.15,56.15,%,2024,2024年,女性员工比例,,员工雇佣情况,page_54.png,女性员工比例 56.15 %,extracted,0.96,normalized_alias_match:女性员工比例; schema_match_validated
employee_turnover_rate,员工流失率,S,quantitative,percentage,,,,,,,,,,,missing,0.0,not_found
training_total_hours,员工培训总时长,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
training_hours_per_employee,人均培训时长,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
training_coverage_rate,员工培训覆盖率,S,quantitative,percentage,,,,,,,,,,,missing,0.0,not_found
social_security_coverage,社会保险覆盖率,S,quantitative,percentage,,,,,,,,,,,missing,0.0,not_found
employee_medical_checkup_coverage,员工体检覆盖率,S,quantitative,percentage,,,,,,,,,,,missing,0.0,not_found
trained_employees_count,受训员工人数,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
safety_accident_count,安全生产事故数量,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
occupational_health_safety_investment,安全生产投入,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
safety_emergency_drill_count,安全应急演练次数,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
lost_work_days_due_to_injury,因工伤损失工作日数,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
r_and_d_personnel_count,研发人员数量,S,quantitative,number,261,261,人,2024,2024年,研发人员数量,,附录：关键绩效表-社会绩效,page_54.png,研发人员数量 261 人,extracted,0.96,normalized_alias_match:研发人员数量; schema_match_validated
r_and_d_expense,研发投入金额,S,quantitative,number,4473.75,"4,473.75",万元,2024,2024年,研发投入资金,,附录：关键绩效表-社会绩效,page_54.png,"研发投入资金 4,473.75 万元",extracted,0.9400000000000001,normalized_alias_match:研发投入; schema_match_validated
public_welfare_investment,公益投入金额,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
board_size,董事会人数,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
independent_directors,独立董事人数,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
independent_director_ratio,独立董事比例,G,quantitative,percentage,,,,,,,,,,,missing,0.0,not_found
female_directors,女性董事人数,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
board_meetings,董事会会议次数,G,quantitative,number,15,15,次,2024,2024,董事会召开次数,,治理绩效,page_53.png,董事会召开次数 2024 15 次,extracted,0.94,heuristic_board_meetings_short_label; schema_match_validated
shareholder_meetings,股东大会会议次数,G,quantitative,number,4,4,次,2024,2024年,股东大会召开次数,,股东大会运作情况,page_29_right.png,股东大会召开次数 次 2024年 4,extracted,0.94,heuristic_shareholder_meetings_short_label; schema_match_validated
anti_corruption_training_sessions,反腐败培训次数,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
anti_corruption_training_participants,反腐败培训人数,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
confirmed_corruption_cases,确认腐败案件数量,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
esg_strategy_targets,ESG战略目标,E,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
climate_risk_management,气候风险识别与管理,E,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
environmental_management_system,环境管理体系,E,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
energy_saving_measures,节能减排措施,E,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
water_management_measures,水资源管理措施,E,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
waste_management_measures,废弃物管理措施,E,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
employee_rights_policy,员工权益保障政策,S,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
occupational_health_safety_system,职业健康安全管理体系,S,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
employee_training_development,员工培训与发展机制,S,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
diversity_equal_opportunity,多元化与平等雇佣政策,S,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
supplier_esg_assessment,供应商ESG管理机制,S,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
data_security_privacy,数据安全与隐私保护机制,S,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
board_esg_oversight,董事会ESG监督机制,G,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
esg_committee,ESG治理架构或委员会,G,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
anti_corruption_policy,反腐败政策,G,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
whistleblowing_mechanism,举报机制与举报人保护,G,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
business_ethics_training,商业道德培训机制,G,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
investor_communication,信息披露与投资者沟通机制,G,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
