column_label,confidence,evidence_text,metric_name,page_image,raw_value,reason,table_title,topic,unit,value,values,year
2024年,0.0,优秀供应商 A级 同等条件下优先选用，可加大采购量,优秀供应商,page_19.png,A级,no_schema_match,供应商评级分类,,,A级,"{""2024年"": ""A级""}",2024
2024年,0.0,良好供应商 B级 重点培养及扶持对象,良好供应商,page_19.png,B级,no_schema_match,供应商评级分类,,,B级,"{""2024年"": ""B级""}",2024
2024年,0.0,合格供应商 C级 限制使用或有条件使用，必要时对供应商进行现场考核,合格供应商,page_19.png,C级,no_schema_match,供应商评级分类,,,C级,"{""2024年"": ""C级""}",2024
2024年,0.0,不合格供应商 D级 予以淘汰，同时从《合格供应商名录》中予以删除,不合格供应商,page_19.png,D级,no_schema_match,供应商评级分类,,,D级,"{""2024年"": ""D级""}",2024
2024年,0.0,公司面向外部供应商开展培训共计 次 2024年 4,公司面向外部供应商开展培训共计,page_20.png,4,no_schema_match,关键绩效表,供应商培育与激励,次,4,"{""2024年"": ""4""}",2024
2024年,0.0,培训累计时长共计 次 2024年 10,培训累计时长共计,page_20.png,10,no_schema_match,关键绩效表,供应商培育与激励,次,10,"{""2024年"": ""10""}",2024
2024年,0.0,公司针对内部员工采购培训共计 次 2024年 9,公司针对内部员工采购培训共计,page_20.png,9,no_schema_match,关键绩效表,内部培训,次,9,"{""2024年"": ""9""}",2024
2024年,0.0,培训累计时长为 小时 2024年 4.5,培训累计时长为,page_20.png,4.5,no_schema_match,关键绩效表,内部培训,小时,4.5,"{""2024年"": ""4.5""}",2024
2024年,0.0,公司内部通过可持续采购培训得采购员 人 2024年 17,公司内部通过可持续采购培训得采购员,page_20.png,17,no_schema_match,关键绩效表,内部培训,人,17,"{""2024年"": ""17""}",2024
2024年,0.0,占比为 % 2024年 100,占比为,page_20.png,100,no_schema_match,关键绩效表,内部培训,%,100,"{""2024年"": ""100""}",2024
2024年,0.0,"公司研发总投入 万元 2024年 4,473.75",公司研发总投入,page_25.png,"4,473.75",no_schema_match,关键绩效,,万元,4473.75,"{""2024年"": ""4,473.75""}",2024
2024年,0.93,研发人员总数 人 2024年 216,研发人员总数,page_25.png,216,rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_total_employees,关键绩效,,人,216,"{""2024年"": ""216""}",2024
