applicability,category,confidence,evidence,field_key,field_name_cn,indicator_type,industry,merge_reason,missing_reason,page_image,raw_value,route_a_confidence,route_a_reason,route_a_status,route_b2_confidence,route_b2_evidence,route_b2_matched,route_b2_raw_value,route_b2_reason,route_b2_source_pages,route_b2_unit,route_b2_value,route_b2_year,route_b_confidence,route_b_evidence,route_b_matched,route_b_reason,route_b_source_pages,route_b_summary,row_label,source_pages,source_route,status,table_title,topic,unit,value,value_type,year
core,E,0.94,温室气体排放总量 吨 13876.4 35042.2 35042.2,total_ghg_emissions,温室气体排放总量,quantitative,manufacturing,route_a_selected,,page_37.png,35042.2,0.94,heuristic_total_ghg; schema_match_validated,extracted,,,,,,,,,,,,,,,,温室气体排放总量,page_37.png,route_a_appendix_table,extracted,ESG 绩效数据表-环境绩效,,吨,35042.2,number,2024
core,E,0.0,,ghg_emissions_intensity,温室气体排放强度,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,scope_1_emissions,范围一温室气体排放量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,scope_2_emissions,范围二温室气体排放量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.96,"能源总量情况 综合能源消耗总量 吨标煤 2024年 100,051.00",energy_consumption_total,能源消耗总量,quantitative,manufacturing,route_a_selected,,page_30.png,"100,051.00",0.96,normalized_alias_match:能源消耗总量; schema_match_validated,extracted,,,,,,,,,,,,,,,,综合能源消耗总量,page_30.png,route_a_appendix_table,extracted,量化数据绩效表-环境绩效,能源总量情况,吨标煤,100051,number,2024
core,E,0.0,,energy_consumption_intensity,能源消耗强度,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
optional,E,0.0,,natural_gas_consumption,天然气消耗量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.95,"年度用电量
兆瓦时
-
47794.48
53133.88",electricity_consumption,用电量,quantitative,manufacturing,route_b2_filled_missing_route_a,,,53133.88兆瓦时,0.0,not_found,missing,0.95,"年度用电量
兆瓦时
-
47794.48
53133.88",true,53133.88兆瓦时,定位到目标字段同义词“年度用电量”，提取到2024年对应数值53133.88兆瓦时，单位与目标单位一致，无需转换,[37],兆瓦时,53133.88,2024,,,,,,,用电量,[37],route_b2_quant_text_rag,extracted,,quant_text_rag,兆瓦时,53133.88,number,2024
core,E,0.92,总耗水量 吨 19274 298050 293341.33,water_consumption,用水量,quantitative,manufacturing,route_a_selected,,page_37.png,293341.33,0.92,heuristic_water_ocr_correction; schema_match_validated,extracted,,,,,,,,,,,,,,,,总耗水量,page_37.png,route_a_appendix_table,extracted,ESG 绩效数据表-环境绩效,,吨,293341.33,number,2024
core,E,0.96,废水排放总量 立方米 120000 106150 106150,wastewater_discharge,废水排放量,quantitative,manufacturing,route_a_selected,,page_37.png,106150,0.96,normalized_alias_match:废水排放总量; schema_match_validated,extracted,,,,,,,,,,,,,,,,废水排放总量,page_37.png,route_a_appendix_table,extracted,ESG 绩效数据表-环境绩效,,立方米,106150,number,2024
core,E,0.0,,air_pollutant_emissions,废气或大气污染物排放量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,non_hazardous_waste,一般废弃物产生量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.93,危险废物排放量 吨 624.13 967.6 967.6,hazardous_waste,危险废弃物产生量,quantitative,manufacturing,route_a_selected,,page_37.png,967.6,0.93,heuristic_hazardous_waste; schema_match_validated,extracted,,,,,,,,,,,,,,,,危险废物排放量,page_37.png,route_a_appendix_table,extracted,ESG 绩效数据表-环境绩效,,吨,967.6,number,2024
core,E,0.0,,environmental_investment,环保投入金额,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
