field_key,field_name_cn,category,indicator_type,value_type,value,raw_value,unit,year,column_label,row_label,topic,table_title,page_image,evidence_text,status,confidence,match_reason
total_ghg_emissions,温室气体排放总量,E,quantitative,number,1751.5,1751.5,吨二氧化碳当量,2024,2024年,温室气体排放总量,,2024年温室气体排放情况,page_38.png,温室气体排放总量 吨二氧化碳当量 2024年 1751.5,extracted,0.94,heuristic_total_ghg_unit_pivot; schema_match_validated
ghg_emissions_intensity,温室气体排放强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
scope_1_emissions,范围一温室气体排放量,E,quantitative,number,460.2,460.2,吨二氧化碳当量,2024,2024年,直接温室气体排放量（范围一）,,2024年温室气体排放情况,page_38.png,直接温室气体排放量（范围一） 吨二氧化碳当量 2024年 460.2,extracted,0.96,heuristic_scope_1; schema_match_validated
scope_2_emissions,范围二温室气体排放量,E,quantitative,number,1291.3,1291.3,吨二氧化碳当量,2024,2024年,间接温室气体排放量（范围二）,,2024年温室气体排放情况,page_38.png,间接温室气体排放量（范围二） 吨二氧化碳当量 2024年 1291.3,extracted,0.96,heuristic_scope_2; schema_match_validated
energy_consumption_total,能源消耗总量,E,quantitative,number,320.37,320.37,吨标准煤,2024,2024年,能源消耗总量,,2024年公司能源消耗情况,page_36.png,能源消耗总量 吨标准煤 320.37,extracted,0.96,normalized_alias_match:能源消耗总量; schema_match_validated
energy_consumption_intensity,能源消耗强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
natural_gas_consumption,天然气消耗量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
electricity_consumption,用电量,E,quantitative,number,1817405,"1,817,405",度（千瓦时）,2024,2024年,电力消耗量,,2024年公司能源消耗情况,page_36.png,"电力消耗量 度（千瓦时） 1,817,405",extracted,0.92,heuristic_electricity_total_alias; schema_match_validated
water_consumption,用水量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
wastewater_discharge,废水排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
air_pollutant_emissions,废气或大气污染物排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
non_hazardous_waste,一般废弃物产生量,E,quantitative,number,50,50,吨,2024,2024年,一般废弃物产生量,,废弃物管理-2024年,page_38.png,一般废弃物产生量 吨 2024年 50,extracted,0.93,heuristic_non_hazardous_waste; schema_match_validated
hazardous_waste,危险废弃物产生量,E,quantitative,number,13.86,13.86,吨,2024,2024年,危险废弃物产生量,,废弃物管理-2024年,page_38.png,危险废弃物产生量 吨 2024年 13.86,extracted,0.93,heuristic_hazardous_waste; schema_match_validated
