column_label,confidence,evidence_text,metric_name,page_image,raw_value,reason,table_title,topic,unit,value,values,year
2024年,0.0,报告期内，公司党委数量 1 个，党支部数量 6 个，召开党委会 25 次。前工报告期末，公司党员数量 111 人。,公司党委数量,page_11.png,1,no_schema_match,党建关键绩效,,个,1,"{""2024年"": ""1""}",2024
2024年,0.0,报告期内，公司党委数量 1 个，党支部数量 6 个，召开党委会 25 次。前工报告期末，公司党员数量 111 人。,党支部数量,page_11.png,6,no_schema_match,党建关键绩效,,个,6,"{""2024年"": ""6""}",2024
2024年,0.0,报告期内，公司党委数量 1 个，党支部数量 6 个，召开党委会 25 次。前工报告期末，公司党员数量 111 人。,召开党委会次数,page_11.png,25,no_schema_match,党建关键绩效,,次,25,"{""2024年"": ""25""}",2024
2024年,0.0,报告期内，公司党委数量 1 个，党支部数量 6 个，召开党委会 25 次。前工报告期末，公司党员数量 111 人。,公司党员数量,page_11.png,111,no_schema_match,党建关键绩效,,人,111,"{""2024年"": ""111""}",2024
2024年,0.0,党建活动 党员年度集中学习培训达标人次 人次 2024年 111,党员年度集中学习培训达标人次,page_12.png,111,no_schema_match,关键绩效表-党建活动,党建活动,人次,111,"{""2024年"": ""111""}",2024
2024年,0.0,党建活动 基层党组织书记年度集中学习培训达标人次 人次 2024年 7,基层党组织书记年度集中学习培训达标人次,page_12.png,7,no_schema_match,关键绩效表-党建活动,党建活动,人次,7,"{""2024年"": ""7""}",2024
2024年,0.0,董事会 审议议案项数 项 2024年 33,审议议案项数,page_12.png,33,no_schema_match,关键绩效表-董事会,董事会,项,33,"{""2024年"": ""33""}",2024
2024年,0.0,董事会 公司董事会下设战略与ESG委员会、提名委员会、薪酬与考核委员会和审计委员会个数 个 2024年 4,公司董事会下设战略与ESG委员会、提名委员会、薪酬与考核委员会和审计委员会个数,page_12.png,4,no_schema_match,关键绩效表-董事会,董事会,个,4,"{""2024年"": ""4""}",2024
2024年,0.94,董事会 召开战略与ESG委员会会议次数 次 2024年 3,召开战略与ESG委员会会议次数,page_12.png,3,rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_board_meetings_short_label,关键绩效表-董事会,董事会,次,3,"{""2024年"": ""3""}",2024
2024年,0.0,董事会 薪酬与考核委员会会议次数 次 2024年 2,薪酬与考核委员会会议次数,page_12.png,2,no_schema_match,关键绩效表-董事会,董事会,次,2,"{""2024年"": ""2""}",2024
2024年,0.0,董事会 审计委员会会议次数 次 2024年 4,审计委员会会议次数,page_12.png,4,no_schema_match,关键绩效表-董事会,董事会,次,4,"{""2024年"": ""4""}",2024
2024年,0.0,董事会 截至报告期末，公司董事共有 名 2024年 9,截至报告期末，公司董事共有,page_12.png,9,no_schema_match,关键绩效表-董事会,董事会,名,9,"{""2024年"": ""9""}",2024
2024年,0.94,董事会决议 报告期内，公司共召开股东大会次数 次 2024年 2,报告期内，公司共召开股东大会次数,page_12.png,2,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_board_meetings_short_label,关键绩效表-董事会决议,董事会决议,次,2,"{""2024年"": ""2""}",2024
2024年,0.94,董事会决议 临时股东大会次数 次 2024年 1,临时股东大会次数,page_12.png,1,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_board_meetings_short_label,关键绩效表-董事会决议,董事会决议,次,1,"{""2024年"": ""1""}",2024
2024年,0.0,董事会决议 审议共通过了关键绩效议题数量 项 2024年 10,审议共通过了关键绩效议题数量,page_12.png,10,no_schema_match,关键绩效表-董事会决议,董事会决议,项,10,"{""2024年"": ""10""}",2024
2024年,0.9342857142857143,监事会 共召开监事会 次 2024年 4,监事会召开次数,page_13.png,4,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=fuzzy_alias_match:0.86:董事会召开次数,关键绩效表-治理维度,监事会,次,4,"{""2024年"": ""4""}",2024
2024年,0.0,监事会 共审议 项议案 2024年 15,监事会审议议案数,page_13.png,15,no_schema_match,关键绩效表-治理维度,监事会,项,15,"{""2024年"": ""15""}",2024
2024年,0.0,监事会 监事平均出席率 % 2024年 100,监事会平均出席率,page_13.png,100,no_schema_match,关键绩效表-治理维度,监事会,%,100,"{""2024年"": ""100""}",2024
2024年,0.0,公司组织内部风险培训 6 次,公司组织内部风险培训次数,page_14.png,6,no_schema_match,关键绩效表-风险管理培训,,次,6,"{""2024年"": ""6""}",2024
2024年,0.0,培训总人次 180 人次,培训总人次,page_14.png,180,no_schema_match,关键绩效表-风险管理培训,,人次,180,"{""2024年"": ""180""}",2024
2024年,0.0,"林海技术中心建筑面积 m² 2024年 7,000",林海技术中心建筑面积,page_18.png,"7,000",no_schema_match,关键绩效,,m²,7000,"{""2024年"": ""7,000""}",2024
2024年,0.0,"室外试验场 m² 2024年 66,700",室外试验场,page_18.png,"66,700",no_schema_match,关键绩效,,m²,66700,"{""2024年"": ""66,700""}",2024
2024年,0.0,"科研设备仪器等固定资产原值 万元 2024年 4,000",科研设备仪器等固定资产原值,page_18.png,"4,000",no_schema_match,关键绩效,,万元,4000,"{""2024年"": ""4,000""}",2024
