applicability,category,confidence,evidence,field_key,field_name_cn,indicator_type,industry,merge_reason,missing_reason,page_image,raw_value,route_a_confidence,route_a_reason,route_a_status,route_b2_confidence,route_b2_evidence,route_b2_matched,route_b2_raw_value,route_b2_reason,route_b2_source_pages,route_b2_unit,route_b2_value,route_b2_year,route_b_confidence,route_b_evidence,route_b_matched,route_b_reason,route_b_source_pages,route_b_summary,row_label,source_pages,source_route,status,table_title,topic,unit,value,value_type,year
core,E,0.0,,total_ghg_emissions,温室气体排放总量,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,ghg_emissions_intensity,温室气体排放强度,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.96,"范围一温室气体排放量 吨二氧化碳当量 2024年 58,691",scope_1_emissions,范围一温室气体排放量,quantitative,pharma,route_a_selected,,page_33.png,"58,691",0.96,heuristic_scope_1; schema_match_validated,extracted,,,,,,,,,,,,,,,,范围一温室气体排放量,page_33.png,route_a_appendix_table,extracted,温室气体排放数据,,吨二氧化碳当量,58691,number,2024
core,E,0.96,"范围二温室气体排放量 吨二氧化碳当量 2024年 349,692",scope_2_emissions,范围二温室气体排放量,quantitative,pharma,route_a_selected,,page_33.png,"349,692",0.96,heuristic_scope_2; schema_match_validated,extracted,,,,,,,,,,,,,,,,范围二温室气体排放量,page_33.png,route_a_appendix_table,extracted,温室气体排放数据,,吨二氧化碳当量,349692,number,2024
core,E,0.96,"综合能源消耗量 吨标煤 2024年 111,030",energy_consumption_total,能源消耗总量,quantitative,pharma,route_a_selected,,page_38.png,"111,030",0.96,normalized_alias_match:综合能源消耗; schema_match_validated,extracted,,,,,,,,,,,,,,,,综合能源消耗量,page_38.png,route_a_appendix_table,extracted,能源使用数据表,,吨标煤,111030,number,2024
core,E,0.0,,energy_consumption_intensity,能源消耗强度,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.9,"天然气用量 立方米 2024年 4,231,675",natural_gas_consumption,天然气消耗量,quantitative,pharma,route_a_selected,,page_38.png,"4,231,675",0.9,heuristic_natural_gas_consumption; schema_match_validated,extracted,,,,,,,,,,,,,,,,天然气用量,page_38.png,route_a_appendix_table,extracted,能源使用数据表,,立方米,4231675,number,2024
core,E,0.92,"外购电力用量 兆瓦时 2024年 340,842",electricity_consumption,用电量,quantitative,pharma,route_a_selected,,page_38.png,"340,842",0.92,heuristic_electricity; schema_match_validated,extracted,,,,,,,,,,,,,,,,外购电力用量,page_38.png,route_a_appendix_table,extracted,能源使用数据表,,兆瓦时,340842,number,2024
core,E,0.92,"能源利用 总取水量 立方米 2,303,965",water_consumption,用水量,quantitative,pharma,route_a_selected,,page_58.png,"2,303,965",0.92,heuristic_water_ocr_correction; schema_match_validated,extracted,,,,,,,,,,,,,,,,总取水量,page_58.png,route_a_appendix_table,extracted,能源利用,能源利用,立方米,2303965,number,2024
core,E,0.96,"水资源利用 废水排放总量 立方米 1,487,377",wastewater_discharge,废水排放量,quantitative,pharma,route_a_selected,,page_58.png,"1,487,377",0.96,normalized_alias_match:废水排放总量; schema_match_validated,extracted,,,,,,,,,,,,,,,,废水排放总量,page_58.png,route_a_appendix_table,extracted,水资源利用,水资源利用,立方米,1487377,number,2024
