column_label,confidence,evidence_text,metric_name,page_image,raw_value,reason,table_title,topic,unit,value,values,year
2024年,0.96,"温室气体排放总量（范围一＋范围二） 吨二氧化碳当量 2024年 408,383",温室气体排放总量（范围一＋范围二）,page_33.png,"408,383",rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_scope_1,温室气体排放数据,,吨二氧化碳当量,408383,"{""2024年"": ""408,383""}",2024
2024年,0.96,温室气体排放密度（范围一＋范围二） 吨二氧化碳当量/百万营收 2024年 42.77,温室气体排放密度（范围一＋范围二）,page_33.png,42.77,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_scope_1,温室气体排放数据,,吨二氧化碳当量/百万营收,42.77,"{""2024年"": ""42.77""}",2024
2024年,0.0,集团公司（制剂分厂） ISO 14001,集团公司（制剂分厂）,page_34.png,ISO 14001,no_schema_match,华海药业附属公司环境管理体系认证情况一览,,,ISO 14001,"{""2024年"": ""ISO 14001""}",2024
2024年,0.0,立诚药业 ISO 14001,立诚药业,page_34.png,ISO 14001,no_schema_match,华海药业附属公司环境管理体系认证情况一览,,,ISO 14001,"{""2024年"": ""ISO 14001""}",2024
2024年,0.0,川南公司 ISO 14001,川南公司,page_34.png,ISO 14001,no_schema_match,华海药业附属公司环境管理体系认证情况一览,,,ISO 14001,"{""2024年"": ""ISO 14001""}",2024
2024年,0.0,华南公司 ISO 14001,华南公司,page_34.png,ISO 14001,no_schema_match,华海药业附属公司环境管理体系认证情况一览,,,ISO 14001,"{""2024年"": ""ISO 14001""}",2024
2024年,0.0,长兴制药 ISO 14001,长兴制药,page_34.png,ISO 14001,no_schema_match,华海药业附属公司环境管理体系认证情况一览,,,ISO 14001,"{""2024年"": ""ISO 14001""}",2024
2024年,0.0,华海药业（制剂分厂） 2022年11月,华海药业（制剂分厂）,page_34.png,2022年11月,no_schema_match,华海药业附属公司开展清洁生产审核工作一览,,,2022年11月,"{""2024年"": ""2022年11月""}",2024
2024年,0.0,华南公司 2024年12月,华南公司,page_34.png,2024年12月,no_schema_match,华海药业附属公司开展清洁生产审核工作一览,,,2024年12月,"{""2024年"": ""2024年12月""}",2024
2024年,0.0,立诚药业 2024年12月,立诚药业,page_34.png,2024年12月,no_schema_match,华海药业附属公司开展清洁生产审核工作一览,,,2024年12月,"{""2024年"": ""2024年12月""}",2024
2024年,0.0,川南公司 2024年12月,川南公司,page_34.png,2024年12月,no_schema_match,华海药业附属公司开展清洁生产审核工作一览,,,2024年12月,"{""2024年"": ""2024年12月""}",2024
2024年,0.0,因违反环境保护法律法规而受到的罚款总额 万元人民币 0,因违反环境保护法律法规而受到的罚款总额,page_34.png,0,no_schema_match,完善环境突发应急预案,,万元人民币,0,"{""2024年"": ""0""}",2024
2024年,0.0,因违反环境保护法律法规而受到处罚的事件数 件 0,因违反环境保护法律法规而受到处罚的事件数,page_34.png,0,no_schema_match,完善环境突发应急预案,,件,0,"{""2024年"": ""0""}",2024
2024年,0.93,"按处置方式分类的无害废弃物量：回收 / 再利用 吨 2024年 3,097",按处置方式分类的无害废弃物量：回收 / 再利用,page_37.png,"3,097",rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_non_hazardous_waste,无害废弃物排放数据,,吨,3097,"{""2024年"": ""3,097""}",2024
