applicability,category,confidence,evidence,field_key,field_name_cn,indicator_type,industry,merge_reason,missing_reason,page_image,raw_value,route_a_confidence,route_a_reason,route_a_status,route_b2_confidence,route_b2_evidence,route_b2_matched,route_b2_raw_value,route_b2_reason,route_b2_source_pages,route_b2_unit,route_b2_value,route_b2_year,route_b_confidence,route_b_evidence,route_b_matched,route_b_reason,route_b_source_pages,route_b_summary,row_label,source_pages,source_route,status,table_title,topic,unit,value,value_type,year
core,E,0.94,温室气体排放总量 吨二氧化碳当量 2024年 17741.19,total_ghg_emissions,,quantitative,pharma,route_a_selected,,page_39.png,17741.19,0.94,heuristic_total_ghg_unit_pivot; schema_match_validated,extracted,,,,,,,,,,,,,,,,温室气体排放总量,page_39.png,route_a_appendix_table,extracted,,,吨二氧化碳当量,17741.19,,2024
core,E,0.94,温室气体排放强度 吨二氧化碳当量/万元营收 2024年 0.0270,ghg_emissions_intensity,,quantitative,pharma,route_a_selected,,page_39.png,0.0270,0.94,heuristic_ghg_emissions_intensity; schema_match_validated,extracted,,,,,,,,,,,,,,,,温室气体排放强度,page_39.png,route_a_appendix_table,extracted,,,吨二氧化碳当量/万元营收,0.027,,2024
core,E,0.96,范围一 吨二氧化碳当量 2024年 2674.96,scope_1_emissions,,quantitative,pharma,route_a_selected,,page_39.png,2674.96,0.96,heuristic_scope_1; schema_match_validated,extracted,,,,,,,,,,,,,,,,范围一,page_39.png,route_a_appendix_table,extracted,,,吨二氧化碳当量,2674.96,,2024
core,E,0.96,范围二 吨二氧化碳当量 2024年 15066.72,scope_2_emissions,,quantitative,pharma,route_a_selected,,page_39.png,15066.72,0.96,heuristic_scope_2; schema_match_validated,extracted,,,,,,,,,,,,,,,,范围二,page_39.png,route_a_appendix_table,extracted,,,吨二氧化碳当量,15066.72,,2024
core,E,0.96,能源消耗总量 吨标准煤 2024年 5154.04,energy_consumption_total,,quantitative,pharma,route_a_selected,,page_35.png,5154.04,0.96,normalized_alias_match:能源消耗总量; schema_match_validated,extracted,,,,,,,,,,,,,,,,能源消耗总量,page_35.png,route_a_appendix_table,extracted,,,吨标准煤,5154.04,,2024
core,E,0.94,能源消耗强度 吨标准煤/万元营收 2024年 0.0078,energy_consumption_intensity,,quantitative,pharma,route_a_selected,,page_35.png,0.0078,0.94,heuristic_energy_consumption_intensity; schema_match_validated,extracted,,,,,,,,,,,,,,,,能源消耗强度,page_35.png,route_a_appendix_table,extracted,,,吨标准煤/万元营收,0.0078,,2024
core,E,0.9,天然气使用量 立方米 2024年 1099897,natural_gas_consumption,,quantitative,pharma,route_a_selected,,page_35.png,1099897,0.9,heuristic_natural_gas_consumption; schema_match_validated,extracted,,,,,,,,,,,,,,,,天然气使用量,page_35.png,route_a_appendix_table,extracted,,,立方米,1099897,,2024
core,E,0.92,总用电量 兆瓦时 2024年 30028.23,electricity_consumption,,quantitative,pharma,route_a_selected,,page_35.png,30028.23,0.92,heuristic_electricity; schema_match_validated,extracted,,,,,,,,,,,,,,,,总用电量,page_35.png,route_a_appendix_table,extracted,,,兆瓦时,30028.23,,2024
core,E,0.92,新鲜水用量 万吨 2024年 27.17,water_consumption,,quantitative,pharma,route_a_selected,,page_67.png,27.17,0.92,heuristic_water; schema_match_validated,extracted,,,,,,,,,,,,,,,,新鲜水用量,page_67.png,route_a_appendix_table,extracted,,,万吨,27.17,,2024
core,E,0.9500000000000001,废水排放量 万吨 2024年 25.12,wastewater_discharge,,quantitative,pharma,route_a_selected,,page_39.png,25.12,0.9500000000000001,normalized_alias_match:废水排放量; schema_match_validated,extracted,,,,,,,,,,,,,,,,废水排放量,page_39.png,route_a_appendix_table,extracted,,,万吨,25.12,,2024
core,E,0.0,,air_pollutant_emissions,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.0,,non_hazardous_waste,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.93,危险废物 吨 2024年 342.94,hazardous_waste,,quantitative,pharma,route_a_selected,,page_40.png,342.94,0.93,heuristic_hazardous_waste; schema_match_validated,extracted,,,,,,,,,,,,,,,,危险废物,page_40.png,route_a_appendix_table,extracted,,,吨,342.94,,2024
core,E,0.96,环保培训 环保总投入 万元 2024年 149.47,environmental_investment,,quantitative,pharma,route_a_selected,,page_41.png,149.47,0.96,manual_alias_override:环保总投入; schema_match_validated,extracted,,,,,,,,,,,,,,,,环保总投入,page_41.png,route_a_appendix_table,extracted,,环保培训,万元,149.47,,2024
core,E,0.0,,environmental_penalty_count,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,S,0.93,员工总数 人 2023年 8209 2024年 8135,total_employees,,quantitative,pharma,route_a_selected,,page_65.png,8135,0.93,heuristic_total_employees; schema_match_validated,extracted,,,,,,,,,,,,,,,,员工总数,page_65.png,route_a_appendix_table,extracted,,,人,8135,,2024
core,S,0.9400000000000001,其中男性员工总数 人 2023年 6257 2024年 5582,male_employees,,quantitative,pharma,route_a_selected,,page_65.png,5582,0.9400000000000001,normalized_alias_match:男性员工; schema_match_validated,extracted,,,,,,,,,,,,,,,,其中男性员工总数,page_65.png,route_a_appendix_table,extracted,,,人,5582,,2024
