column_label,confidence,evidence_text,metric_name,page_image,raw_value,reason,table_title,topic,unit,value,values,year
2024年,0.93,召开董事会专门委员会会议 7 次，审计与风险控制委员会 4 次，提名与人力资源规划委员会 1 次，薪酬与绩效考核委员会 2 次,召开董事会专门委员会会议次数,page_13.png,7,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=alias_match:召开董事会,董事会建设相关绩效数据,董事会建设,次,7,"{""2024年"": ""7""}",2024
2024年,0.93,召开董事会专门委员会会议 7 次，审计与风险控制委员会 4 次，提名与人力资源规划委员会 1 次，薪酬与绩效考核委员会 2 次，董事会成员出席率 100%,董事会成员出席率,page_13.png,100,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=alias_match:召开董事会,董事会建设相关绩效数据,董事会建设,%,100,"{""2024年"": ""100""}",2024
2024年,0.0,公司贯彻落实习近平总书记关于安全生产重要指示精神，建立健全安全生产管理体系，完善安全应急管理，加强安全培训宣贯，为公司高质量发展提供安全保障。报告期内，公司安全生产总投入 435.31 万元。,公司安全生产总投入,page_15.png,435.31,no_schema_match,量化数据绩效表-安全绩效,安全管理,万元,435.31,"{""2024年"": ""435.31""}",2024
2024年,0.0,报告期内，公司 25 家分厂完成安全生产标准化台帐建立,家分厂完成安全生产标准化台帐建立,page_15.png,25,no_schema_match,量化数据绩效表-安全绩效,安全管理,家,25,"{""2024年"": ""25""}",2024
2024年,0.0,1 家企业通过安全生产标准化二级认证,企业通过安全生产标准化二级认证,page_15.png,1,no_schema_match,量化数据绩效表-安全绩效,安全管理,家,1,"{""2024年"": ""1""}",2024
2024年,0.0,4 家企业通过安全生产标准化三级认证,企业通过安全生产标准化三级认证,page_15.png,4,no_schema_match,量化数据绩效表-安全绩效,安全管理,家,4,"{""2024年"": ""4""}",2024
2024年,0.0,报告期内，公司 全流域企业开展应急演练 91 场次,全流域企业开展应急演练,page_15.png,91,no_schema_match,量化数据绩效表-安全绩效,应急体系建设,场次,91,"{""2024年"": ""91""}",2024
2024年,0.0,专项演练 30 场次,专项演练,page_15.png,30,no_schema_match,量化数据绩效表-安全绩效,应急体系建设,场次,30,"{""2024年"": ""30""}",2024
2024年,0.0,现场处置 61 场次,现场处置,page_15.png,61,no_schema_match,量化数据绩效表-安全绩效,应急体系建设,场次,61,"{""2024年"": ""61""}",2024
2024年,0.0,覆盖 3801 人次,覆盖人数,page_15.png,3801,no_schema_match,量化数据绩效表-安全绩效,应急体系建设,人次,3801,"{""2024年"": ""3801""}",2024
2024年,0.0,报告期内，公司 累计开展安全培训 82432 小时,累计开展安全培训,page_15.png,82432,no_schema_match,量化数据绩效表-安全绩效,培训体系,小时,82432,"{""2024年"": ""82432""}",2024
2024年,0.0,参训人员达 49676 人次,参训人员达,page_15.png,49676,no_schema_match,量化数据绩效表-安全绩效,培训体系,人次,49676,"{""2024年"": ""49676""}",2024
