field_key,field_name_cn,category,status,value,unit,year,source_route,confidence,citation_review_status,citation_review_reasons,citation_chunk_id,citation_page_number,citation_rank,citation_hybrid_score,citation_evidence_text,citation_text_excerpt
total_ghg_emissions,温室气体排放总量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p22_34,22,1,0.01639344,司持续发力，营业收入攀升至23182.85 万元，同比增长11.03%。 1. 承担大型工程项目，彰显中和环保专业能力 2023年承担的中粮家佳康（吉林）有限公司第七沼气站600m3/d减负还田设计采购施工总承包（EPC） 项目，日处理繁殖场和保育育肥场混合粪污600m³。该项目采用多重叠加工艺，在有效去除粪渣和饲料 残渣的基础上，厌氧发酵产沼气可有效提取废水中有机质，做到了有机碳的回收和利用，减少了对传统 能源的依赖。项目的成功实施，不仅彰显了中和环保在环保产业领域的专业能力，也为推动当地生态环 境保护和农业绿色发展做出了积极贡献。 2. 创新营收模式，实现多业态发展 2023 年公司与中国重汽集团签订了污水站托管运营合同，在中和核心竞争力领域开辟了一个新的业 务领域，凭借丰富的运营经验和技术优势，为客户提供专业的运营服务，成为公司新的收入利润增长点。 2024 年5 月承担的中粮家佳康（吉林）有限公司大兴镇万福新建 1100m³/d 减负还田设计采购施工 总承包项目（EPC），设计日处理能力为1100m³。该项目包括废水治理、废气治理、沼气综合利用、污 泥等废渣处理等，全方位为客...,司持续发力，营业收入攀升至23182.85 万元，同比增长11.03%。 1. 承担大型工程项目，彰显中和环保专业能力 2023年承担的中粮家佳康（吉林）有限公司第七沼气站600m3/d减负还田设计采购施工总承包（EPC） 项目，日处理繁殖场和保育育肥场混合粪污600m³。该项目采用多重叠加工艺，在有效去除粪渣和饲料 残渣的基础上，厌氧发酵产沼气可有效提取废水中有机质，做到了有机碳的回收和利用，减少了对传统 能源的依赖。项目的成功实施...
ghg_emissions_intensity,温室气体排放强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p6_6,6,1,0.04515152,3 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 草木蔓发，春山可望。 在这万物生长的时节，我谨代表山东鲁抗医药股份有限公司，向长期以来支持医药健康事业发展的 各界同仁致以诚挚谢意。过去一年，医药行业在变革中砥砺前行——从国家医保谈判深化、集采产品扩容， 到合成生物技术扶持政策落地、创新药“出海”浪潮翻涌，我们既是时代的见证者，更是责任的践行者。 守正笃行，以“生命至上”回应时代命题 济世之道，莫先于医。 面对全球公共卫生挑战与人口老龄化趋势，我们深知医药企业肩负的使命之重。2021 年，国家出台 《“十四五”医药工业发展规划》，明确“创新驱动、全链协同、绿色安全”三大方向。我们积极响应， 持续加大研发投入，在创新药、生物制造、高端制剂等方面实现突破，逐步实现由微生物发酵基地向合 成生物技术应用高地转变。2024 年研发投入40157 万元，占营业收入总额的6.44%，创新药稳步推进临 床研究，高端仿制药快速落地，“两重点六特色”产品管线更...,3 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 草木蔓发，春山可望。 在这万物生长的时节，我谨代表山东鲁抗医药股份有限公司，向长期以来支持医药健康事业发展的 各界同仁致以诚挚谢意。过去一年，医药行业在变革中砥砺前行——从国家医保谈判深化、集采产品扩容， 到合成生物技术扶持政策落地、创新药“...
scope_1_emissions,范围一温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p21_31,21,1,0.01639344,33 鲁抗医药2024 年度ESG 可持续发展报告 32 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 鲁抗医药始终视生态环境保护为己任，秉承“国内一流、行业领先、超前一步、绿色发展”的环保理念， 以退城进园为契机，实现了用地集约化、原料无害化、生产洁净化、废物资源化和能源低碳化的绿色发 展新模式，打造出了一个全新的绿色鲁抗。2024 年编制了《鲁抗医药碳达峰行动方案》《四个产品碳足迹 评价报告》，将碳达峰碳中和工作融入公司战略布局和发展规划，后期将按方案要求稳步推进重点工作任 务和重大工程项目，确保完成达峰目标。 ● “十四五”公司环保主要目标成效： （1）2024 年万元产值综合能耗0.2562（吨标煤/ 万元）较2020 年 末下降20.73% ； （2）2024 年万元增加值综合能耗0.8805（吨标煤/ 万元）较2020 年末下降29.89% ； ● 2024 年综合能耗情况。 2024 年万元产值综合能耗0.2562 吨标准煤，...,33 鲁抗医药2024 年度ESG 可持续发展报告 32 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 鲁抗医药始终视生态环境保护为己任，秉承“国内一流、行业领先、超前一步、绿色发展”的环保理念， 以退城进园为契机，实现了用地集约化、原料无害化、生产洁净化、废物资源化和能源低碳化的绿色发 展...
scope_2_emissions,范围二温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p21_31,21,1,0.01639344,33 鲁抗医药2024 年度ESG 可持续发展报告 32 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 鲁抗医药始终视生态环境保护为己任，秉承“国内一流、行业领先、超前一步、绿色发展”的环保理念， 以退城进园为契机，实现了用地集约化、原料无害化、生产洁净化、废物资源化和能源低碳化的绿色发 展新模式，打造出了一个全新的绿色鲁抗。2024 年编制了《鲁抗医药碳达峰行动方案》《四个产品碳足迹 评价报告》，将碳达峰碳中和工作融入公司战略布局和发展规划，后期将按方案要求稳步推进重点工作任 务和重大工程项目，确保完成达峰目标。 ● “十四五”公司环保主要目标成效： （1）2024 年万元产值综合能耗0.2562（吨标煤/ 万元）较2020 年 末下降20.73% ； （2）2024 年万元增加值综合能耗0.8805（吨标煤/ 万元）较2020 年末下降29.89% ； ● 2024 年综合能耗情况。 2024 年万元产值综合能耗0.2562 吨标准煤，...,33 鲁抗医药2024 年度ESG 可持续发展报告 32 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 鲁抗医药始终视生态环境保护为己任，秉承“国内一流、行业领先、超前一步、绿色发展”的环保理念， 以退城进园为契机，实现了用地集约化、原料无害化、生产洁净化、废物资源化和能源低碳化的绿色发 展...
energy_consumption_total,能源消耗总量,E,extracted,15.13,万吨标煤,2024,route_a_appendix_table,0.96,auto_cited,,table_page_40,40,1,,综合能源消耗量 万吨标煤 2022年 13.98 2023年 13.87 2024年 15.13,综合能源消耗量 万吨标煤 2022年 13.98 2023年 13.87 2024年 15.13
energy_consumption_intensity,能源消耗强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p11_14,11,1,0.11388889,"鲁抗医药2024 年度ESG 可持续发展报告 12 13 走进鲁抗 深化国企改革 规范治理 实现生态共赢 绿色发展 确保产品安全 质量为本 释放发展动能 创新驱动 携手伙伴共赢 发展相伴 坚守初心使命 和衷共济 助力员工发展 育才与共 ESG 管理 2022-2024 年指标情况 金额单位：万元 以“WIND”资讯发布的医药行业数据，326 家医药上市公司2024 年1-3 季度数据中，鲁抗医 药营业收入位列第38 位，同比上升3 位；利润总额位列第84 位，同比上升30 位。 项目 2022 年完成 2023 年完成 2024 年完成 利润总额（万元） 15,010 27,298 43,390 净资产收益率（%） 4.18 7.07 10.47 营业现金比率（%） 7.91 9.83 6.46 资产负债率（%） 59.82 57.50 55.36 研发经费投入强度（%） 6.52 6.56 7.15 全员劳动生产率（万元/ 人） 20.54 25.11 28.77 发展成效 → ++ 2022-2024 年，鲁抗医药在上市公司中，关键的核心竞争力指标（一利五率）的排名、进位及增长情...",鲁抗医药2024 年度ESG 可持续发展报告 12 13 走进鲁抗 深化国企改革 规范治理 实现生态共赢 绿色发展 确保产品安全 质量为本 释放发展动能 创新驱动 携手伙伴共赢 发展相伴 坚守初心使命 和衷共济 助力员工发展 育才与共 ESG 管理 2022-2024 年指标情况 金额单位：万元 以“WIND”资讯发布的医药行业数据，326 家医药上市公司2024 年1-3 季度数据中，鲁抗医 药营业收入位列第38 位，同比上升3 位...
natural_gas_consumption,天然气消耗量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p6_7,6,1,0.01639344,"提高能源 的利用效率，每年可减少二氧化碳排放当量约5.6 万吨。我们坚信，唯有尊重自然规律，方能实现基业长青。 和合共生，以“兼济天下”践行企业变革 在全球化遇阻的当下，我们坚持开放协作，与国内、国际科研院所共建多个高端产学研创新平台， 合成生物技术取得突破性进展，丙烯-1,2,3- 三羧酸三丁酯和丙烯-1,2,3- 三羧酸三(2- 乙基己) 酯两个全 新化合物获批，酵母底盘生物合成天然产物多个产品完成小规模产业化生产，让“绿色”融入更多产品， 让中国智慧惠及更多生命。 “千淘万漉虽辛苦，吹尽狂沙始到金。”面对集采常态化下的利润挤压、生物医药投融资降温等挑战， 我们选择以长期主义破局——未来，我们将持续加大研发投入，加快推进CIGB-814 等创新药临床试验进 度，探索重建免疫耐受治疗领域新突破，为全球自身免疫疾病患者带来新的希望。 朋友们，医药行业的本质是“修合虽无人见，存心自有天知”。站在新的历史坐标上，鲁抗医药愿 与诸君共勉：以科学精神敬畏生命，以敬畏之心守护自然，以守护之志回报社会。“让人类远离疾病痛苦” 正是我们对健康未来的永恒追求。 党委书记、董事长 彭欣 董事长致辞 →...","提高能源 的利用效率，每年可减少二氧化碳排放当量约5.6 万吨。我们坚信，唯有尊重自然规律，方能实现基业长青。 和合共生，以“兼济天下”践行企业变革 在全球化遇阻的当下，我们坚持开放协作，与国内、国际科研院所共建多个高端产学研创新平台， 合成生物技术取得突破性进展，丙烯-1,2,3- 三羧酸三丁酯和丙烯-1,2,3- 三羧酸三(2- 乙基己) 酯两个全 新化合物获批，酵母底盘生物合成天然产物多个产品完成小规模产业化生产，让“绿色”融入..."
electricity_consumption,用电量,E,extracted,708204300,千瓦时,2024,route_a_appendix_table,0.92,auto_cited,,table_page_40,40,1,,耗电量 千瓦时 2022年 685110000 2023年 689826000 2024年 708204300,耗电量 千瓦时 2022年 685110000 2023年 689826000 2024年 708204300
water_consumption,用水量,E,extracted,5662118,吨,2024,route_a_appendix_table,0.92,auto_cited,,table_page_40,40,1,,年度新鲜水用水量 吨 2022年 5004645 2023年 5139100 2024年 5662118,年度新鲜水用水量 吨 2022年 5004645 2023年 5139100 2024年 5662118
wastewater_discharge,废水排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p40_62,40,1,0.01639344,8 质量培训学时 小时 152.8 172 167 重大质量责任事故数 起 0 0 0 公益捐赠总额 万元 0.7 0.4 0.3 乡村振兴帮扶投入 万元 3 43.3 3 环境绩效 指标 单位 2022 年 2023 年 2024 年 指标 单位 2022 年 2023 年 2024 年 环保投入 万元 17338.87 16419 18120.29 一般及以上环境突发事件数 次 0 0 0 综合能源消耗量 万吨标煤 13.98 13.87 15.13 一般废弃物排放量 吨 33998.67 43095.82 49556.5 危险废弃物排放量 吨 101378.63 103115.23 95832.57 万元增加值综合能耗 吨标煤 / 万元 0.9418 0.8206 0.8805 万元营业收入综合能耗 吨标煤 / 万元 0.2487 0.2257 0.2428 耗电量 千瓦时 685110000 689826000 708204300 单位面积用电量 千瓦时 / 平方米 454.53 457.66 469.85 年度新鲜水用水量 吨 5004645 5139100 5662118...,8 质量培训学时 小时 152.8 172 167 重大质量责任事故数 起 0 0 0 公益捐赠总额 万元 0.7 0.4 0.3 乡村振兴帮扶投入 万元 3 43.3 3 环境绩效 指标 单位 2022 年 2023 年 2024 年 指标 单位 2022 年 2023 年 2024 年 环保投入 万元 17338.87 16419 18120.29 一般及以上环境突发事件数 次 0 0 0 综合能源消耗量 万吨标煤 13.98 1...
air_pollutant_emissions,废气或大气污染物排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p40_62,40,1,0.01639344,8 质量培训学时 小时 152.8 172 167 重大质量责任事故数 起 0 0 0 公益捐赠总额 万元 0.7 0.4 0.3 乡村振兴帮扶投入 万元 3 43.3 3 环境绩效 指标 单位 2022 年 2023 年 2024 年 指标 单位 2022 年 2023 年 2024 年 环保投入 万元 17338.87 16419 18120.29 一般及以上环境突发事件数 次 0 0 0 综合能源消耗量 万吨标煤 13.98 13.87 15.13 一般废弃物排放量 吨 33998.67 43095.82 49556.5 危险废弃物排放量 吨 101378.63 103115.23 95832.57 万元增加值综合能耗 吨标煤 / 万元 0.9418 0.8206 0.8805 万元营业收入综合能耗 吨标煤 / 万元 0.2487 0.2257 0.2428 耗电量 千瓦时 685110000 689826000 708204300 单位面积用电量 千瓦时 / 平方米 454.53 457.66 469.85 年度新鲜水用水量 吨 5004645 5139100 5662118...,8 质量培训学时 小时 152.8 172 167 重大质量责任事故数 起 0 0 0 公益捐赠总额 万元 0.7 0.4 0.3 乡村振兴帮扶投入 万元 3 43.3 3 环境绩效 指标 单位 2022 年 2023 年 2024 年 指标 单位 2022 年 2023 年 2024 年 环保投入 万元 17338.87 16419 18120.29 一般及以上环境突发事件数 次 0 0 0 综合能源消耗量 万吨标煤 13.98 1...
non_hazardous_waste,一般废弃物产生量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p21_31,21,1,0.01612903,33 鲁抗医药2024 年度ESG 可持续发展报告 32 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 鲁抗医药始终视生态环境保护为己任，秉承“国内一流、行业领先、超前一步、绿色发展”的环保理念， 以退城进园为契机，实现了用地集约化、原料无害化、生产洁净化、废物资源化和能源低碳化的绿色发 展新模式，打造出了一个全新的绿色鲁抗。2024 年编制了《鲁抗医药碳达峰行动方案》《四个产品碳足迹 评价报告》，将碳达峰碳中和工作融入公司战略布局和发展规划，后期将按方案要求稳步推进重点工作任 务和重大工程项目，确保完成达峰目标。 ● “十四五”公司环保主要目标成效： （1）2024 年万元产值综合能耗0.2562（吨标煤/ 万元）较2020 年 末下降20.73% ； （2）2024 年万元增加值综合能耗0.8805（吨标煤/ 万元）较2020 年末下降29.89% ； ● 2024 年综合能耗情况。 2024 年万元产值综合能耗0.2562 吨标准煤，...,33 鲁抗医药2024 年度ESG 可持续发展报告 32 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 鲁抗医药始终视生态环境保护为己任，秉承“国内一流、行业领先、超前一步、绿色发展”的环保理念， 以退城进园为契机，实现了用地集约化、原料无害化、生产洁净化、废物资源化和能源低碳化的绿色发 展...
hazardous_waste,危险废弃物产生量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p22_33,22,1,0.08587302,35 鲁抗医药2024 年度ESG 可持续发展报告 34 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 3. 鲁抗医药2024 年度资源综合利用情况 （1）大力推进绿色能源应用，通过充分利用房顶及空地等区域，持续推行分布式光伏发电项目，公 司光伏发电装机容量达到20MW，年发电能力约2400 万kWh，2024 年度实际光伏发电约2000 万 kWh。 （2）持续开展固废资源化与协同利用。2024 年，公司实现固废资源化利用率92% 以上，通过委外 协同再利用废溶媒，变废为宝，在降低公司危险废物处置成本的同时，有力推动了公司环保绿色发展。 做强做优做大环保产业 → ++ 山东鲁抗中和环保科技有限公司，作为山东鲁抗医药股份有限公司旗下专注环保服务的全资子公司， 在环保领域建树卓越。公司配备智能化中控平台与先进环保设施，拥有处于全国领先水平的中温厌氧沼 气发电系统，已然成为业内综合性、专业化的环保治理综合服务商。 中和环保公司业务多元且全面，涵...,35 鲁抗医药2024 年度ESG 可持续发展报告 34 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 3. 鲁抗医药2024 年度资源综合利用情况 （1）大力推进绿色能源应用，通过充分利用房顶及空地等区域，持续推行分布式光伏发电项目，公 司光伏发电装机容量达到20MW，年发电能力约2400...
environmental_investment,环保投入金额,E,extracted,19221,万元,2024,route_a_appendix_table,0.92,auto_cited,,table_page_21,21,1,,• 公司2021年环保投入19221万元，2022年环保投入17339万元，2023年环保投入16419万元，2024年环保投入18120万元。,• 公司2021年环保投入19221万元，2022年环保投入17339万元，2023年环保投入16419万元，2024年环保投入18120万元。
