applicability,category,confidence,evidence,field_key,field_name_cn,indicator_type,industry,merge_reason,missing_reason,page_image,raw_value,route_a_confidence,route_a_reason,route_a_status,route_b2_confidence,route_b2_evidence,route_b2_matched,route_b2_raw_value,route_b2_reason,route_b2_source_pages,route_b2_unit,route_b2_value,route_b2_year,route_b_confidence,route_b_evidence,route_b_matched,route_b_reason,route_b_source_pages,route_b_summary,row_label,source_pages,source_route,status,table_title,topic,unit,value,value_type,year
core,E,0.0,,total_ghg_emissions,温室气体排放总量,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,ghg_emissions_intensity,温室气体排放强度,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,scope_1_emissions,范围一温室气体排放量,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,scope_2_emissions,范围二温室气体排放量,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.96,综合能源消耗量 万吨标煤 2022年 13.98 2023年 13.87 2024年 15.13,energy_consumption_total,能源消耗总量,quantitative,pharma,route_a_selected,,page_40.png,15.13,0.96,normalized_alias_match:综合能源消耗; schema_match_validated,extracted,,,,,,,,,,,,,,,,综合能源消耗量,page_40.png,route_a_appendix_table,extracted,量化数据绩效表-环境绩效,,万吨标煤,15.13,number,2024
core,E,0.0,,energy_consumption_intensity,能源消耗强度,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,natural_gas_consumption,天然气消耗量,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.92,耗电量 千瓦时 2022年 685110000 2023年 689826000 2024年 708204300,electricity_consumption,用电量,quantitative,pharma,route_a_selected,,page_40.png,708204300,0.92,heuristic_electricity_total_alias; schema_match_validated,extracted,,,,,,,,,,,,,,,,耗电量,page_40.png,route_a_appendix_table,extracted,量化数据绩效表-环境绩效,,千瓦时,708204300,number,2024
core,E,0.92,年度新鲜水用水量 吨 2022年 5004645 2023年 5139100 2024年 5662118,water_consumption,用水量,quantitative,pharma,route_a_selected,,page_40.png,5662118,0.92,heuristic_water_ocr_correction; schema_match_validated,extracted,,,,,,,,,,,,,,,,年度新鲜水用水量,page_40.png,route_a_appendix_table,extracted,量化数据绩效表-环境绩效,,吨,5662118,number,2024
core,E,0.0,,wastewater_discharge,废水排放量,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
