column_label,confidence,evidence_text,metric_name,page_image,raw_value,reason,table_title,topic,unit,value,values,year
2024年,0.0,"资产总额 872,767 880,243 909,798",资产总额,page_11.png,"909,798",business_performance_not_core_esg,2022-2024年指标情况,,万元,909798,"{""2022年"": ""872,767"", ""2023年"": ""880,243"", ""2024年"": ""909,798""}",2024
2024年,0.0,"所有者权益 350,717 374,135 406,157",所有者权益,page_11.png,"406,157",no_schema_match,2022-2024年指标情况,,万元,406157,"{""2022年"": ""350,717"", ""2023年"": ""374,135"", ""2024年"": ""406,157""}",2024
2024年,0.0,"营业收入 562,144 614,672 623,309",营业收入,page_11.png,"623,309",business_performance_not_core_esg,2022-2024年指标情况,,万元,623309,"{""2022年"": ""562,144"", ""2023年"": ""614,672"", ""2024年"": ""623,309""}",2024
2024年,0.0,"利润总额 15,010 27,298 43,390",利润总额,page_11.png,"43,390",business_performance_not_core_esg,2022-2024年指标情况,,万元,43390,"{""2022年"": ""15,010"", ""2023年"": ""27,298"", ""2024年"": ""43,390""}",2024
2024年,0.0,"净利润 14,312 25,679 40,835",净利润,page_11.png,"40,835",business_performance_not_core_esg,2022-2024年指标情况,,万元,40835,"{""2022年"": ""14,312"", ""2023年"": ""25,679"", ""2024年"": ""40,835""}",2024
2024年,0.0,"归母净利润 13,801 24,617 39,462",归母净利润,page_11.png,"39,462",business_performance_not_core_esg,2022-2024年指标情况,,万元,39462,"{""2022年"": ""13,801"", ""2023年"": ""24,617"", ""2024年"": ""39,462""}",2024
2024年,0.0,"利税总额 36,962 53,956 70,134",利税总额,page_11.png,"70,134",no_schema_match,2022-2024年指标情况,,万元,70134,"{""2022年"": ""36,962"", ""2023年"": ""53,956"", ""2024年"": ""70,134""}",2024
2024年,0.0,"应缴纳税金总额 21,953 26,659 26,744",应缴纳税金总额,page_11.png,"26,744",no_schema_match,2022-2024年指标情况,,万元,26744,"{""2022年"": ""21,953"", ""2023年"": ""26,659"", ""2024年"": ""26,744""}",2024
2024年,0.0,"国有资本收益 3,523 6,863 9,570",国有资本收益,page_11.png,"9,570",no_schema_match,2022-2024年指标情况,,万元,9570,"{""2022年"": ""3,523"", ""2023年"": ""6,863"", ""2024年"": ""9,570""}",2024
2024年,0.0,总资产报酬率 2.62 3.86 5.69,总资产报酬率,page_11.png,5.69,no_schema_match,2022-2024年指标情况,,%,5.69,"{""2022年"": ""2.62"", ""2023年"": ""3.86"", ""2024年"": ""5.69""}",2024
2024年,0.0,净资产收益率 4.18 7.07 10.47,净资产收益率,page_11.png,10.47,business_performance_not_core_esg,2022-2024年指标情况,,%,10.47,"{""2022年"": ""4.18"", ""2023年"": ""7.07"", ""2024年"": ""10.47""}",2024
2024年,0.0,国有资产保值增值率 102.38% 107.90% 106.98%,国有资产保值增值率,page_11.png,106.98%,no_schema_match,2022-2024年指标情况,,%,106.98,"{""2022年"": ""102.38%"", ""2023年"": ""107.90%"", ""2024年"": ""106.98%""}",2024
2024年,0.0,资产负债率 59.82% 57.50% 55.36%,资产负债率,page_11.png,55.36%,business_performance_not_core_esg,2022-2024年指标情况,,%,55.36,"{""2022年"": ""59.82%"", ""2023年"": ""57.50%"", ""2024年"": ""55.36%""}",2024
2024年,0.0,"利润总额（万元） 15,010 27,298 43,390",利润总额（万元）,page_11.png,"43,390",business_performance_not_core_esg,2022-2024年关键竞争力指标（一利五率）的排名、进位及增长情况,,万元,43390,"{""2022年"": ""15,010"", ""2023年"": ""27,298"", ""2024年"": ""43,390""}",2024
2024年,0.0,净资产收益率（%） 4.18 7.07 10.47,净资产收益率（%）,page_11.png,10.47,business_performance_not_core_esg,2022-2024年关键竞争力指标（一利五率）的排名、进位及增长情况,,%,10.47,"{""2022年"": ""4.18"", ""2023年"": ""7.07"", ""2024年"": ""10.47""}",2024
2024年,0.0,营业现金比率（%） 7.91 9.83 6.46,营业现金比率（%）,page_11.png,6.46,no_schema_match,2022-2024年关键竞争力指标（一利五率）的排名、进位及增长情况,,%,6.46,"{""2022年"": ""7.91"", ""2023年"": ""9.83"", ""2024年"": ""6.46""}",2024
2024年,0.0,资产负债率（%） 59.82 57.50 55.36,资产负债率（%）,page_11.png,55.36,business_performance_not_core_esg,2022-2024年关键竞争力指标（一利五率）的排名、进位及增长情况,,%,55.36,"{""2022年"": ""59.82"", ""2023年"": ""57.50"", ""2024年"": ""55.36""}",2024
2024年,0.0,研发经费投入强度（%） 6.52 6.56 7.15,研发经费投入强度（%）,page_11.png,7.15,no_schema_match,2022-2024年关键竞争力指标（一利五率）的排名、进位及增长情况,,%,7.15,"{""2022年"": ""6.52"", ""2023年"": ""6.56"", ""2024年"": ""7.15""}",2024
2024年,0.0,全员劳动生产率（万元/人） 20.54 25.11 28.77,全员劳动生产率（万元/人）,page_11.png,28.77,no_schema_match,2022-2024年关键竞争力指标（一利五率）的排名、进位及增长情况,,万元/人,28.77,"{""2022年"": ""20.54"", ""2023年"": ""25.11"", ""2024年"": ""28.77""}",2024
2024年,0.0,空压余热项目 实现节能效益 1400 余万元,空压余热项目实现节能效益,page_21.png,1400,no_schema_match,鲁抗医药2024年度节能和减排效果明显的典型项目,,万元,1400,"{""2024年"": ""1400""}",2024
2024年,0.0,永磁节能电机项目 每年节电 约 1300 万kWh,永磁节能电机项目每年节电,page_21.png,1300,no_schema_match,鲁抗医药2024年度节能和减排效果明显的典型项目,,万kWh,1300,"{""2024年"": ""1300""}",2024
2024年,0.0,节能空压机项目 每年节电 约 2400 万kWh,节能空压机项目每年节电,page_21.png,2400,no_schema_match,鲁抗医药2024年度节能和减排效果明显的典型项目,,万kWh,2400,"{""2024年"": ""2400""}",2024
2024年,0.0,（1）2024年万元产值综合能耗0.2562（吨标煤／万元）较2020年末下降20.73%；,2024年万元产值综合能耗较2020年末下降,page_21.png,20.73,no_schema_match,“十四五”公司环保主要目标成效,,%,20.73,"{""2024年"": ""20.73""}",2024
2024年,0.0,（2）2024年万元增加值综合能耗0.8805（吨标煤／万元）较2020年末下降29.98%；,2024年万元增加值综合能耗较2020年末下降,page_21.png,29.98,no_schema_match,“十四五”公司环保主要目标成效,,%,29.98,"{""2024年"": ""29.98""}",2024
2024年,0.0,2024年万元产值综合能耗0.2562吨标煤，同比升高13.31%；万元营业收入综合能耗0.2428吨标煤，同比升高7.58%；万元增加值综合能耗0.8805吨标煤，同比升高7.33%。,2024年万元产值综合能耗同比升高,page_21.png,13.31,business_performance_not_core_esg,“十四五”公司环保主要目标成效,,%,13.31,"{""2024年"": ""13.31""}",2024
2024年,0.0,• 2024年万元产值COD排放量同比下降1.32%。,2024年万元产值COD排放量同比下降,page_21.png,1.32,no_schema_match,“十四五”公司环保主要目标成效,,%,1.32,"{""2024年"": ""1.32""}",2024
2024年,0.0,劳动合同签订率 (%) 2024 100% 2023 100% 2022 100%,劳动合同签订率 (%),page_30.png,100%,no_schema_match,公司员工权益关键指标,,%,100,"{""2024年"": ""100%"", ""2023年"": ""100%"", ""2022年"": ""100%""}",2024
2024年,0.0,女性管理者比例 (%) 2024 24.00% 2023 24.32% 2022 24.21%,女性管理者比例 (%),page_30.png,24.00%,no_schema_match,公司员工权益关键指标,,%,24,"{""2024年"": ""24.00%"", ""2023年"": ""24.32%"", ""2022年"": ""24.21%""}",2024
2024年,0.0,人均带薪休假天数 (天) 2024 9.10 2023 8.99 2022 9.90,人均带薪休假天数 (天),page_30.png,9.10,no_schema_match,公司员工权益关键指标,,天,9.1,"{""2024年"": ""9.10"", ""2023年"": ""8.99"", ""2022年"": ""9.90""}",2024
2024年,0.0,职工平均工资水平 (万元) 2024 8.77 2023 8.71 2022 7.60,职工平均工资水平 (万元),page_30.png,8.77,no_schema_match,公司员工权益关键指标,,万元,8.77,"{""2024年"": ""8.77"", ""2023年"": ""8.71"", ""2022年"": ""7.60""}",2024
2024年,0.0,人（户）次 2024 71 2023 107 2022 122,人（户）次,page_30.png,71,no_schema_match,公司员工帮扶项目有关统计,,人（户）次,71,"{""2024年"": ""71"", ""2023年"": ""107"", ""2022年"": ""122""}",2024
2024年,0.0,金额（元） 2024 183200 2023 160000 2022 151500,金额（元）,page_30.png,183200,no_schema_match,公司员工帮扶项目有关统计,,元,183200,"{""2024年"": ""183200"", ""2023年"": ""160000"", ""2022年"": ""151500""}",2024
2024年,0.0,救助困难职工 2024 71 2023 107 2022 122,救助困难职工,page_30.png,71,no_schema_match,公司员工帮扶项目有关统计,,,71,"{""2024年"": ""71"", ""2023年"": ""107"", ""2022年"": ""122""}",2024
2024年,0.0,走访慰问困难员工家庭 2024 30 2023 35 2022 34,走访慰问困难员工家庭,page_30.png,30,no_schema_match,公司员工帮扶项目有关统计,,,30,"{""2024年"": ""30"", ""2023年"": ""35"", ""2022年"": ""34""}",2024
2024年,0.0,资助困难职工子女入学 2024 124 2023 108 2022 106,资助困难职工子女入学,page_30.png,124,no_schema_match,公司员工帮扶项目有关统计,,,124,"{""2024年"": ""124"", ""2023年"": ""108"", ""2022年"": ""106""}",2024
2024年,0.0,救助重病员工 2024 16 2023 23 2022 9,救助重病员工,page_30.png,16,no_schema_match,公司员工帮扶项目有关统计,,,16,"{""2024年"": ""16"", ""2023年"": ""23"", ""2022年"": ""9""}",2024
2024年,0.9,2022 应急演练次数 286 安全生产投入额度（万元） 1303 员工培训人数 6351 注册安全工程师人数 15,2022,page_32.png,286,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_ohs_investment,量化数据绩效表-安全生产投入与培训,,,286,"{""2024年"": ""286""}",2024
2024年,0.9,2023 应急演练次数 621 安全生产投入额度（万元） 1912 员工培训人数 6636 注册安全工程师人数 16,2023,page_32.png,621,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_ohs_investment,量化数据绩效表-安全生产投入与培训,,,621,"{""2024年"": ""621""}",2024
2024年,0.9,2024 应急演练次数 703 安全生产投入额度（万元） 2579 员工培训人数 6675 注册安全工程师人数 18,2024,page_32.png,703,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_ohs_investment,量化数据绩效表-安全生产投入与培训,,,703,"{""2024年"": ""703""}",2024
2024年,0.0,一般及以上环境突发事件数 次 2022年 0 2023年 0 2024年 0,一般及以上环境突发事件数,page_40.png,0,no_schema_match,量化数据绩效表-环境绩效,,次,0,"{""2022年"": ""0"", ""2023年"": ""0"", ""2024年"": ""0""}",2024
2024年,0.93,一般废弃物排放量 吨 2022年 33998.67 2023年 43095.82 2024年 49556.5,一般废弃物排放量,page_40.png,49556.5,rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_non_hazardous_waste,量化数据绩效表-环境绩效,,吨,49556.5,"{""2022年"": ""33998.67"", ""2023年"": ""43095.82"", ""2024年"": ""49556.5""}",2024
2024年,0.93,危险废弃物排放量 吨 2022年 101378.63 2023年 103115.23 2024年 95832.57,危险废弃物排放量,page_40.png,95832.57,rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_hazardous_waste,量化数据绩效表-环境绩效,,吨,95832.57,"{""2022年"": ""101378.63"", ""2023年"": ""103115.23"", ""2024年"": ""95832.57""}",2024
2024年,0.0,万元增加值综合能耗 吨标煤 / 万元 2022年 0.9418 2023年 0.8206 2024年 0.8805,万元增加值综合能耗,page_40.png,0.8805,no_schema_match,量化数据绩效表-环境绩效,,吨标煤 / 万元,0.8805,"{""2022年"": ""0.9418"", ""2023年"": ""0.8206"", ""2024年"": ""0.8805""}",2024
2024年,0.0,万元营业收入综合能耗 吨标煤 / 万元 2022年 0.2487 2023年 0.2257 2024年 0.2428,万元营业收入综合能耗,page_40.png,0.2428,business_performance_not_core_esg,量化数据绩效表-环境绩效,,吨标煤 / 万元,0.2428,"{""2022年"": ""0.2487"", ""2023年"": ""0.2257"", ""2024年"": ""0.2428""}",2024
2024年,0.0,环保培训次数 次 2022年 141 2023年 140 2024年 146,环保培训次数,page_40.png,146,no_schema_match,量化数据绩效表-环境绩效,,次,146,"{""2022年"": ""141"", ""2023年"": ""140"", ""2024年"": ""146""}",2024
2024年,0.9,环保培训投入 万元 2022年 0.99 2023年 10.7 2024年 2.4866,环保培训投入,page_40.png,2.4866,rejected_by_schema_validator:field_not_in_core_schema; original_reason=heuristic_training_expense,量化数据绩效表-环境绩效,,万元,2.4866,"{""2022年"": ""0.99"", ""2023年"": ""10.7"", ""2024年"": ""2.4866""}",2024
2024年,0.0,环保培训人数 人次 2022年 6226 2023年 6136 2024年 6388,环保培训人数,page_40.png,6388,no_schema_match,量化数据绩效表-环境绩效,,人次,6388,"{""2022年"": ""6226"", ""2023年"": ""6136"", ""2024年"": ""6388""}",2024
2024年,0.93,环保培训覆盖率 % 2022年 100% 2023年 100% 2024年 100%,环保培训覆盖率,page_40.png,100%,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=alias_match:培训覆盖率,量化数据绩效表-环境绩效,,%,100,"{""2022年"": ""100%"", ""2023年"": ""100%"", ""2024年"": ""100%""}",2024
2024年,0.92,男性员工比例 % 2022年 58.36 2023年 57.85 2024年 58.22,男性员工比例,page_40.png,58.22,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=alias_match:男性员工,量化数据绩效表-社会绩效,,%,58.22,"{""2022年"": ""58.36"", ""2023年"": ""57.85"", ""2024年"": ""58.22""}",2024
2024年,0.0,吸纳就业人数 人 2022年 350 2023年 456 2024年 226,吸纳就业人数,page_40.png,226,no_schema_match,量化数据绩效表-社会绩效,,人,226,"{""2022年"": ""350"", ""2023年"": ""456"", ""2024年"": ""226""}",2024
2024年,0.0,女性管理者比例 % 2022年 24.21 2023年 22.78 2024年 24.00,女性管理者比例,page_40.png,24.00,no_schema_match,量化数据绩效表-社会绩效,,%,24,"{""2022年"": ""24.21"", ""2023年"": ""22.78"", ""2024年"": ""24.00""}",2024
2024年,0.0,劳动合同签约率 % 2022年 100 2023年 100 2024年 100,劳动合同签约率,page_40.png,100,no_schema_match,量化数据绩效表-社会绩效,,%,100,"{""2022年"": ""100"", ""2023年"": ""100"", ""2024年"": ""100""}",2024
2024年,0.0,新增职业病数 例 2022年 0 2023年 0 2024年 0,新增职业病数,page_40.png,0,no_schema_match,量化数据绩效表-社会绩效,,例,0,"{""2022年"": ""0"", ""2023年"": ""0"", ""2024年"": ""0""}",2024
2024年,0.0,员工参加工会比例 % 2022年 100 2023年 100 2024年 100,员工参加工会比例,page_40.png,100,no_schema_match,量化数据绩效表-社会绩效,,%,100,"{""2022年"": ""100"", ""2023年"": ""100"", ""2024年"": ""100""}",2024
2024年,0.0,困难员工帮扶投入 万元 2022年 24.12 2023年 31.36 2024年 32,困难员工帮扶投入,page_40.png,32,no_schema_match,量化数据绩效表-社会绩效,,万元,32,"{""2022年"": ""24.12"", ""2023年"": ""31.36"", ""2024年"": ""32""}",2024
2024年,0.0,安全生产培训次数 次 2022年 1359 2023年 1384 2024年 1804,安全生产培训次数,page_40.png,1804,no_schema_match,量化数据绩效表-社会绩效,,次,1804,"{""2022年"": ""1359"", ""2023年"": ""1384"", ""2024年"": ""1804""}",2024
2024年,0.93,安全生产培训覆盖率 % 2022年 100% 2023年 100% 2024年 100%,安全生产培训覆盖率,page_40.png,100%,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=alias_match:培训覆盖率,量化数据绩效表-社会绩效,,%,100,"{""2022年"": ""100%"", ""2023年"": ""100%"", ""2024年"": ""100%""}",2024
2024年,0.9,质量培训投入费用 万元 2022年 5.5 2023年 7.6 2024年 2.75,质量培训投入费用,page_40.png,2.75,rejected_by_schema_validator:field_not_in_core_schema; original_reason=heuristic_training_expense,量化数据绩效表-社会绩效,,万元,2.75,"{""2022年"": ""5.5"", ""2023年"": ""7.6"", ""2024年"": ""2.75""}",2024
2024年,0.0,质量培训次数 次 2022年 31 2023年 38 2024年 41,质量培训次数,page_40.png,41,no_schema_match,量化数据绩效表-社会绩效,,次,41,"{""2022年"": ""31"", ""2023年"": ""38"", ""2024年"": ""41""}",2024
2024年,0.0,质量培训学时 小时 2022年 152.8 2023年 172 2024年 167,质量培训学时,page_40.png,167,no_schema_match,量化数据绩效表-社会绩效,,小时,167,"{""2022年"": ""152.8"", ""2023年"": ""172"", ""2024年"": ""167""}",2024
2024年,0.0,公益捐赠总额 万元 2022年 0.7 2023年 0.4 2024年 0.3,公益捐赠总额,page_40.png,0.3,no_schema_match,量化数据绩效表-社会绩效,,万元,0.3,"{""2022年"": ""0.7"", ""2023年"": ""0.4"", ""2024年"": ""0.3""}",2024
2024年,0.0,乡村振兴帮扶投入 万元 2022年 3 2023年 43.3 2024年 3,乡村振兴帮扶投入,page_40.png,3,no_schema_match,量化数据绩效表-社会绩效,,万元,3,"{""2022年"": ""3"", ""2023年"": ""43.3"", ""2024年"": ""3""}",2024
2024年,0.94,股东大会 次 2022年 2 2023年 1 2024年 2,股东大会,page_41.png,2,rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_shareholder_meetings_short_label,管治绩效,,次,2,"{""2022年"": ""2"", ""2023年"": ""1"", ""2024年"": ""2""}",2024
2024年,0.94,董事会 次 2022年 10 2023年 6 2024年 7,董事会,page_41.png,7,rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_board_meetings_short_label,管治绩效,,次,7,"{""2022年"": ""10"", ""2023年"": ""6"", ""2024年"": ""7""}",2024
2024年,0.0,监事会 次 2022年 10 2023年 6 2024年 7,监事会,page_41.png,7,no_schema_match,管治绩效,,次,7,"{""2022年"": ""10"", ""2023年"": ""6"", ""2024年"": ""7""}",2024
2024年,0.0,定期报告 份 2022年 4 2023年 4 2024年 4,定期报告,page_41.png,4,no_schema_match,管治绩效,,份,4,"{""2022年"": ""4"", ""2023年"": ""4"", ""2024年"": ""4""}",2024
2024年,0.0,临时公告 份 2022年 122 2023年 91 2024年 111,临时公告,page_41.png,111,no_schema_match,管治绩效,,份,111,"{""2022年"": ""122"", ""2023年"": ""91"", ""2024年"": ""111""}",2024
2024年,0.0,现金股利分配 万元 2022年 4411.03 2023年 4889.68 2024年 9871.76,现金股利分配,page_41.png,9871.76,no_schema_match,管治绩效,,万元,9871.76,"{""2022年"": ""4411.03"", ""2023年"": ""4889.68"", ""2024年"": ""9871.76""}",2024
2024年,0.0,开展专项审计 次 2022年 10 2023年 8 2024年 6,开展专项审计,page_41.png,6,no_schema_match,管治绩效,,次,6,"{""2022年"": ""10"", ""2023年"": ""8"", ""2024年"": ""6""}",2024
2024年,0.0,重大违法违规处罚数 次 2022年 0 2023年 0 2024年 0,重大违法违规处罚数,page_41.png,0,no_schema_match,管治绩效,,次,0,"{""2022年"": ""0"", ""2023年"": ""0"", ""2024年"": ""0""}",2024
2024年,0.0,守法合规培训次数 次 2022年 6 2023年 7 2024年 8,守法合规培训次数,page_41.png,8,no_schema_match,管治绩效,,次,8,"{""2022年"": ""6"", ""2023年"": ""7"", ""2024年"": ""8""}",2024
2024年,0.93,守法合规培训覆盖率 % 2022年 100 2023年 100 2024年 100,守法合规培训覆盖率,page_41.png,100,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=alias_match:培训覆盖率,管治绩效,,%,100,"{""2022年"": ""100"", ""2023年"": ""100"", ""2024年"": ""100""}",2024
2024年,0.0,风险管理培训次数 次 2022年 2 2023年 2 2024年 2,风险管理培训次数,page_41.png,2,no_schema_match,管治绩效,,次,2,"{""2022年"": ""2"", ""2023年"": ""2"", ""2024年"": ""2""}",2024
2024年,0.0,风险管理培训人数 人次 2022年 304 2023年 312 2024年 330,风险管理培训人数,page_41.png,330,no_schema_match,管治绩效,,人次,330,"{""2022年"": ""304"", ""2023年"": ""312"", ""2024年"": ""330""}",2024
2024年,0.0,"资产总额 万元 2022年 872,767 2023年 880,243 2024年 909,798",资产总额,page_41.png,"909,798",business_performance_not_core_esg,管治绩效,,万元,909798,"{""2022年"": ""872,767"", ""2023年"": ""880,243"", ""2024年"": ""909,798""}",2024
2024年,0.0,"营业收入 万元 2022年 562,144 2023年 614,672 2024年 623,309",营业收入,page_41.png,"623,309",business_performance_not_core_esg,管治绩效,,万元,623309,"{""2022年"": ""562,144"", ""2023年"": ""614,672"", ""2024年"": ""623,309""}",2024
2024年,0.0,"利润总额 万元 2022年 15,010 2023年 27,298 2024年 43,390",利润总额,page_41.png,"43,390",business_performance_not_core_esg,管治绩效,,万元,43390,"{""2022年"": ""15,010"", ""2023年"": ""27,298"", ""2024年"": ""43,390""}",2024
2024年,0.0,"净利润 万元 2022年 14,312 2023年 25,679 2024年 40,835",净利润,page_41.png,"40,835",business_performance_not_core_esg,管治绩效,,万元,40835,"{""2022年"": ""14,312"", ""2023年"": ""25,679"", ""2024年"": ""40,835""}",2024
2024年,0.0,"纳税总额 万元 2022年 21,953 2023年 26,659 2024年 26,744",纳税总额,page_41.png,"26,744",business_performance_not_core_esg,管治绩效,,万元,26744,"{""2022年"": ""21,953"", ""2023年"": ""26,659"", ""2024年"": ""26,744""}",2024
2024年,0.0,净资产收益率 % 2022年 4.18 2023年 7.07 2024年 10.47,净资产收益率,page_41.png,10.47,business_performance_not_core_esg,管治绩效,,%,10.47,"{""2022年"": ""4.18"", ""2023年"": ""7.07"", ""2024年"": ""10.47""}",2024
2024年,0.0,总资产报酬率 % 2022年 2.62 2023年 3.86 2024年 5.69,总资产报酬率,page_41.png,5.69,no_schema_match,管治绩效,,%,5.69,"{""2022年"": ""2.62"", ""2023年"": ""3.86"", ""2024年"": ""5.69""}",2024
2024年,0.0,资产负债率 % 2022年 59.82 2023年 57.50 2024年 55.36,资产负债率,page_41.png,55.36,business_performance_not_core_esg,管治绩效,,%,55.36,"{""2022年"": ""59.82"", ""2023年"": ""57.50"", ""2024年"": ""55.36""}",2024
2024年,0.0,国有资产保值增值率 % 2022年 102.38 2023年 107.90 2024年 106.98,国有资产保值增值率,page_41.png,106.98,no_schema_match,管治绩效,,%,106.98,"{""2022年"": ""102.38"", ""2023年"": ""107.90"", ""2024年"": ""106.98""}",2024
