field_key,field_name_cn,category,indicator_type,value_type,value,raw_value,unit,year,column_label,row_label,topic,table_title,page_image,evidence_text,status,confidence,match_reason
total_ghg_emissions,温室气体排放总量,E,quantitative,number,0.1131,0.1131,万吨二氧化碳当量,2024,2024年,温室气体排放量,环保绩效,关键绩效表-环保绩效,page_45.png,温室气体排放量 万吨二氧化碳当量 0.1131,extracted,0.94,heuristic_total_ghg_unit_pivot; unit_pivot_soft_warning:ghg_unit_anchor
ghg_emissions_intensity,温室气体排放强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
scope_1_emissions,范围一温室气体排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
scope_2_emissions,范围二温室气体排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
energy_consumption_total,能源消耗总量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
energy_consumption_intensity,能源消耗强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
natural_gas_consumption,天然气消耗量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
electricity_consumption,用电量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
water_consumption,用水量,E,quantitative,number,4810,4810,立方米,2024,2024年,年使用水电总量,环保绩效,关键绩效表-环保绩效,page_45.png,年使用水电总量 立方米 4810,extracted,0.92,heuristic_water_ocr_correction; unit_pivot_soft_warning:water_ocr_or_alias
wastewater_discharge,废水排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
air_pollutant_emissions,废气或大气污染物排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
non_hazardous_waste,一般废弃物产生量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
hazardous_waste,危险废弃物产生量,E,quantitative,number,0,0,万吨,2024,2024年,危险废物处置量,环保绩效,关键绩效表-环保绩效,page_45.png,危险废物处置量 万吨 0,extracted,0.93,heuristic_hazardous_waste; schema_match_validated
environmental_investment,环保投入金额,E,quantitative,number,10.05,10.05,万元,2024,2024年,环保总投资,环保绩效,关键绩效表-环保绩效,page_45.png,环保总投资 万元 10.05,extracted,0.96,manual_alias_override:环保总投资; schema_match_validated
environmental_penalty_count,环境违规或处罚事件数量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
total_employees,员工总数,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
male_employees,男性员工人数,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
female_employees,女性员工人数,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
female_employee_ratio,女性员工比例,S,quantitative,percentage,,,,,,,,,,,missing,0.0,not_found
employee_turnover_rate,员工流失率,S,quantitative,percentage,6.92,6.92,%,2024,2024年,员工流失率,,关键绩效表-社会绩效,page_45.png,员工流失率 % 6.92 9.11 3.66,extracted,0.9500000000000001,normalized_alias_match:员工流失率; schema_match_validated
training_total_hours,员工培训总时长,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
training_hours_per_employee,人均培训时长,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
training_coverage_rate,员工培训覆盖率,S,quantitative,percentage,,,,,,,,,,,missing,0.0,not_found
social_security_coverage,社会保险覆盖率,S,quantitative,percentage,100,100,%,2024,2024年,社会保险覆盖率,,关键绩效表-社会绩效,page_45.png,社会保险覆盖率 % 100 100 100,extracted,0.92,heuristic_social_security_coverage; schema_match_validated
employee_medical_checkup_coverage,员工体检覆盖率,S,quantitative,percentage,100,100,%,2024,2024年,体检及健康档案覆盖率,,关键绩效表-社会绩效,page_45.png,体检及健康档案覆盖率 % 100 100 100,extracted,0.9,heuristic_employee_medical_checkup_coverage_alias; schema_match_validated
trained_employees_count,受训员工人数,S,quantitative,number,378,378,人次,2024,2024年,全年累计培训员工人次,,关键绩效表-社会绩效,page_45.png,全年累计培训员工人次 人次 378 4464 1456,extracted,0.9,heuristic_trained_employees_count; alias_soft_warning:training_participants
safety_accident_count,安全生产事故数量,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
occupational_health_safety_investment,安全生产投入,S,quantitative,number,482.29,482.29,万元,2024,2024年,安全生产投入,,关键绩效表-社会绩效,page_45.png,安全生产投入 万元 482.29 230.79 303.4,extracted,0.9,heuristic_ohs_investment; schema_match_validated
safety_emergency_drill_count,安全应急演练次数,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
lost_work_days_due_to_injury,因工伤损失工作日数,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
r_and_d_personnel_count,研发人员数量,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
r_and_d_expense,研发投入金额,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
public_welfare_investment,公益投入金额,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
board_size,董事会人数,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
independent_directors,独立董事人数,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
independent_director_ratio,独立董事比例,G,quantitative,percentage,,,,,,,,,,,missing,0.0,not_found
female_directors,女性董事人数,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
board_meetings,董事会会议次数,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
shareholder_meetings,股东大会会议次数,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
anti_corruption_training_sessions,反腐败培训次数,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
anti_corruption_training_participants,反腐败培训人数,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
confirmed_corruption_cases,确认腐败案件数量,G,quantitative,number,,,,,,,,,,,missing,0.0,not_found
esg_strategy_targets,ESG战略目标,E,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
climate_risk_management,气候风险识别与管理,E,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
environmental_management_system,环境管理体系,E,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
energy_saving_measures,节能减排措施,E,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
water_management_measures,水资源管理措施,E,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
waste_management_measures,废弃物管理措施,E,qualitative,boolean_or_text,,,,,,,,,,,missing,0.0,not_found
