column_label,confidence,evidence_text,metric_name,page_image,raw_value,reason,table_title,topic,unit,value,values,year
2024年,0.0,治理绩效 组织6次中心组（扩大）学习会议 次 2024年 6,组织6次中心组（扩大）学习会议,page_9.png,6,no_schema_match,量化数据绩效表,治理绩效,次,6,"{""2024年"": ""6""}",2024
2024年,0.0,治理绩效 订购党建书籍杂志1400余本 本 2024年 1400,订购党建书籍杂志1400余本,page_9.png,1400,no_schema_match,量化数据绩效表,治理绩效,本,1400,"{""2024年"": ""1400""}",2024
2024年,0.0,治理绩效 全体党员全年均学习32学时 学时 2024年 32,全体党员全年均学习32学时,page_9.png,32,no_schema_match,量化数据绩效表,治理绩效,学时,32,"{""2024年"": ""32""}",2024
2024年,0.0,治理绩效 领导干部及党支部书记人均学习56学时 学时 2024年 56,领导干部及党支部书记人均学习56学时,page_9.png,56,no_schema_match,量化数据绩效表,治理绩效,学时,56,"{""2024年"": ""56""}",2024
2024年,0.0,治理绩效 接收预备党员9名 名 2024年 9,接收预备党员9名,page_9.png,9,no_schema_match,量化数据绩效表,治理绩效,名,9,"{""2024年"": ""9""}",2024
2024年,0.0,治理绩效 12名预备党员转正 名 2024年 12,12名预备党员转正,page_9.png,12,no_schema_match,量化数据绩效表,治理绩效,名,12,"{""2024年"": ""12""}",2024
2024年,0.0,治理绩效 公司党委召开共10次党委会 次 2024年 10,公司党委召开共10次党委会,page_9.png,10,no_schema_match,量化数据绩效表,治理绩效,次,10,"{""2024年"": ""10""}",2024
2024年,0.0,治理绩效 组织召开5次领导小组会议 次 2024年 5,组织召开5次领导小组会议,page_9.png,5,no_schema_match,量化数据绩效表,治理绩效,次,5,"{""2024年"": ""5""}",2024
2024年,0.94,召开董事会 6次,召开董事会次数,page_37_left.png,6,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_board_meetings_short_label,2024年董事会、监事会及股东大会召开与审议情况,,次,6,"{""2024年"": ""6""}",2024
2024年,0.0,共计审计 45个议案,累计审计议案数,page_37_left.png,45,no_schema_match,2024年董事会、监事会及股东大会召开与审议情况,,个,45,"{""2024年"": ""45""}",2024
2024年,0.94,召开监事会 5次,召开监事会次数,page_37_left.png,5,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_board_meetings_short_label,2024年董事会、监事会及股东大会召开与审议情况,,次,5,"{""2024年"": ""5""}",2024
2024年,0.0,共审计 22个议案,累计审计议案数,page_37_left.png,22,no_schema_match,2024年董事会、监事会及股东大会召开与审议情况,,个,22,"{""2024年"": ""22""}",2024
2024年,0.94,召开股东大会 3次,召开股东大会次数,page_37_left.png,3,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_board_meetings_short_label,2024年董事会、监事会及股东大会召开与审议情况,,次,3,"{""2024年"": ""3""}",2024
2024年,0.0,共审计 18个议案,累计审计议案数,page_37_left.png,18,no_schema_match,2024年董事会、监事会及股东大会召开与审议情况,,个,18,"{""2024年"": ""18""}",2024
2024年,0.94,召开薪酬与考核委员会会议 3次,召开薪酬与考核委员会会议次数,page_37_left.png,3,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_shareholder_meetings_short_label,2024年董事会、监事会及股东大会召开与审议情况,,次,3,"{""2024年"": ""3""}",2024
2024年,0.94,提名委员会会议 3次,召开提名委员会会议次数,page_37_left.png,3,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_shareholder_meetings_short_label,2024年董事会、监事会及股东大会召开与审议情况,,次,3,"{""2024年"": ""3""}",2024
2024年,0.94,战略委员会会议 1次,召开战略委员会会议次数,page_37_left.png,1,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_shareholder_meetings_short_label,2024年董事会、监事会及股东大会召开与审议情况,,次,1,"{""2024年"": ""1""}",2024
2024年,0.94,审计委员会会议 5次,召开审计委员会会议次数,page_37_left.png,5,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_shareholder_meetings_short_label,2024年董事会、监事会及股东大会召开与审议情况,,次,5,"{""2024年"": ""5""}",2024
2024年,0.0,全体董事出勤率 100%,全体董事出勤率,page_37_left.png,100%,no_schema_match,2024年董事会、监事会及股东大会召开与审议情况,,%,100,"{""2024年"": ""100%""}",2024
2024年,0.0,"合同管理 2024年, 公司重大合同履约率 100%",合同管理,page_39.png,100,no_schema_match,量化数据绩效表,治理绩效,%,100,"{""2024年"": ""100""}",2024
2024年,0.0,合规审查 2024年 审核经济合同 914件,合规审查,page_39.png,914,no_schema_match,量化数据绩效表,治理绩效,件,914,"{""2024年"": ""914""}",2024
2024年,0.0,合规审查 处理法律咨询 632件,合规审查,page_39.png,632,no_schema_match,量化数据绩效表,治理绩效,件,632,"{""2024年"": ""632""}",2024
