column_label,confidence,evidence_text,metric_name,page_image,raw_value,reason,table_title,topic,unit,value,values,year
2024年,0.0,下设总行营业部、9家省内分行、10家区域支行和12家直属支行等在内的共178家营业网点,营业网点数量,page_6_left.png,178,no_schema_match,西安银行关键绩效数据,,家,178,"{""2024年"": ""178""}",2024
2024年,0.0,9家省内分行,省内分行数量,page_6_left.png,9,no_schema_match,西安银行关键绩效数据,,家,9,"{""2024年"": ""9""}",2024
2024年,0.0,控股2家村镇银行,村镇银行控股数量,page_6_left.png,2,no_schema_match,西安银行关键绩效数据,,家,2,"{""2024年"": ""2""}",2024
2024年,0.0,参股1家汽车金融公司,汽车金融公司参股数量,page_6_left.png,1,no_schema_match,西安银行关键绩效数据,,家,1,"{""2024年"": ""1""}",2024
2024年,0.0,公司在英国《银行家》全球前1000家银行排名中位列第356位,全球银行品牌价值排名,page_6_left.png,356,no_schema_match,西安银行关键绩效数据,,位,356,"{""2024年"": ""356""}",2024
2024年,0.0,公司主体长期信用等级AAA（最高级）,主体长期信用等级,page_6_left.png,AAA,no_schema_match,西安银行关键绩效数据,,,AAA,"{""2024年"": ""AAA""}",2024
2024年,0.0,行业组织专业机构 '2024年中国银行业100名单'第67位 中国银行业协会,'2024年中国银行业100名单'第67位,page_7.png,,no_schema_match,行业组织专业机构获奖情况,行业组织专业机构,,,"{""2024年"": null}",2024
2024年,0.0,行业组织专业机构 2024年口碑评价综合排名第19位 中国银行业协会,2024年口碑评价综合排名第19位,page_7.png,,no_schema_match,行业组织专业机构获奖情况,行业组织专业机构,,,"{""2024年"": null}",2024
2024年,0.0,行业组织专业机构 2023年银行业金融机构组'保障民生'好新闻 中国银行业协会,2023年银行业金融机构组'保障民生'好新闻,page_7.png,,no_schema_match,行业组织专业机构获奖情况,行业组织专业机构,,,"{""2024年"": null}",2024
2024年,0.0,行业组织专业机构 全省银行业服务陕西经济发展劳动竞赛先进单位 陕西省银行业协会,全省银行业服务陕西经济发展劳动竞赛先进单位,page_7.png,,no_schema_match,行业组织专业机构获奖情况,行业组织专业机构,,,"{""2024年"": null}",2024
2024年,0.0,行业组织专业机构 陕西省金融学会关于'培育金融文化 赋力金融强国'主题活动征文一等奖 陕西省金融学会,陕西省金融学会关于'培育金融文化 赋力金融强国'主题活动征文一等奖,page_7.png,,no_schema_match,行业组织专业机构获奖情况,行业组织专业机构,,,"{""2024年"": null}",2024
2024年,0.0,行业组织专业机构 在2024年'金融数字化发展金穗奖'评选中荣获'年度最具特色信用卡产品奖' 金融数字化发展联盟,在2024年'金融数字化发展金穗奖'评选中荣获'年度最具特色信用卡产品奖',page_7.png,,no_schema_match,行业组织专业机构获奖情况,行业组织专业机构,,,"{""2024年"": null}",2024
2024年,0.0,行业组织专业机构 '2023年度银行理财产品评价'中获评'五星产品' 中国投资协会金融业资产管理专业委员会,'2023年度银行理财产品评价'中获评'五星产品',page_7.png,,no_schema_match,行业组织专业机构获奖情况,行业组织专业机构,,,"{""2024年"": null}",2024
2024年,0.0,行业组织专业机构 '2024年上半年银行理财产品评价'中获评'四星产品' 中国投资协会金融业资产管理专业委员会,'2024年上半年银行理财产品评价'中获评'四星产品',page_7.png,,no_schema_match,行业组织专业机构获奖情况,行业组织专业机构,,,"{""2024年"": null}",2024
2024年,0.0,行业组织专业机构 CFP-易方达·中国金融理财师大赛'最佳组织奖' 国际金融理财标准委员会及易方达基金,CFP-易方达·中国金融理财师大赛'最佳组织奖',page_7.png,,no_schema_match,行业组织专业机构获奖情况,行业组织专业机构,,,"{""2024年"": null}",2024
2024年,0.0,行业组织专业机构 养老金示范服务机构 北京国家金融科技认证中心,养老金示范服务机构,page_7.png,,no_schema_match,行业组织专业机构获奖情况,行业组织专业机构,,,"{""2024年"": null}",2024
2024年,0.0,行业组织专业机构 在'普惠标准普益奖'评选中荣获'优秀回收类理财产品'奖项 普益标准,在'普惠标准普益奖'评选中荣获'优秀回收类理财产品'奖项,page_7.png,,no_schema_match,行业组织专业机构获奖情况,行业组织专业机构,,,"{""2024年"": null}",2024
2024年,0.0,行业组织专业机构 人才工作贡献单位 西安市人才协会,人才工作贡献单位,page_7.png,,no_schema_match,行业组织专业机构获奖情况,行业组织专业机构,,,"{""2024年"": null}",2024
2024年,0.0,其他 2023年度银联卡风险防范贡献奖 中国银联股份有限公司陕西分公司,2023年度银联卡风险防范贡献奖,page_7.png,,no_schema_match,其他获奖情况,其他,,,"{""2024年"": null}",2024
2024年,0.0,其他 2023年跨境人民币业务特色示范网点 陕西省银行业协会和中国人民银行西安分行营业管理部,2023年跨境人民币业务特色示范网点,page_7.png,,no_schema_match,其他获奖情况,其他,,,"{""2024年"": null}",2024
2024年,0.0,其他 理财风控先锋奖 联信智汇数字科技有限公司,理财风控先锋奖,page_7.png,,no_schema_match,其他获奖情况,其他,,,"{""2024年"": null}",2024
2024年,0.0,其他 '数据要素X'大赛陕西分赛金融服务赛道'二等奖'和'最具发展潜力奖' '数据要素X'大赛陕西分赛组委会,'数据要素X'大赛陕西分赛金融服务赛道'二等奖'和'最具发展潜力奖',page_7.png,,no_schema_match,其他获奖情况,其他,,,"{""2024年"": null}",2024
2024年,0.0,其他 2023年度'优秀合作成员'称号 城银清算服务有限责任公司,2023年度'优秀合作成员'称号,page_7.png,,no_schema_match,其他获奖情况,其他,,,"{""2024年"": null}",2024
2024年,0.0,其他 入选'2024年度城市金融服务优秀案例'中的反诈宣传优秀案例、支付清算创新优秀案例 城银清算服务有限责任公司,入选'2024年度城市金融服务优秀案例'中的反诈宣传优秀案例、支付清算创新优秀案例,page_7.png,,no_schema_match,其他获奖情况,其他,,,"{""2024年"": null}",2024
2024年,0.0,其他 在'鑫智奖'评选中荣获'数字运营优秀案例奖' 金科创新社,在'鑫智奖'评选中荣获'数字运营优秀案例奖',page_7.png,,no_schema_match,其他获奖情况,其他,,,"{""2024年"": null}",2024
2024年,0.0,其他 在'第四届'金信通'金融科技创新应用案例'评选中荣获'卓越案例奖' 中国信息通信研究院,在'第四届'金信通'金融科技创新应用案例'评选中荣获'卓越案例奖',page_7.png,,no_schema_match,其他获奖情况,其他,,,"{""2024年"": null}",2024
2024年,0.0,其他 第二届西安国际养老产业博览会优秀参展商 西安国际养老产业博览会,第二届西安国际养老产业博览会优秀参展商,page_7.png,,no_schema_match,其他获奖情况,其他,,,"{""2024年"": null}",2024
2024年,0.0,绿色贷款余额 亿元 2023年 17.18 2024年 52.01 较上年末增长 202.75%,绿色贷款余额,page_10.png,52.01,no_schema_match,绿色贷款余额及增长情况,,亿元,52.01,"{""2023年"": ""17.18"", ""2024年"": ""52.01"", ""较上年末增长"": ""202.75%""}",2024
2024年,0.0,绿色金融债券 亿元 2024年 15,绿色金融债券,page_10.png,15,no_schema_match,绿色金融债券发行情况,,亿元,15,"{""2024年"": ""15""}",2024
2024年,0.0,"线上线下宣传 1,600 余次",线上线下宣传次数,page_21_right.png,"1,600",no_schema_match,消费者金融知识宣传教育普及活动数据,,余次,1600,"{""2024年"": ""1,600""}",2024
2024年,0.0,发放宣传资料 7 万余份,发放宣传资料数量,page_21_right.png,7,no_schema_match,消费者金融知识宣传教育普及活动数据,,万余份,7,"{""2024年"": ""7""}",2024
2024年,0.0,大型集中宣传活动 4 次,大型集中宣传活动次数,page_21_right.png,4,no_schema_match,消费者金融知识宣传教育普及活动数据,,次,4,"{""2024年"": ""4""}",2024
2024年,0.0,宣传受众达 30 余万人,宣传受众人数,page_21_right.png,30,no_schema_match,消费者金融知识宣传教育普及活动数据,,余万人,30,"{""2024年"": ""30""}",2024
2024年,0.0,"总资产（千元） 2024年 480,570,120 2023年 432,201,562 2022年 405,858,548",总资产（千元）,page_30.png,"480,570,120",no_schema_match,关键绩效表-经济类,,,480570120,"{""2024年"": ""480,570,120"", ""2023年"": ""432,201,562"", ""2022年"": ""405,858,548""}",2024
2024年,0.0,"贷款和垫款本金总额（千元） 2024年 237,254,098 2023年 202,922,010 2022年 189,688,151",贷款和垫款本金总额（千元）,page_30.png,"237,254,098",no_schema_match,关键绩效表-经济类,,,237254098,"{""2024年"": ""237,254,098"", ""2023年"": ""202,922,010"", ""2022年"": ""189,688,151""}",2024
2024年,0.0,"存款本金总额（千元） 2024年 522,030,543 2023年 293,786,596 2022年 280,560,457",存款本金总额（千元）,page_30.png,"522,030,543",no_schema_match,关键绩效表-经济类,,,522030543,"{""2024年"": ""522,030,543"", ""2023年"": ""293,786,596"", ""2022年"": ""280,560,457""}",2024
2024年,0.0,"营业收入（千元） 2024年 8,190,241 2023年 7,204,769 2022年 6,567,550",营业收入（千元）,page_30.png,"8,190,241",business_performance_not_core_esg,关键绩效表-经济类,,,8190241,"{""2024年"": ""8,190,241"", ""2023年"": ""7,204,769"", ""2022年"": ""6,567,550""}",2024
2024年,0.0,"纳税总额（千元） 2024年 914,546 2023年 1,034,958 2022年 1,302,191",纳税总额（千元）,page_30.png,"914,546",business_performance_not_core_esg,关键绩效表-经济类,,,914546,"{""2024年"": ""914,546"", ""2023年"": ""1,034,958"", ""2022年"": ""1,302,191""}",2024
2024年,0.0,"归属于母公司股东的净利润（千元） 2024年 2,558,554 2023年 2,462,237 2022年 2,424,443",归属于母公司股东的净利润（千元）,page_30.png,"2,558,554",business_performance_not_core_esg,关键绩效表-经济类,,,2558554,"{""2024年"": ""2,558,554"", ""2023年"": ""2,462,237"", ""2022年"": ""2,424,443""}",2024
2024年,0.0,总资产收益率（%） 2024年 0.56 2023年 0.59 2022年 0.65,总资产收益率（%）,page_30.png,0.56,no_schema_match,关键绩效表-经济类,,,0.56,"{""2024年"": ""0.56"", ""2023年"": ""0.59"", ""2022年"": ""0.65""}",2024
2024年,0.0,加权平均净资产收益率（%） 2024年 7.97 2023年 8.22 2022年 8.57,加权平均净资产收益率（%）,page_30.png,7.97,business_performance_not_core_esg,关键绩效表-经济类,,,7.97,"{""2024年"": ""7.97"", ""2023年"": ""8.22"", ""2022年"": ""8.57""}",2024
2024年,0.0,不良贷款率（%） 2024年 1.72 2023年 1.35 2022年 1.25,不良贷款率（%）,page_30.png,1.72,no_schema_match,关键绩效表-经济类,,,1.72,"{""2024年"": ""1.72"", ""2023年"": ""1.35"", ""2022年"": ""1.25""}",2024
2024年,0.0,资本充足率（%） 2024年 12.41 2023年 13.14 2022年 12.84,资本充足率（%）,page_30.png,12.41,no_schema_match,关键绩效表-经济类,,,12.41,"{""2024年"": ""12.41"", ""2023年"": ""13.14"", ""2022年"": ""12.84""}",2024
2024年,0.0,拨备覆盖率（%） 2024年 184.06 2023年 197.07 2022年 201.63,拨备覆盖率（%）,page_30.png,184.06,no_schema_match,关键绩效表-经济类,,,184.06,"{""2024年"": ""184.06"", ""2023年"": ""197.07"", ""2022年"": ""201.63""}",2024
2024年,0.0,营业网点数（个） 2024年 178 2023年 178 2022年 177,营业网点数（个）,page_30.png,178,no_schema_match,关键绩效表-经济类,,,178,"{""2024年"": ""178"", ""2023年"": ""178"", ""2022年"": ""177""}",2024
2024年,0.0,自助设备数（台） 2024年 688 2023年 619 2022年 619,自助设备数（台）,page_30.png,688,no_schema_match,关键绩效表-经济类,,,688,"{""2024年"": ""688"", ""2023年"": ""619"", ""2022年"": ""619""}",2024
2024年,0.0,30岁以下员工数（人） 2024年 523 2023年 534 2022年 665,30岁以下员工数（人）,page_30.png,523,no_schema_match,关键绩效表-经济类,,,523,"{""2024年"": ""523"", ""2023年"": ""534"", ""2022年"": ""665""}",2024
2024年,0.0,"31-50岁员工数（人） 2024年 1,888 2023年 1,967 2022年 1,896",31-50岁员工数（人）,page_30.png,"1,888",no_schema_match,关键绩效表-经济类,,,1888,"{""2024年"": ""1,888"", ""2023年"": ""1,967"", ""2022年"": ""1,896""}",2024
2024年,0.0,50岁以上员工数（人） 2024年 873 2023年 774 2022年 712,50岁以上员工数（人）,page_30.png,873,no_schema_match,关键绩效表-经济类,,,873,"{""2024年"": ""873"", ""2023年"": ""774"", ""2022年"": ""712""}",2024
2024年,0.92,男性员工比例（%） 2024年 38.31 2023年 38.20 2022年 38.10,男性员工比例（%）,page_30.png,38.31,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=alias_match:男性员工,关键绩效表-经济类,,,38.31,"{""2024年"": ""38.31"", ""2023年"": ""38.20"", ""2022年"": ""38.10""}",2024
