column_label,confidence,evidence_text,metric_name,page_image,raw_value,reason,table_title,topic,unit,value,values,year
2024年,0.0,"化石能源消耗量 吨标准煤 2023年 339,851.22 2024年 339,614.55",化石能源消耗量,page_17.png,"339,614.55",no_schema_match,资源循环与工艺革新，深挖降本潜力,,吨标准煤,339614.55,"{""2023年"": ""339,851.22"", ""2024年"": ""339,614.55""}",2024
2024年,0.0,"洗精煤 吨 2023年 49,983.98 2024年 65,211.98",洗精煤,page_17.png,"65,211.98",no_schema_match,资源循环与工艺革新，深挖降本潜力,,吨,65211.98,"{""2023年"": ""49,983.98"", ""2024年"": ""65,211.98""}",2024
2024年,0.0,汽油 吨 2023年 38.12 2024年 34.4,汽油,page_17.png,34.4,no_schema_match,资源循环与工艺革新，深挖降本潜力,,吨,34.4,"{""2023年"": ""38.12"", ""2024年"": ""34.4""}",2024
2024年,0.0,柴油 吨 2023年 27.41 2024年 25.58,柴油,page_17.png,25.58,no_schema_match,资源循环与工艺革新，深挖降本潜力,,吨,25.58,"{""2023年"": ""27.41"", ""2024年"": ""25.58""}",2024
2024年,0.0,煤油 吨 2023年 3.96 2024年 5.13,煤油,page_17.png,5.13,no_schema_match,资源循环与工艺革新，深挖降本潜力,,吨,5.13,"{""2023年"": ""3.96"", ""2024年"": ""5.13""}",2024
2024年,0.0,"其他不可再生燃料消耗 吨 2023年 8,380.29 2024年 10,472.77",其他不可再生燃料消耗,page_17.png,"10,472.77",no_schema_match,资源循环与工艺革新，深挖降本潜力,,吨,10472.77,"{""2023年"": ""8,380.29"", ""2024年"": ""10,472.77""}",2024
2024年,0.0,"外购办公室用电（华北电网） 千瓦时 2023年 12,485,900 2024年 9,802,292",外购办公室用电（华北电网）,page_17.png,"9,802,292",no_schema_match,资源循环与工艺革新，深挖降本潜力,,千瓦时,9802292,"{""2023年"": ""12,485,900"", ""2024年"": ""9,802,292""}",2024
2024年,0.0,"外购工厂用电（东北电网） 千瓦时 2023年 520,252,105 2024年 509,902,569",外购工厂用电（东北电网）,page_17.png,"509,902,569",no_schema_match,资源循环与工艺革新，深挖降本潜力,,千瓦时,509902569,"{""2023年"": ""520,252,105"", ""2024年"": ""509,902,569""}",2024
2024年,0.0,"外购热力总量 吉焦 2023年 1,095,414 2024年 1,158,443",外购热力总量,page_17.png,"1,158,443",no_schema_match,资源循环与工艺革新，深挖降本潜力,,吉焦,1158443,"{""2023年"": ""1,095,414"", ""2024年"": ""1,158,443""}",2024
2024年,0.0,"其他外购能源消耗量 标准煤 2023年 24,453.42 2024年 25,844.77",其他外购能源消耗量,page_17.png,"25,844.77",no_schema_match,资源循环与工艺革新，深挖降本潜力,,标准煤,25844.77,"{""2023年"": ""24,453.42"", ""2024年"": ""25,844.77""}",2024
2024年,0.0,"非化石能源消耗量 吨标准煤 2023年 13,094.70 2024年 13,501.18",非化石能源消耗量,page_17.png,"13,501.18",no_schema_match,资源循环与工艺革新，深挖降本潜力,,吨标准煤,13501.18,"{""2023年"": ""13,094.70"", ""2024年"": ""13,501.18""}",2024
2024年,0.0,"绿电 千瓦时 2023年 108,547,601 2024年 109,855,014",绿电,page_17.png,"109,855,014",no_schema_match,资源循环与工艺革新，深挖降本潜力,,千瓦时,109855014,"{""2023年"": ""108,547,601"", ""2024年"": ""109,855,014""}",2024
2024年,0.0,非化石能源使用比例 % 2023年 3.71 2024年 3.82,非化石能源使用比例,page_17.png,3.82,no_schema_match,资源循环与工艺革新，深挖降本潜力,,%,3.82,"{""2023年"": ""3.71"", ""2024年"": ""3.82""}",2024
2024年,0.0,"新鲜水取水总量 吨 2023年 2,141,526 2024年 1,953,116",新鲜水取水总量,page_18.png,"1,953,116",no_schema_match,绿色物流节水管理,,吨,1953116,"{""2023年"": ""2,141,526"", ""2024年"": ""1,953,116""}",2024
2024年,0.0,"其中：市政供水量 吨 2023年 425,614 2024年 393,643",其中：市政供水量,page_18.png,"393,643",no_schema_match,绿色物流节水管理,,吨,393643,"{""2023年"": ""425,614"", ""2024年"": ""393,643""}",2024
2024年,0.91,循环用水占总用水量的比例 % 2023年 97.50 2024年 79.67,循环用水占总用水量的比例,page_18.png,79.67,rejected_by_schema_validator:unit_type_mismatch:water; original_reason=alias_match:用水量,绿色物流节水管理,,%,79.67,"{""2023年"": ""97.50"", ""2024年"": ""79.67""}",2024
2024年,0.0,氮氧化物 (NOx) 吨 256.45 219.6,氮氧化物 (NOx),page_19.png,219.6,no_schema_match,废气排放情况,,吨,219.6,"{""2023年"": ""256.45"", ""2024年"": ""219.6""}",2024
2024年,0.0,硫化物 (SOx) 吨 14.55 13.536,硫化物 (SOx),page_19.png,13.536,no_schema_match,废气排放情况,,吨,13.536,"{""2023年"": ""14.55"", ""2024年"": ""13.536""}",2024
2024年,0.0,"颗粒物 (PM) 吨 1,069.516 962,705",颗粒物 (PM),page_19.png,"962,705",no_schema_match,废气排放情况,,吨,962705,"{""2023年"": ""1,069.516"", ""2024年"": ""962,705""}",2024
2024年,0.0,"废水回收利用量 吨 66,972,236 81,594,530",废水回收利用量,page_19.png,"81,594,530",no_schema_match,废水排放情况,,吨,81594530,"{""2023年"": ""66,972,236"", ""2024年"": ""81,594,530""}",2024
2024年,0.0,化学需氧量 (COD) 吨 28.70 28.51,化学需氧量 (COD),page_19.png,28.51,no_schema_match,废水排放情况,,吨,28.51,"{""2023年"": ""28.70"", ""2024年"": ""28.51""}",2024
2024年,0.0,氨氮 (NH3-N) 吨 2.31 2.54,氨氮 (NH3-N),page_19.png,2.54,no_schema_match,废水排放情况,,吨,2.54,"{""2023年"": ""2.31"", ""2024年"": ""2.54""}",2024
2024年,0.0,"无害固体废物管理 一般工业固废循环转化量 吨 2024年 11,265",一般工业固废循环转化量,page_20_left.png,"11,265",no_schema_match,固体废物管理绩效表,无害固体废物管理,吨,11265,"{""2024年"": ""11,265""}",2024
2024年,0.0,无害固体废物管理 废旧零件创效金额 万元 2024年 500,废旧零件创效金额,page_20_left.png,500,no_schema_match,固体废物管理绩效表,无害固体废物管理,万元,500,"{""2024年"": ""500""}",2024
2024年,0.0,"无害固体废物管理 对外销售废金属、废包装箱等无害固废收入 万元 2024年 3,600",对外销售废金属、废包装箱等无害固废收入,page_20_left.png,"3,600",no_schema_match,固体废物管理绩效表,无害固体废物管理,万元,3600,"{""2024年"": ""3,600""}",2024
2024年,0.93,针对危废处置 除尘灰处置收益 万元 2024年 41,除尘灰处置收益,page_20_left.png,41,rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_hazardous_waste,固体废物管理绩效表,针对危废处置,万元,41,"{""2024年"": ""41""}",2024
