field_key,field_name_cn,category,matched,value,raw_value,unit,target_unit,conversion,year,evidence,source_pages,confidence,reason,b2_validation_ok,b2_validation_reason,retrieval_priority,industry,applicability,retrieved_chunks,route
trained_employees_count,受训员工人数,S,False,5230,"5,230 人次",人次,人次,无需转换,2025,"职业健康安全相关培训活动参与人次
5,230
人次",[41],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,100.9918,pharma,core,"[{""chunk_id"": ""p41_89"", ""page_number"": 41, ""retrieval_score"": 55, ""bm25_score"": 31.2284, ""vector_score"": 0.549592, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""人数"", ""培训"", ""参与"", ""工培"", ""人次"", ""员工培"", ""工培训""], ""hit_units"": [""人"", ""人次""], ""hit_forbidden"": [], ""number_count"": 51}, {""chunk_id"": ""p25_51"", ""page_number"": 25, ""retrieval_score"": 45, ""bm25_score"": 23.1351, ""vector_score"": 0.491143, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""人数"", ""培训"", ""工培"", ""员工培"", ""工培训""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 22}, {""chunk_id"": ""p27_55"", ""page_number"": 27, ""retrieval_score"": 45, ""bm25_score"": 13.7618, ""vector_score"": 0.313012, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""人数"", ""培训"", ""参与"", ""人次""], ""hit_units"": [""人"", ""人次""], ""hit_forbidden"": [], ""number_count"": 24}, {""chunk_id"": ""p42_91"", ""page_number"": 42, ""retrieval_score"": 45, ""bm25_score"": 9.5865, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""人数"", ""参与"", ""人次""], ""hit_units"": [""人"", ""人次""], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p25_50"", ""page_number"": 25, ""retrieval_score"": 42, ""bm25_score"": 7.1077, ""vector_score"": 0.348533, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""人数"", ""培训"", ""参与""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 28}]",B2_quant_text_rag
safety_accident_count,安全生产事故数量,S,False,0,0,起,起,无需转换,2025,"重大安全生产事故
0
起","[41, 27]",0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,94.3371,pharma,core,"[{""chunk_id"": ""p41_89"", ""page_number"": 41, ""retrieval_score"": 53, ""bm25_score"": 35.8173, ""vector_score"": 0.273806, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""产事"", ""事故"", ""安全生"", ""全生产"", ""生产事"", ""产事故"", ""全事"", ""安全事"", ""工伤""], ""hit_units"": [""起"", ""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 51}, {""chunk_id"": ""p41_90"", ""page_number"": 41, ""retrieval_score"": 50, ""bm25_score"": 39.0693, ""vector_score"": 0.288595, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""产事"", ""事故"", ""数量"", ""安全生"", ""全生产"", ""生产事"", ""产事故"", ""全事"", ""安全事""], ""hit_units"": [""起"", ""件""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p27_55"", ""page_number"": 27, ""retrieval_score"": 45, ""bm25_score"": 32.6525, ""vector_score"": 0.316855, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""产事"", ""事故"", ""安全生"", ""全生产"", ""生产事"", ""产事故"", ""工伤""], ""hit_units"": [""起"", ""次""], ""hit_forbidden"": [], ""number_count"": 24}, {""chunk_id"": ""p42_91"", ""page_number"": 42, ""retrieval_score"": 45, ""bm25_score"": 6.2432, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""数量""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p26_52"", ""page_number"": 26, ""retrieval_score"": 41, ""bm25_score"": 65.6702, ""vector_score"": 0.304401, ""hit_keywords"": [""生产安全事故""], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""事故"", ""安全生"", ""全生产"", ""全事"", ""安全事"", ""全事故"", ""产安"", ""生产安"", ""产安全""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 6}]",B2_quant_text_rag
environmental_penalty_count,环境违规或处罚事件数量,E,False,0,0,件,件,无需转换,2025,"因环境合规问题受到行政处罚或追究刑事责任
0
件",[41],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,93.6062,pharma,core,"[{""chunk_id"": ""p41_89"", ""page_number"": 41, ""retrieval_score"": 52, ""bm25_score"": 37.4374, ""vector_score"": 0.223007, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""违规"", ""处罚"", ""事件"", ""次数"", ""环保"", ""规事"", ""违规事"", ""规事件"", ""行政"", ""政处"", ""行政处""], ""hit_units"": [""次"", ""件"", ""起""], ""hit_forbidden"": [], ""number_count"": 51}, {""chunk_id"": ""p42_91"", ""page_number"": 42, ""retrieval_score"": 48, ""bm25_score"": 20.5256, ""vector_score"": 0.1417, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""处罚"", ""事件"", ""数量"", ""行政"", ""政处"", ""行政处"", ""政处罚""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p41_90"", ""page_number"": 41, ""retrieval_score"": 45, ""bm25_score"": 6.8164, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""事件"", ""数量""], ""hit_units"": [""件"", ""起""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p18_34"", ""page_number"": 18, ""retrieval_score"": 43, ""bm25_score"": 7.4116, ""vector_score"": 0.330312, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""事件"", ""环保""], ""hit_units"": [""次"", ""件"", ""起""], ""hit_forbidden"": [], ""number_count"": 5}, {""chunk_id"": ""p28_56"", ""page_number"": 28, ""retrieval_score"": 40, ""bm25_score"": 21.5774, ""vector_score"": 0.0, ""hit_keywords"": [""环保处罚""], ""hit_query_terms"": [""环境"", ""处罚"", ""环保处罚"", ""环保"", ""保处"", ""环保处"", ""保处罚""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 11}]",B2_quant_text_rag
training_total_hours,员工培训总时长,S,False,830,830 小时,小时,小时,无需转换,2025,员工培训总时数 / 830 小时,[41],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,88.6852,pharma,core,"[{""chunk_id"": ""p41_89"", ""page_number"": 41, ""retrieval_score"": 47, ""bm25_score"": 46.6401, ""vector_score"": 0.303095, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工培"", ""培训"", ""训总"", ""总时"", ""员工培"", ""工培训"", ""培训总"", ""训总时"", ""小时"", ""时数"", ""安全""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 51}, {""chunk_id"": ""p25_51"", ""page_number"": 25, ""retrieval_score"": 42, ""bm25_score"": 45.013, ""vector_score"": 0.334261, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工培"", ""培训"", ""训总"", ""总时"", ""员工培"", ""工培训"", ""培训总"", ""训总时"", ""小时"", ""时数""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 22}, {""chunk_id"": ""p42_91"", ""page_number"": 42, ""retrieval_score"": 42, ""bm25_score"": 9.0605, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""时长"", ""小时"", ""安全""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p27_55"", ""page_number"": 27, ""retrieval_score"": 37, ""bm25_score"": 4.7873, ""vector_score"": 0.19614, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""培训"", ""安全""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 24}, {""chunk_id"": ""p37_81"", ""page_number"": 37, ""retrieval_score"": 36, ""bm25_score"": 6.4442, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""时长"", ""小时""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 20}]",B2_quant_text_rag
energy_consumption_intensity,能源消耗强度,E,False,,,,,,,,[],0.0,证据中提及‘产值能耗表’‘单位能耗及综合能耗’等术语，但未提供具体数值、年份与单位的明确对应关系；虽有‘单位’字眼，但无具体强度数值（如吨标煤/万元）或可计算的能源消耗与产值/营收的配比数据，无法满足 matched=true 的严格条件,False,证据中提及‘产值能耗表’‘单位能耗及综合能耗’等术语，但未提供具体数值、年份与单位的明确对应关系；虽有‘单位’字眼，但无具体强度数值（如吨标煤/万元）或可计算的能源消耗与产值/营收的配比数据，无法满足 matched=true 的严格条件,86.5863,pharma,core,"[{""chunk_id"": ""p19_37"", ""page_number"": 19, ""retrieval_score"": 44, ""bm25_score"": 43.2418, ""vector_score"": 0.379314, ""hit_keywords"": [""单位""], ""hit_query_terms"": [""能源"", ""源消"", ""消耗"", ""源消耗"", ""综合"", ""合能"", ""综合能"", ""单位"", ""位能"", ""单位能"", ""产值"", ""能耗""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p41_89"", ""page_number"": 41, ""retrieval_score"": 43, ""bm25_score"": 3.266, ""vector_score"": 0.0, ""hit_keywords"": [""单位""], ""hit_query_terms"": [""单位""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 51}, {""chunk_id"": ""p41_90"", ""page_number"": 41, ""retrieval_score"": 43, ""bm25_score"": 10.2653, ""vector_score"": 0.0, ""hit_keywords"": [""单位""], ""hit_query_terms"": [""单位"", ""位产"", ""单位产""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p42_91"", ""page_number"": 42, ""retrieval_score"": 43, ""bm25_score"": 5.7297, ""vector_score"": 0.0, ""hit_keywords"": [""单位""], ""hit_query_terms"": [""能源"", ""单位""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p16_29"", ""page_number"": 16, ""retrieval_score"": 42, ""bm25_score"": 4.324, ""vector_score"": 0.174081, ""hit_keywords"": [""单位""], ""hit_query_terms"": [""综合"", ""单位""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 6}]",B2_quant_text_rag
public_welfare_investment,公益投入金额,S,False,758000,75.8万元,万元,元,万元转元，乘以10000；5万元 + 60万元 + 10.8万元 = 75.8万元,2025,公司定向捐赠5 万元整至浙江省天台县慈善总会，用于助残共富基金，支持残障群体关怀与帮扶。育才兴教：公司在恩美幼儿园设立60 万元教师发展奖励基金，2025 年公司高管个人合计捐赠20 万元善款，持续投入幼教资源建设，助力幼教事业发展。济困解忧：公司联动圣爱慈善基金开展2025 年春节贫困家庭送温暖活动，共计帮扶15 户困难家庭，捐赠10 万8 千元整，实现“帮扶一户、温暖一片”， 切实将关爱送到群众身边。,[37],0.0,b2_validation_failed:required_keyword_missing_in_evidence;public_welfare_single_project_or_partial_donation,False,required_keyword_missing_in_evidence;public_welfare_single_project_or_partial_donation,86.4645,pharma,core,"[{""chunk_id"": ""p41_89"", ""page_number"": 41, ""retrieval_score"": 48, ""bm25_score"": 21.5355, ""vector_score"": 0.145935, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""入金"", ""金额"", ""投入金"", ""入金额"", ""社会""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 51}, {""chunk_id"": ""p41_90"", ""page_number"": 41, ""retrieval_score"": 47, ""bm25_score"": 16.8274, ""vector_score"": 0.128778, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""入金"", ""金额"", ""投入金"", ""入金额"", ""社会""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p42_91"", ""page_number"": 42, ""retrieval_score"": 45, ""bm25_score"": 20.7002, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""公益"", ""投入"", ""入金"", ""金额"", ""投入金"", ""入金额"", ""社会"", ""慈善""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p27_55"", ""page_number"": 27, ""retrieval_score"": 42, ""bm25_score"": 19.1441, ""vector_score"": 0.163672, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""入金"", ""金额"", ""投入金"", ""入金额"", ""社会""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 24}, {""chunk_id"": ""p37_81"", ""page_number"": 37, ""retrieval_score"": 42, ""bm25_score"": 33.5057, ""vector_score"": 0.173226, ""hit_keywords"": [], ""hit_query_terms"": [""公益"", ""投入"", ""金额"", ""社会"", ""会公"", ""社会公"", ""会公益"", ""慈善"", ""捐赠""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 20}]",B2_quant_text_rag
environmental_investment,环保投入金额,E,False,57564600,"5,756.46万元",万元,元,万元转元，乘以10000,2025,"环境保护总投入金额
5,756.46
万元",[41],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,86.2868,pharma,core,"[{""chunk_id"": ""p41_89"", ""page_number"": 41, ""retrieval_score"": 48, ""bm25_score"": 40.0046, ""vector_score"": 0.164339, ""hit_keywords"": [], ""hit_query_terms"": [""环保"", ""投入"", ""入金"", ""金额"", ""投入金"", ""入金额"", ""总投"", ""环境"", ""境保"", ""保护"", ""环境保"", ""境保护""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 51}, {""chunk_id"": ""p41_90"", ""page_number"": 41, ""retrieval_score"": 47, ""bm25_score"": 20.6515, ""vector_score"": 0.114988, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""入金"", ""金额"", ""投入金"", ""入金额"", ""总投"", ""环境""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p42_91"", ""page_number"": 42, ""retrieval_score"": 45, ""bm25_score"": 16.8734, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""入金"", ""金额"", ""投入金"", ""入金额"", ""环境"", ""保护"", ""污染""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p27_55"", ""page_number"": 27, ""retrieval_score"": 39, ""bm25_score"": 23.3746, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""入金"", ""金额"", ""投入金"", ""入金额"", ""总投"", ""环境""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 24}, {""chunk_id"": ""p37_81"", ""page_number"": 37, ""retrieval_score"": 39, ""bm25_score"": 4.2091, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""金额"", ""环境""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 20}]",B2_quant_text_rag
training_hours_per_employee,人均培训时长,S,False,0.766,830 小时,小时,小时,无需转换,2025,员工培训总时数 / 830 小时,[41],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,85.8799,pharma,core,"[{""chunk_id"": ""p41_89"", ""page_number"": 41, ""retrieval_score"": 46, ""bm25_score"": 10.0289, ""vector_score"": 0.243995, ""hit_keywords"": [], ""hit_query_terms"": [""培训"", ""员工"", ""时数"", ""小时""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 51}, {""chunk_id"": ""p42_91"", ""page_number"": 42, ""retrieval_score"": 42, ""bm25_score"": 7.7898, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""时长"", ""员工"", ""小时""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p25_51"", ""page_number"": 25, ""retrieval_score"": 40, ""bm25_score"": 9.7634, ""vector_score"": 0.205338, ""hit_keywords"": [], ""hit_query_terms"": [""培训"", ""员工"", ""时数"", ""小时""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 22}, {""chunk_id"": ""p37_81"", ""page_number"": 37, ""retrieval_score"": 36, ""bm25_score"": 6.4442, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""时长"", ""小时""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 20}, {""chunk_id"": ""p24_47"", ""page_number"": 24, ""retrieval_score"": 34, ""bm25_score"": 3.3034, ""vector_score"": 0.169292, ""hit_keywords"": [], ""hit_query_terms"": [""培训"", ""员工""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 8}]",B2_quant_text_rag
social_security_coverage,社会保险覆盖率,S,False,100,100%,%,%,无需转换,2025,"员工五险一金覆盖比例
/
100
%",[41],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,85.1564,pharma,core,"[{""chunk_id"": ""p41_89"", ""page_number"": 41, ""retrieval_score"": 46, ""bm25_score"": 31.3493, ""vector_score"": 0.207821, ""hit_keywords"": [], ""hit_query_terms"": [""社会"", ""保险"", ""险覆"", ""覆盖"", ""盖率"", ""保险覆"", ""险覆盖"", ""覆盖率"", ""员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 51}, {""chunk_id"": ""p41_90"", ""page_number"": 41, ""retrieval_score"": 45, ""bm25_score"": 27.8663, ""vector_score"": 0.143789, ""hit_keywords"": [], ""hit_query_terms"": [""社会"", ""保险"", ""险覆"", ""覆盖"", ""盖率"", ""保险覆"", ""险覆盖"", ""覆盖率""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p42_91"", ""page_number"": 42, ""retrieval_score"": 39, ""bm25_score"": 2.429, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""社会"", ""员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p25_51"", ""page_number"": 25, ""retrieval_score"": 38, ""bm25_score"": 10.2333, ""vector_score"": 0.105056, ""hit_keywords"": [], ""hit_query_terms"": [""覆盖"", ""盖率"", ""覆盖率"", ""员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 22}, {""chunk_id"": ""p27_55"", ""page_number"": 27, ""retrieval_score"": 38, ""bm25_score"": 29.5639, ""vector_score"": 0.101338, ""hit_keywords"": [], ""hit_query_terms"": [""社会"", ""保险"", ""险覆"", ""覆盖"", ""盖率"", ""保险覆"", ""险覆盖"", ""覆盖率"", ""员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 24}]",B2_quant_text_rag
air_pollutant_emissions,废气或大气污染物排放量,E,False,54.3442,二氧化硫：54.3442,吨,吨,无需转换,2025,"通辽圣达
二氧化硫
氮氧化物
颗粒物
二氧化硫：54.3442
氮氧化物：75.1331
颗粒物：4.8313",[17],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,84.0171,pharma,core,"[{""chunk_id"": ""p16_27"", ""page_number"": 16, ""retrieval_score"": 42, ""bm25_score"": 111.6962, ""vector_score"": 0.350856, ""hit_keywords"": [], ""hit_query_terms"": [""废气"", ""大气"", ""气污"", ""污染"", ""染物"", ""物排"", ""排放"", ""大气污"", ""气污染"", ""污染物"", ""染物排"", ""物排放""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p17_31"", ""page_number"": 17, ""retrieval_score"": 42, ""bm25_score"": 150.5107, ""vector_score"": 0.346425, ""hit_keywords"": [], ""hit_query_terms"": [""废气"", ""污染"", ""染物"", ""物排"", ""排放"", ""污染物"", ""染物排"", ""物排放"", ""气排"", ""废气排"", ""气排放"", ""氮氧""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 35}, {""chunk_id"": ""p16_29"", ""page_number"": 16, ""retrieval_score"": 40, ""bm25_score"": 39.9673, ""vector_score"": 0.293839, ""hit_keywords"": [], ""hit_query_terms"": [""废气"", ""大气"", ""气污"", ""污染"", ""染物"", ""物排"", ""排放"", ""大气污"", ""气污染"", ""污染物"", ""染物排"", ""物排放""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 6}, {""chunk_id"": ""p17_32"", ""page_number"": 17, ""retrieval_score"": 40, ""bm25_score"": 14.7124, ""vector_score"": 0.208752, ""hit_keywords"": [], ""hit_query_terms"": [""污染"", ""染物"", ""物排"", ""排放"", ""污染物"", ""物排放""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 13}, {""chunk_id"": ""p42_91"", ""page_number"": 42, ""retrieval_score"": 39, ""bm25_score"": 18.3028, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""污染"", ""染物"", ""物排"", ""排放"", ""污染物"", ""染物排"", ""物排放""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 43}]",B2_quant_text_rag
