field_key,name_cn,category,indicator_type,status,value,raw_value,unit,year,row_label,topic,confidence,match_reason,page_image,evidence_text
total_ghg_emissions,温室气体排放总量,E,quantitative,missing,,,,,,,0.0,,,
ghg_emissions_intensity,温室气体排放强度,E,quantitative,missing,,,,,,,0.0,,,
scope_1_emissions,范围一温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
scope_2_emissions,范围二温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
energy_consumption_total,能源消耗总量,E,quantitative,missing,,,,,,,0.0,,,
energy_consumption_intensity,能源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
natural_gas_consumption,天然气消耗量,E,quantitative,missing,,,,,,,0.0,,,
electricity_consumption,用电量,E,quantitative,missing,,,,,,,0.0,,,
water_consumption,用水量,E,quantitative,missing,,,,,,,0.0,,,
wastewater_discharge,废水排放量,E,quantitative,missing,,,,,,,0.0,,,
air_pollutant_emissions,废气或大气污染物排放量,E,quantitative,missing,,,,,,,0.0,,,
non_hazardous_waste,一般废弃物产生量,E,quantitative,missing,,,,,,,0.0,,,
hazardous_waste,危险废弃物产生量,E,quantitative,extracted,699,699,吨,2024,产生总量,有害废弃物,0.93,heuristic_hazardous_waste; schema_match_validated,page_17.png,有害废弃物-产生总量 吨 2024年 699
environmental_investment,环保投入金额,E,quantitative,missing,,,,,,,0.0,,,
environmental_penalty_count,环境违规或处罚事件数量,E,quantitative,missing,,,,,,,0.0,,,
total_employees,员工总数,S,quantitative,extracted,1083,"1,083",人,2025,期末在职员工总人数,,0.93,heuristic_total_employees; schema_match_validated,page_41.png,"员工-期末在职员工总人数 人 2025年 1,083"
male_employees,男性员工人数,S,quantitative,missing,,,,,,,0.0,,,
female_employees,女性员工人数,S,quantitative,missing,,,,,,,0.0,,,
female_employee_ratio,女性员工比例,S,quantitative,missing,,,,,,,0.0,,,
employee_turnover_rate,员工流失率,S,quantitative,missing,,,,,,,0.0,,,
training_total_hours,员工培训总时长,S,quantitative,missing,,,,,,,0.0,,,
training_hours_per_employee,人均培训时长,S,quantitative,missing,,,,,,,0.0,,,
training_coverage_rate,员工培训覆盖率,S,quantitative,extracted,100,100,%,2025,员工培训覆盖率,,0.97,normalized_alias_match:员工培训覆盖率; schema_match_validated,page_41.png,员工-员工培训覆盖率 % 2025年 100
social_security_coverage,社会保险覆盖率,S,quantitative,missing,,,,,,,0.0,,,
employee_medical_checkup_coverage,员工体检覆盖率,S,quantitative,missing,,,,,,,0.0,,,
trained_employees_count,受训员工人数,S,quantitative,missing,,,,,,,0.0,,,
safety_accident_count,安全生产事故数量,S,quantitative,missing,,,,,,,0.0,,,
occupational_health_safety_investment,安全生产投入,S,quantitative,missing,,,,,,,0.0,,,
safety_emergency_drill_count,安全应急演练次数,S,quantitative,missing,,,,,,,0.0,,,
lost_work_days_due_to_injury,因工伤损失工作日数,S,quantitative,missing,,,,,,,0.0,,,
r_and_d_personnel_count,研发人员数量,S,quantitative,missing,,,,,,,0.0,,,
r_and_d_expense,研发投入金额,S,quantitative,extracted,5367.42,"5,367.42",万元,2025,研发投入金额,,0.96,normalized_alias_match:研发投入金额; schema_match_validated,page_42.png,"研发投入金额 万元 2025年 5,367.42"
public_welfare_investment,公益投入金额,S,quantitative,missing,,,,,,,0.0,,,
board_size,董事会人数,G,quantitative,missing,,,,,,,0.0,,,
independent_directors,独立董事人数,G,quantitative,missing,,,,,,,0.0,,,
independent_director_ratio,独立董事比例,G,quantitative,missing,,,,,,,0.0,,,
female_directors,女性董事人数,G,quantitative,extracted,2,2,名,2024,女性董事,,0.9400000000000001,normalized_alias_match:女性董事; schema_match_validated,page_9_left.png,女性董事 名 2024年 2
board_meetings,董事会会议次数,G,quantitative,extracted,9,9,次,2024,董事会会议,,0.94,heuristic_board_meetings_short_label; schema_match_validated,page_9_left.png,董事会会议 次 2024年 9
shareholder_meetings,股东大会会议次数,G,quantitative,missing,,,,,,,0.0,,,
anti_corruption_training_sessions,反腐败培训次数,G,quantitative,missing,,,,,,,0.0,,,
anti_corruption_training_participants,反腐败培训人数,G,quantitative,missing,,,,,,,0.0,,,
confirmed_corruption_cases,确认腐败案件数量,G,quantitative,missing,,,,,,,0.0,,,
esg_strategy_targets,ESG战略目标,E,qualitative,missing,,,,,,,0.0,,,
climate_risk_management,气候风险识别与管理,E,qualitative,missing,,,,,,,0.0,,,
environmental_management_system,环境管理体系,E,qualitative,missing,,,,,,,0.0,,,
energy_saving_measures,节能减排措施,E,qualitative,missing,,,,,,,0.0,,,
water_management_measures,水资源管理措施,E,qualitative,missing,,,,,,,0.0,,,
