page_image,table_title,topic,metric_name,unit,values,evidence_text,reason
page_9_left.png,公司治理绩效表,,公司董事会共有,名,{'2024年': '9'},公司董事会共有 名 2024年 9,no_schema_match
page_9_left.png,公司治理绩效表,,其中独立董事,名,{'2024年': '3'},其中独立董事 名 2024年 3,no_schema_match
page_9_left.png,公司治理绩效表,,公司共召开股东会,次,{'2024年': '5'},公司共召开股东会 次 2024年 5,no_schema_match
page_9_left.png,公司治理绩效表,,审议议案,项,{'2024年': '28'},审议议案 项 2024年 28,no_schema_match
page_9_left.png,公司治理绩效表,,审议议案,项,{'2024年': '44'},审议议案 项 2024年 44,no_schema_match
page_16.png,2025年废水排放情况,,圣达生物,吨,"{'2024年': '215,546'}","圣达生物 排放总量（吨） 2024年 215,546 达标排放情况 无",no_schema_match
page_16.png,2025年废水排放情况,,安徽圣达,吨,"{'2024年': '31,043'}","安徽圣达 排放总量（吨） 2024年 31,043 达标排放情况 无",no_schema_match
page_16.png,2025年废水排放情况,,通辽圣达,吨,"{'2024年': '896,171'}","通辽圣达 排放总量（吨） 2024年 896,171 达标排放情况 无",no_schema_match
page_16.png,2025年废水排放情况,,新银象（含溶酒食品）,吨,"{'2024年': '435,595'}","新银象（含溶酒食品） 排放总量（吨） 2024年 435,595 达标排放情况 无",no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,圣达生物,COD,吨,{'2024年': '54.22'},圣达生物 主要特征污染物 COD 排放总量（吨） 2024年 54.22,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,圣达生物,氨氮,吨,{'2024年': '1.268'},圣达生物 主要特征污染物 氨氮 排放总量（吨） 2024年 1.268,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,圣达生物,总磷,吨,{'2024年': '0.179'},圣达生物 主要特征污染物 总磷 排放总量（吨） 2024年 0.179,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,圣达生物,COD,吨,{'2024年': '114'},圣达生物 主要特征污染物 COD 核定的排放总量（吨/年） 2024年 114,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,圣达生物,氨氮,吨,{'2024年': '7.98'},圣达生物 主要特征污染物 氨氮 核定的排放总量（吨/年） 2024年 7.98,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,圣达生物,总磷,吨,{'2024年': '/'},圣达生物 主要特征污染物 总磷 核定的排放总量（吨/年） 2024年 /,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,安徽圣达,COD,吨,{'2024年': '6.308'},安徽圣达 主要特征污染物 COD 排放总量（吨） 2024年 6.308,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,安徽圣达,氨氮,吨,{'2024年': '0.111'},安徽圣达 主要特征污染物 氨氮 排放总量（吨） 2024年 0.111,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,安徽圣达,总磷,吨,{'2024年': '0.004'},安徽圣达 主要特征污染物 总磷 排放总量（吨） 2024年 0.004,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,安徽圣达,COD,吨,{'2024年': '131.09'},安徽圣达 主要特征污染物 COD 核定的排放总量（吨/年） 2024年 131.09,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,安徽圣达,氨氮,吨,{'2024年': '6.93'},安徽圣达 主要特征污染物 氨氮 核定的排放总量（吨/年） 2024年 6.93,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,安徽圣达,总磷,吨,{'2024年': '/'},安徽圣达 主要特征污染物 总磷 核定的排放总量（吨/年） 2024年 /,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,通辽圣达,COD,吨,{'2024年': '68.664'},通辽圣达 主要特征污染物 COD 排放总量（吨） 2024年 68.664,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,通辽圣达,氨氮,吨,{'2024年': '0.828'},通辽圣达 主要特征污染物 氨氮 排放总量（吨） 2024年 0.828,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,通辽圣达,COD,吨,{'2024年': '754.97'},通辽圣达 主要特征污染物 COD 核定的排放总量（吨/年） 2024年 754.97,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,通辽圣达,氨氮,吨,{'2024年': '50.26'},通辽圣达 主要特征污染物 氨氮 核定的排放总量（吨/年） 2024年 50.26,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,新银象（含溶酒食品）,COD,吨,{'2024年': '88.46'},新银象（含溶酒食品） 主要特征污染物 COD 排放总量（吨） 2024年 88.46,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,新银象（含溶酒食品）,氨氮,吨,{'2024年': '1.107'},新银象（含溶酒食品） 主要特征污染物 氨氮 排放总量（吨） 2024年 1.107,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,新银象（含溶酒食品）,COD,吨,{'2024年': '239.6'},新银象（含溶酒食品） 主要特征污染物 COD 核定的排放总量（吨/年） 2024年 239.6,no_schema_match
page_16.png,工业废水主要特征污染物合规排放情况,新银象（含溶酒食品）,氨氮,吨,{'2024年': '22.35'},新银象（含溶酒食品） 主要特征污染物 氨氮 核定的排放总量（吨/年） 2024年 22.35,no_schema_match
page_17.png,2025年废气排放情况,圣达生物,二氧化硫,吨,{'2024年': '0.532'},圣达生物-二氧化硫 吨 2024年 0.532,no_schema_match
page_17.png,2025年废气排放情况,圣达生物,氮氧化物,吨,{'2024年': '0.66'},圣达生物-氮氧化物 吨 2024年 0.66,no_schema_match
page_17.png,2025年废气排放情况,圣达生物,VOCs,吨,{'2024年': '1.0875'},圣达生物-VOCs 吨 2024年 1.0875,no_schema_match
page_17.png,2025年废气排放情况,圣达生物,颗粒物,吨,{'2024年': '0'},圣达生物-颗粒物 吨 2024年 0,no_schema_match
page_17.png,2025年废气排放情况,安徽圣达,二氧化硫,吨,{'2024年': '0.0862'},安徽圣达-二氧化硫 吨 2024年 0.0862,no_schema_match
page_17.png,2025年废气排放情况,安徽圣达,氮氧化物,吨,{'2024年': '0.7462'},安徽圣达-氮氧化物 吨 2024年 0.7462,no_schema_match
page_17.png,2025年废气排放情况,安徽圣达,VOCs,吨,{'2024年': '0.7146'},安徽圣达-VOCs 吨 2024年 0.7146,no_schema_match
page_17.png,2025年废气排放情况,安徽圣达,颗粒物,吨,{'2024年': '0.0260'},安徽圣达-颗粒物 吨 2024年 0.0260,no_schema_match
page_17.png,2025年废气排放情况,通辽圣达,二氧化硫,吨,{'2024年': '54.3442'},通辽圣达-二氧化硫 吨 2024年 54.3442,no_schema_match
page_17.png,2025年废气排放情况,通辽圣达,氮氧化物,吨,{'2024年': '75.1331'},通辽圣达-氮氧化物 吨 2024年 75.1331,no_schema_match
page_17.png,2025年废气排放情况,通辽圣达,颗粒物,吨,{'2024年': '4.8313'},通辽圣达-颗粒物 吨 2024年 4.8313,no_schema_match
page_17.png,2025年废气排放情况,新银象（含滋酒食品）,颗粒物,吨,{'2024年': '0.543'},新银象（含滋酒食品）-颗粒物 吨 2024年 0.543,no_schema_match
page_17.png,2025年废气排放情况,新银象（含滋酒食品）,颗粒物,吨,{'2024年': '5.926'},新银象（含滋酒食品）-颗粒物 吨 2024年 5.926,no_schema_match
page_17.png,2025年废弃物排放情况,无害废弃物,产生总量,吨,{'2024年': '40'},无害废弃物-产生总量 吨 2024年 40,rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_non_hazardous_waste
page_17.png,2025年废弃物排放情况,无害废弃物,产生总量,吨,{'2024年': '30'},无害废弃物-产生总量 吨 2024年 30,rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_non_hazardous_waste
page_17.png,2025年废弃物排放情况,无害废弃物,产生总量,吨,"{'2024年': '14,228'}","无害废弃物-产生总量 吨 2024年 14,228",rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_non_hazardous_waste
page_17.png,2025年废弃物排放情况,无害废弃物,产生总量,吨,"{'2024年': '3,881'}","无害废弃物-产生总量 吨 2024年 3,881",rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_non_hazardous_waste
page_35.png,ESG特色与2025年创新成果,通过降低热加工程度与延长货架期，助力减少能源消耗与食品损耗,休闲肉制品防腐、质构、抗氧化方案研发,,{'2025年': '开发生物保鲜剂方案若干，可降低休闲肉制品热加工强度，在保障食品安全的同时，帮助客户降低能耗并更好保留营养与风味。'},通过降低热加工程度与延长货架期，助力减少能源消耗与食品损耗-休闲肉制品防腐、质构、抗氧化方案研发 开发生物保鲜剂方案若干，可降低休闲肉制品热加工强度，在保障食品安全的同时，帮助客户降低能耗并更好保留营养与风味。,no_schema_match
page_35.png,ESG特色与2025年创新成果,减少化学添加剂使用，契合健康消费与合谐趋势,天然高效的生物型防腐方案开发,,{'2025年': '开发天然高效的生物型防腐方案若干，减少传统化学防腐剂使用，为客户提供更健康友好的保鲜解决方案。'},减少化学添加剂使用，契合健康消费与合谐趋势-天然高效的生物型防腐方案开发 开发天然高效的生物型防腐方案若干，减少传统化学防腐剂使用，为客户提供更健康友好的保鲜解决方案。,no_schema_match
page_35.png,ESG特色与2025年创新成果,缩短研发周期、大幅度减少研发过程能耗及物料消耗,高通量检测平台,,{'2025年': '为研发各环节提供快速、精准、批式的检测分析服务，对发酵产物成分、浓度、纯度等指标进行高通量测定，及时反馈关键数据，支持研发人员快速优化实施方案，并保障研发成果质量可控。'},缩短研发周期、大幅度减少研发过程能耗及物料消耗-高通量检测平台 为研发各环节提供快速、精准、批式的检测分析服务，对发酵产物成分、浓度、纯度等指标进行高通量测定，及时反馈关键数据，支持研发人员快速优化实施方案，并保障研发成果质量可控。,no_schema_match
