pdf_name,success,route_b_available,target_fields,matched_fields,reason,output_dir
002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告.pdf,True,True,18,17,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告
600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告.pdf,True,True,18,17,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告
600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告.pdf,True,True,18,16,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\003_600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告
600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告.pdf,True,True,18,17,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告
600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告.pdf,True,True,18,15,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告
600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告.pdf,True,True,18,18,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告
600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告.pdf,True,True,18,17,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\007_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告
600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告.pdf,True,True,18,13,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\008_600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告
600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告.pdf,True,True,18,17,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\009_600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告
600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告.pdf,True,True,18,11,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\010_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告
601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告.pdf,True,True,18,18,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\011_601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告
603079_圣达生物_2024_圣达生物：浙江圣达生物药业股份有限公司2025年度环境、社会及公司治理（ESG）报告.pdf,True,True,18,18,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\012_603079_圣达生物_2024_圣达生物：浙江圣达生物药业股份有限公司2025年度环境、社会及公司治理（ESG）报告
