field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,,E,quantitative,,extracted,56.64,56.64,万吨二氧化碳当量,2024,route_a_appendix_table,0.94,应对气候变化 温室气体排放总量 万吨二氧化碳当量 2022年 49.76 2023年 46.04 2024年 56.64,page_50.png,温室气体排放总量,应对气候变化,,page_50.png,extracted,0.94,heuristic_total_ghg; schema_match_validated,,,,,,
scope_1_emissions,,E,quantitative,,extracted,38.76,38.76,万吨二氧化碳当量,2024,route_a_appendix_table,0.95,范围1温室气体排放量 万吨二氧化碳当量 2022年 38.11 2023年 40.06 2024年 38.76,page_50.png,范围1温室气体排放量,,,page_50.png,extracted,0.95,llm_match:指标名称'范围1温室气体排放量'与Core ESG Schema中scope_1_emissions的aliases完全匹配，单位'万吨二氧化碳当量'属于其unit_examples范围。; schema_match_validated,,,,,,
scope_2_emissions,,E,quantitative,,extracted,5.3,5.30,万吨二氧化碳当量,2024,route_a_appendix_table,0.95,范围2温室气体排放量 万吨二氧化碳当量 2022年 10.30 2023年 5.18 2024年 5.30,page_50.png,范围2温室气体排放量,,,page_50.png,extracted,0.95,llm_match:指标名称'范围2温室气体排放量'与Core ESG Schema中field_key 'scope_2_emissions'的name_cn完全一致，且aliases包含'范围二温室气体排放'、'间接温室气体排放量'等，单位'万吨二氧化碳当量'在unit_examples中明确列出。; schema_match_validated,,,,,,
scope_3_emissions,,E,quantitative,,extracted,12.08,12.08,万吨二氧化碳当量,2024,route_a_appendix_table,0.96,范围3温室气体排放量 万吨二氧化碳当量 2022年 1.35 2023年 0.78 2024年 12.08,page_50.png,范围3温室气体排放量,,,page_50.png,extracted,0.96,alias_match:范围 3 温室气体排放量; schema_match_validated,,,,,,
ghg_emissions_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_total,,E,quantitative,,extracted,23.52,23.52,万吨标准煤,2024,route_a_appendix_table,0.95,综合能源消耗量 汽油¹ 万吨标准煤 2022年 21.63 2023年 23.02 2024年 23.52,page_51.png,汽油¹,综合能源消耗量,,page_51.png,extracted,0.95,alias_match:综合能源消耗量; schema_match_validated,,,,,,
energy_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
electricity_consumption,,E,quantitative,,extracted,2.25,2.25,亿千瓦时,2024,route_a_appendix_table,0.9,按能源类型分 电力 亿千瓦时 2022年 1.98 2023年 2.38 2024年 2.25,page_51.png,电力,按能源类型分,,page_51.png,extracted,0.9,alias_match:电力; schema_match_validated,,,,,,
renewable_energy_consumption,,E,quantitative,,extracted,5653,"5,653",兆瓦时,2024,route_a_appendix_table,0.95,"清洁能源使用总量（沼气） 兆瓦时 2022年 6,700 2023年 7,240 2024年 5,653",page_51_right.png,清洁能源使用总量（沼气）,,,page_51_right.png,extracted,0.95,llm_match:清洁能源使用总量（沼气）属于可再生能源使用量，沼气是典型可再生能源，单位兆瓦时在aliases和unit_examples中均匹配。; schema_match_validated,,,,,,
natural_gas_consumption,,E,quantitative,,extracted,1.69,1.69,亿立方米,2024,route_a_appendix_table,0.95,按能源类型分 天然气 亿立方米 2022年 1.58 2023年 1.65 2024年 1.69,page_51.png,天然气,按能源类型分,,page_51.png,extracted,0.95,llm_match:指标名称为'天然气'，属于能源类型细分，与field_key 'natural_gas_consumption'的中文名'天然气消耗量'及别名'天然气使用量、天然气用量'语义一致；单位'亿立方米'在unit_examples中虽未直接列出，但'立方米、万立方米'已覆盖该量纲，且数值量级合理。; schema_match_validated,,,,,,
coal_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
water_consumption,,E,quantitative,,extracted,1206,"1,206",万吨,2024,route_a_appendix_table,0.92,"总用水量 万吨 2022年 1,049 2023年 1,096 2024年 1,206",page_51_right.png,总用水量,,,page_51_right.png,extracted,0.92,heuristic_water; schema_match_validated,,,,,,
water_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
recycled_water_volume,,E,quantitative,,extracted,145,145,万吨,2024,route_a_appendix_table,0.95,循环用水总量 万吨 万吨 2022年 131 2023年 137 2024年 145,page_51.png,万吨,循环用水总量,,page_51.png,extracted,0.95,llm_match:循环用水总量与 field_key 'recycled_water_volume' 的中文名 '循环水或回用水量' 及别名 '循环水使用量、循环用水量、循环水量、回用水量' 高度一致，单位'万吨'在 unit_examples 中明确列出。; schema_match_validated,,,,,,
wastewater_discharge,,E,quantitative,,extracted,374.4,374.4,万吨,2024,route_a_appendix_table,0.95,水污染物 废水排放总量 万吨 2022年 425.04 2023年 440.37 2024年 374.4,page_51.png,废水排放总量,水污染物,,page_51.png,extracted,0.95,llm_match:指标名称'废水排放总量'与field_key 'wastewater_discharge'的中文名'废水排放量'及别名'污水排放量'高度一致，且单位'万吨'在unit_examples中明确列出，属于环境类（E）指标。; schema_match_validated,,,,,,
cod_emissions,,E,quantitative,,extracted,80.43,80.43,吨,2024,route_a_appendix_table,0.93,水污染物 化学需氧量（COD） 吨 2022年 84 2023年 105.37 2024年 80.43,page_51.png,化学需氧量（COD）,水污染物,,page_51.png,extracted,0.93,alias_match:化学需氧量; schema_match_validated,,,,,,
ammonia_nitrogen_emissions,,E,quantitative,,extracted,2.92,2.92,吨,2024,route_a_appendix_table,0.9,水污染物 氨氮 吨 2022年 1.5 2023年 1.77 2024年 2.92,page_51.png,氨氮,水污染物,,page_51.png,extracted,0.9,alias_match:氨氮; schema_match_validated,,,,,,
so2_emissions,,E,quantitative,,extracted,2.2,2.2,吨,2024,route_a_appendix_table,0.91,大气污染物 二氧化硫（SO₂） 吨 2022年 1.85 2023年 2.69 2024年 2.2,page_51.png,二氧化硫（SO₂）,大气污染物,,page_51.png,extracted,0.91,alias_match:氧化硫; schema_match_validated,,,,,,
nox_emissions,,E,quantitative,,extracted,93,93,吨,2024,route_a_appendix_table,0.92,大气污染物 氮氧化物（NOx） 吨 2022年 879 2023年 92 2024年 93,page_51.png,氮氧化物（NOx）,大气污染物,,page_51.png,extracted,0.92,alias_match:氮氧化物; schema_match_validated,,,,,,
particulate_matter_emissions,,E,quantitative,,extracted,0.4,0.4,吨,2024,route_a_appendix_table,0.91,大气污染物 颗粒物（PM） 吨 2022年 15.67 2023年 0.49 2024年 0.4,page_51.png,颗粒物（PM）,大气污染物,,page_51.png,extracted,0.91,alias_match:颗粒物; schema_match_validated,,,,,,
hazardous_waste,,E,quantitative,,extracted,44.18,44.18,吨,2024,route_a_appendix_table,0.93,按废物类型分类 有害废弃物 吨 吨 2022年 39.00 2023年 38.17 2024年 44.18,page_51.png,有害废弃物,按废物类型分类,,page_51.png,extracted,0.93,heuristic_hazardous_waste; schema_match_validated,,,,,,
non_hazardous_waste,,E,quantitative,,extracted,784674.08,"784,674.08",吨,2024,route_a_appendix_table,0.93,"按废弃物类型分类 无害废弃物循环利用量 吨 吨 2022年 720,500.43 2023年 796,469.32 2024年 784,674.08",page_51.png,无害废弃物循环利用量,按废弃物类型分类,,page_51.png,extracted,0.93,heuristic_non_hazardous_waste; schema_match_validated,,,,,,
total_waste,,E,quantitative,,extracted,830913.88,"830,913.88",吨,2024,route_a_appendix_table,0.95,"废弃物处理 废弃物产生总量 吨 2022年 758,590.17 2023年 845,240.84 2024年 830,913.88",page_51_left.png,废弃物产生总量,,,page_51_left.png,extracted,0.95,alias_match:废弃物产生总量; schema_match_validated,,,,,,
waste_recycling_rate,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
environmental_investment,,E,quantitative,,extracted,5.9,5.9,亿元,2024,route_a_appendix_table,0.92,环境合规管理 环保投入 亿元 2022年 2.3 2023年 2.5 2024年 5.9,page_50.png,环保投入,环境合规管理,,page_50.png,extracted,0.92,heuristic_environmental_investment; schema_match_validated,,,,,,
environmental_violation_cases,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
total_employees,,S,quantitative,,extracted,25132,"25,132",人,2024,route_a_appendix_table,0.93,"员工总数 人 2022年 25,644 2023年 25,118 2024年 25,132",page_53.png,员工总数,员工,,page_53.png,extracted,0.93,heuristic_total_employees; schema_match_validated,,,,,,
male_employees,,S,quantitative,,extracted,18671,"18,671",人,2024,route_a_appendix_table,0.9,"按性别划分 男性 人 18,535 18,361 18,671",page_53_right.png,男性,,,page_53_right.png,extracted,0.9,alias_match:男性; schema_match_validated,,,,,,
female_employees,,S,quantitative,,extracted,6461,"6,461",人,2024,route_a_appendix_table,0.9,"按性别划分 女性 人 6,929 6,757 6,461",page_53_right.png,女性,,,page_53_right.png,extracted,0.9,alias_match:女性; schema_match_validated,,,,,,
female_employee_ratio,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
female_management_ratio,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
minority_employees,,S,quantitative,,extracted,112,112,人,2024,route_a_appendix_table,0.92,按民族划分 少数民族 人 2022年 79 2023年 89 2024年 112,page_53.png,按民族划分,员工,,page_53.png,extracted,0.92,alias_match:少数民族; schema_match_validated,,,,,,
employees_under_30,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
employees_30_to_50,,S,quantitative,,extracted,105,105,人,2024,route_a_appendix_table,0.95,按年龄划分 30至50岁 人 2022年 81 2023年 109 2024年 105,page_53.png,按年龄划分,员工,,page_53.png,extracted,0.95,llm_match:指标名称'按年龄划分'结合evidence_text中明确写出'30至50岁'，单位为'人'，数值为整数人数，与field_key employees_30_to_50的定义、别名（如'30至50岁员工人数'）和unit_examples（人）完全一致。; schema_match_validated,,,,,,
employees_over_50,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
