field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
scope_1_emissions,,E,quantitative,,extracted,70033.12,"70,033.12",吨二氧化碳当量,2024,route_a_appendix_table,0.96,"范围一温室气体排放量 吨二氧化碳当量 2022年 60,423.00 2023年 65,130.78 2024年 70,033.12",page_43.png,范围一温室气体排放量,应对气候变化,,page_43.png,extracted,0.96,heuristic_scope_1; schema_match_validated,,,,,,
scope_2_emissions,,E,quantitative,,extracted,466843.18,"466,843.18",吨二氧化碳当量,2024,route_a_appendix_table,0.96,"范围二温室气体排放量 吨二氧化碳当量 2022年 479,456.00 2023年 470,871.86 2024年 466,843.18",page_43.png,范围二温室气体排放量,应对气候变化,,page_43.png,extracted,0.96,heuristic_scope_2; schema_match_validated,,,,,,
scope_3_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ghg_emissions_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_total,,E,quantitative,,extracted,47435.7,"47,435.7",万千瓦时,2024,route_a_appendix_table,0.93,"非化石能源消耗量（电力） 万千瓦时 2022年 48,732.0 2023年 48,574.2 2024年 47,435.7",page_43.png,非化石能源消耗量（电力）,能源利用,,page_43.png,extracted,0.93,alias_match:能源消耗量; schema_match_validated,,,,,,
energy_consumption_intensity,,E,quantitative,,extracted,137.17,137.17,兆瓦时/百万元营收,2024,route_a_appendix_table,0.92,企业总能耗强度 兆瓦时/百万元营收 2022年 134.15 2023年 114.31 2024年 137.17,page_43.png,企业总能耗强度,能源利用,,page_43.png,extracted,0.92,alias_match:能耗强度; schema_match_validated,,,,,,
electricity_consumption,,E,quantitative,,extracted,159.56,159.56,万千瓦时,2024,route_a_appendix_table,0.92,办公用电量 万千瓦时 2022年 101.47 2023年 97.11 2024年 159.56,page_43.png,办公用电量,能源利用,,page_43.png,extracted,0.92,heuristic_electricity; schema_match_validated,,,,,,
renewable_energy_consumption,,E,quantitative,,extracted,0,0,万千瓦时,2024,route_a_appendix_table,0.95,清洁能源使用量 万千瓦时 2022年 0 2023年 0 2024年 0,page_43.png,清洁能源使用量,能源利用,,page_43.png,extracted,0.95,alias_match:清洁能源使用量; schema_match_validated,,,,,,
natural_gas_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
coal_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
water_consumption,,E,quantitative,,extracted,84.9,84.90,万立方米,2024,route_a_appendix_table,0.92,新鲜水用水量 万立方米 2022年 89.25 2023年 83.39 2024年 84.90,page_43.png,新鲜水用水量,水资源利用,,page_43.png,extracted,0.92,heuristic_water; schema_match_validated,,,,,,
water_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
recycled_water_volume,,E,quantitative,,extracted,3597.54,"3,597.54",万立方米,2024,route_a_appendix_table,0.93,"循环用水量 万立方米 2022年 3,935.79 2023年 3,388.66 2024年 3,597.54",page_43.png,循环用水量,水资源利用,,page_43.png,extracted,0.93,alias_match:循环用水量; schema_match_validated,,,,,,
wastewater_discharge,,E,quantitative,,extracted,12.57,12.57,万立方米,2024,route_a_appendix_table,0.93,废水排放量 万立方米 2022年 16.06 2023年 13.77 2024年 12.57,page_43.png,废水排放量,水资源利用,,page_43.png,extracted,0.93,alias_match:废水排放量; schema_match_validated,,,,,,
cod_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ammonia_nitrogen_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
