field_key,name_cn,category,indicator_type,status,value,raw_value,unit,year,row_label,topic,confidence,match_reason,page_image,evidence_text
total_ghg_emissions,温室气体排放总量,E,quantitative,extracted,1035977,"1,035,977.00",吨,2024,温室气体排放总量,应对气候变化,0.94,heuristic_total_ghg; schema_match_validated,page_48_left.png,"应对气候变化 温室气体排放总量 吨 2024年 1,035,977.00"
scope_1_emissions,范围一温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
scope_2_emissions,范围二温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
scope_3_emissions,范围三温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
ghg_emissions_intensity,温室气体排放强度,E,quantitative,missing,,,,,,,0.0,,,
energy_consumption_total,能源消耗总量,E,quantitative,extracted,100051,"100,051.00",吨标煤,2024,综合能源消耗总量,能源总量情况,0.94,alias_match:能源消耗总量; schema_match_validated,page_48_left.png,"能源总量情况 综合能源消耗总量 吨标煤 2024年 100,051.00"
energy_consumption_intensity,能源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
electricity_consumption,电力消耗量,E,quantitative,extracted,91040,"91,040.00",兆瓦时,2024,电力,,0.9,alias_match:电力; schema_match_validated,page_48_left.png,"电力 兆瓦时 2024年 91,040.00"
renewable_energy_consumption,可再生能源使用量,E,quantitative,missing,,,,,,,0.0,,,
natural_gas_consumption,天然气消耗量,E,quantitative,missing,,,,,,,0.0,,,
coal_consumption,煤炭消耗量,E,quantitative,missing,,,,,,,0.0,,,
water_consumption,水资源消耗量,E,quantitative,extracted,1623804,"1,623,804.00",吨,2024,耗水量,,0.91,alias_match:耗水量; schema_match_validated,page_48_left.png,"耗水量 吨 2024年 1,623,804.00"
water_consumption_intensity,水资源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
recycled_water_volume,循环水或回用水量,E,quantitative,missing,,,,,,,0.0,,,
wastewater_discharge,废水排放量,E,quantitative,extracted,6976449,"6,976,449.00",立方米,2024,工业废水总量,废水排放,0.95,llm_match:工业废水总量属于废水排放量，与field_key 'wastewater_discharge'的中文名'废水排放量'及别名'污水排放量'语义一致，单位'立方米'在unit_examples中明确列出。; schema_match_validated,page_48_left.png,"废水排放 工业废水总量 立方米 2024年 6,976,449.00"
cod_emissions,化学需氧量排放量,E,quantitative,extracted,545.78,545.78,吨,2024,化学需氧量 (COD),,0.93,alias_match:化学需氧量; schema_match_validated,page_48_left.png,化学需氧量 (COD) 吨 2024年 545.78
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,extracted,2.12,2.12,吨,2024,氨氮 (NH3-N),,0.9,alias_match:氨氮; schema_match_validated,page_48_left.png,氨氮 (NH3-N) 吨 2024年 2.12
so2_emissions,二氧化硫排放量,E,quantitative,extracted,79.3,79.30,吨,2024,氧化硫 (SOx),,0.91,alias_match:氧化硫; schema_match_validated,page_48_left.png,氧化硫 (SOx) 吨 2024年 79.30
nox_emissions,氮氧化物排放量,E,quantitative,extracted,171.6,171.60,吨,2024,氮氧化物 (NOx),大气污染排放,0.92,alias_match:氮氧化物; schema_match_validated,page_48_left.png,大气污染排放 氮氧化物 (NOx) 吨 2024年 171.60
particulate_matter_emissions,颗粒物排放量,E,quantitative,extracted,7.48,7.48,吨,2024,颗粒物质(PM),,0.91,alias_match:颗粒物; schema_match_validated,page_48_left.png,颗粒物质(PM) 吨 2024年 7.48
hazardous_waste,危险废弃物产生或排放量,E,quantitative,extracted,43.13,43.13,吨,2024,有害废弃物产生总量,,0.93,heuristic_hazardous_waste; schema_match_validated,page_48_left.png,有害废弃物产生总量 吨 2024年 43.13
non_hazardous_waste,无害废弃物产生或排放量,E,quantitative,extracted,16535.4,"16,535.40",吨,2024,无害废弃物产生总量,,0.93,heuristic_non_hazardous_waste; schema_match_validated,page_48_left.png,"无害废弃物产生总量 吨 2024年 16,535.40"
total_waste,废弃物总量,E,quantitative,extracted,16578.53,"16,578.53",吨,2024,废弃物产生总量,固体废弃物排放,0.95,alias_match:废弃物产生总量; schema_match_validated,page_48_left.png,"固体废弃物排放 废弃物产生总量 吨 2024年 16,578.53"
waste_recycling_rate,废弃物回收利用率,E,quantitative,missing,,,,,,,0.0,,,
environmental_investment,环保投入金额,E,quantitative,extracted,11661,"11,661.00",万元,2024,环保总投入,,0.93,alias_match:环保总投入; schema_match_validated,page_48_left.png,"环保总投入 万元 2024年 11,661.00"
environmental_violation_cases,环境违规或处罚事件数量,E,quantitative,missing,,,,,,,0.0,,,
total_employees,员工总数,S,quantitative,extracted,11000,"11,000",人,2024,员工总数,,0.93,heuristic_total_employees; schema_match_validated,page_48_right.png,"员工总数 人 2024年 11,000"
male_employees,男性员工人数,S,quantitative,extracted,5402,"5,402",人,2024,男性员工数量,,0.92,heuristic_male_employees; schema_match_validated,page_48_right.png,"男性员工数量 人 2024年 5,402"
female_employees,女性员工人数,S,quantitative,extracted,5598,"5,598",人,2024,女性员工数量,,0.92,heuristic_female_employees; schema_match_validated,page_48_right.png,"女性员工数量 人 2024年 5,598"
female_employee_ratio,女性员工比例,S,quantitative,missing,,,,,,,0.0,,,
female_management_ratio,女性管理层比例,S,quantitative,missing,,,,,,,0.0,,,
minority_employees,少数民族员工人数,S,quantitative,missing,,,,,,,0.0,,,
employees_under_30,30岁以下员工人数,S,quantitative,extracted,1182,"1,182",人,2024,30岁以下员工数量,,0.93,alias_match:30岁以下; schema_match_validated,page_48_right.png,"30岁以下员工数量 人 2024年 1,182"
employees_30_to_50,30至50岁员工人数,S,quantitative,extracted,8714,"8,714",人,2024,30-50岁员工数量,,0.95,llm_match:指标名称'30-50岁员工数量'与field_key 'employees_30_to_50'的aliases完全匹配，单位'人'符合unit_examples，且属于Core ESG Schema中S类人口结构指标。; schema_match_validated,page_48_right.png,"30-50岁员工数量 人 2024年 8,714"
employees_over_50,50岁以上员工人数,S,quantitative,extracted,1104,"1,104",人,2024,50岁以上员工数量,,0.95,llm_match:指标名称'50岁以上员工数量'与field_key 'employees_over_50'的aliases完全匹配，单位'人'符合unit_examples，属于S类社会维度指标。; schema_match_validated,page_48_right.png,"50岁以上员工数量 人 2024年 1,104"
employee_turnover_rate,员工流失率,S,quantitative,extracted,10,10,%,2024,员工流失率,,0.93,alias_match:员工流失率; schema_match_validated,page_48_right.png,员工流失率 % 2024年 10
training_total_hours,员工培训总时长,S,quantitative,missing,,,,,,,0.0,,,
training_hours_per_employee,人均培训时长,S,quantitative,extracted,14,14,小时,2024,人均培训时长,,0.9,heuristic_training_hours_per_employee; schema_match_validated,page_48_right.png,人均培训时长 小时 2024年 14
training_coverage_rate,员工培训覆盖率,S,quantitative,extracted,100,100,%,2024,员工培训覆盖率,,0.95,alias_match:员工培训覆盖率; schema_match_validated,page_48_right.png,员工培训覆盖率 % 2024年 100
training_expense,培训投入金额,S,quantitative,missing,,,,,,,0.0,,,
trained_employees_count,受训员工人数或人次,S,quantitative,missing,,,,,,,0.0,,,
work_injury_rate,工伤率,S,quantitative,missing,,,,,,,0.0,,,
work_related_fatalities,因工死亡人数,S,quantitative,missing,,,,,,,0.0,,,
lost_workdays_due_to_injury,因工伤损失工作日数,S,quantitative,missing,,,,,,,0.0,,,
social_insurance_coverage_rate,社会保险覆盖率,S,quantitative,extracted,100,100,%,2024,社会保险覆盖率,,0.95,alias_match:社会保险覆盖率; schema_match_validated,page_48_right.png,社会保险覆盖率 % 2024年 100
employee_health_record_coverage_rate,员工健康档案或体检覆盖率,S,quantitative,missing,,,,,,,0.0,,,
r_and_d_investment,研发投入金额,S,quantitative,extracted,28671.57,"28,671.57",万元,2024,研发投入金额,,0.92,alias_match:研发投入; schema_match_validated,page_49_left.png,"研发创新 研发投入金额 万元 2024年 28,671.57"
r_and_d_employees,研发人员数量,S,quantitative,extracted,324,324,人,2024,研发人员人数,,0.95,llm_match:研发人员人数在Core ESG Schema中明确列为r_and_d_employees的别名，单位为人，符合value_type: number。; schema_match_validated,page_49_left.png,研发创新 研发人员人数 人 2024年 324
authorized_patents_new,当年新增授权专利数量,S,quantitative,missing,,,,,,,0.0,,,
authorized_patents_total,累计授权专利数量,S,quantitative,extracted,87,87,项,2024,报告期内有效专利数,,0.96,alias_match:报告期内有效专利数; schema_match_validated,page_49_left.png,研发创新 报告期内有效专利数 项 2024年 87
customer_complaints,客户投诉数量,S,quantitative,missing,,,,,,,0.0,,,
board_size,董事会人数,G,quantitative,extracted,9,9,人,2024,董事会成员的人数,,0.95,llm_match:董事会成员的人数与field_key 'board_size'的中文名称'董事会人数'及别名完全语义一致，单位'人'匹配，属于G类治理指标。; schema_match_validated,page_49_right.png,董事会成员的人数 人 2024年 9
independent_directors,独立董事人数,G,quantitative,extracted,3,3,人,2024,独董人数,,0.92,alias_match:独董人数; schema_match_validated,page_49_right.png,独董人数 人 2024年 3
independent_director_ratio,独立董事比例,G,quantitative,extracted,33.3,33.30,%,2024,独立董事比例,,0.94,alias_match:独立董事比例; schema_match_validated,page_49_right.png,独立董事比例 % 2024年 33.30
female_directors,女性董事人数,G,quantitative,missing,,,,,,,0.0,,,
board_meetings,董事会会议次数,G,quantitative,extracted,7,7,次,2024,召开董事会会议次数,,0.95,heuristic_board_meetings; schema_match_validated,page_49_right.png,召开董事会会议次数 次 2024年 7
shareholder_meetings,股东大会会议次数,G,quantitative,extracted,2,2,次,2024,召开股东大会、临时股东大会次数,,0.94,alias_match:股东大会次数; schema_match_validated,page_49_right.png,召开股东大会、临时股东大会次数 次 2024年 2
anti_corruption_training_sessions,反腐败培训次数,G,quantitative,missing,,,,,,,0.0,,,
anti_corruption_training_participants,反腐败培训参与人数或人次,G,quantitative,missing,,,,,,,0.0,,,
anti_corruption_training_hours,反腐败培训总时长,G,quantitative,missing,,,,,,,0.0,,,
confirmed_corruption_cases,确认的腐败事件数量,G,quantitative,missing,,,,,,,0.0,,,
whistleblowing_cases,举报案件数量,G,quantitative,missing,,,,,,,0.0,,,
patent_applications_new,当年申请专利数量,S,quantitative,extracted,4,4,项,2024,报告期内发明专利的申请数,,0.96,alias_match:报告期内发明专利的申请数; schema_match_validated,page_49_left.png,研发创新 报告期内发明专利的申请数 项 2024年 4
board_esg_oversight,董事会 ESG 监督机制,G,qualitative,missing,,,,,,,0.0,,,
esg_committee,ESG 委员会或可持续发展委员会,G,qualitative,missing,,,,,,,0.0,,,
anti_corruption_policy,反腐败政策,G,qualitative,missing,,,,,,,0.0,,,
whistleblowing_mechanism,举报机制,G,qualitative,missing,,,,,,,0.0,,,
supplier_esg_assessment,供应商 ESG 评估机制,S,qualitative,missing,,,,,,,0.0,,,
