field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,,E,quantitative,,extracted,804280.18,"804,280.18",吨二氧化碳当量,2024,route_a_appendix_table,0.94,"温室气体排放总量 吨二氧化碳当量 2022年 676,235.95 2023年 709,844.02 2024年 804,280.18",page_58.png,温室气体排放总量,,,page_58.png,extracted,0.94,heuristic_total_ghg; schema_match_validated,,,,,,
scope_1_emissions,,E,quantitative,,extracted,754163.65,"754,163.65",吨二氧化碳当量,2024,route_a_appendix_table,0.96,"直接温室气体排放量（范围一） 吨二氧化碳当量 2022年 633,588.51 2023年 666,885.98 2024年 754,163.65",page_58.png,直接温室气体排放量（范围一）,,,page_58.png,extracted,0.96,heuristic_scope_1; schema_match_validated,,,,,,
scope_2_emissions,,E,quantitative,,extracted,50116.53,"50,116.53",吨二氧化碳当量,2024,route_a_appendix_table,0.96,"间接温室气体排放量（范围二） 吨二氧化碳当量 2022年 42,647.44 2023年 45,958.04 2024年 50,116.53",page_58.png,间接温室气体排放量（范围二）,,,page_58.png,extracted,0.96,heuristic_scope_2; schema_match_validated,,,,,,
scope_3_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ghg_emissions_intensity,,E,quantitative,,extracted,0.66,0.66,吨二氧化碳当量/万元营收,2024,route_a_appendix_table,0.96,温室气体排放强度 吨二氧化碳当量/万元营收 2022年 0.62 2023年 0.63 2024年 0.66,page_58.png,温室气体排放强度,,,page_58.png,extracted,0.96,alias_match:温室气体排放强度; schema_match_validated,,,,,,
energy_consumption_total,,E,quantitative,,extracted,478139.3,"478,139.30",吨标煤,2024,route_a_appendix_table,0.94,"能源消耗总量 吨标煤 2022年 401,475.21 2023年 421,012.01 2024年 478,139.30",page_58.png,能源消耗总量,,,page_58.png,extracted,0.94,alias_match:能源消耗总量; schema_match_validated,,,,,,
energy_consumption_intensity,,E,quantitative,,extracted,0.39,0.39,吨标煤/万元营收,2024,route_a_appendix_table,0.94,能源消耗强度 吨标煤/万元营收 2022年 0.37 2023年 0.37 2024年 0.39,page_58.png,能源消耗强度,,,page_58.png,extracted,0.94,alias_match:能源消耗强度; schema_match_validated,,,,,,
electricity_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
renewable_energy_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
natural_gas_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
coal_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
water_consumption,,E,quantitative,,extracted,205939,"205,939.00",吨,2024,route_a_appendix_table,0.92,"总用水量 吨 2022年 186,512.10 2023年 190,117.98 2024年 205,939.00",page_58.png,总用水量,,,page_58.png,extracted,0.92,heuristic_water; schema_match_validated,,,,,,
water_consumption_intensity,,E,quantitative,,extracted,0.17,0.17,吨/万元营收,2024,route_a_appendix_table,0.92,用水强度 吨/万元营收 2022年 0.17 2023年 0.17 2024年 0.17,page_58.png,用水强度,,,page_58.png,extracted,0.92,alias_match:用水强度; schema_match_validated,,,,,,
recycled_water_volume,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
wastewater_discharge,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
cod_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ammonia_nitrogen_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
so2_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
nox_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
particulate_matter_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
hazardous_waste,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
non_hazardous_waste,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
total_waste,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
waste_recycling_rate,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
environmental_investment,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
environmental_violation_cases,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
total_employees,,S,quantitative,,extracted,13443,"13,443",人,2024,route_a_appendix_table,0.93,"员工总人数 人 2024 13,443",page_51.png,员工总人数,,,page_51.png,extracted,0.93,heuristic_total_employees; schema_match_validated,,,,,,
male_employees,,S,quantitative,,extracted,8570,"8,570",人,2024,route_a_appendix_table,0.92,"男性员工 人 7,506 7,498 8,570",page_59.png,男性员工,,,page_59.png,extracted,0.92,alias_match:男性员工; schema_match_validated,,,,,,
female_employees,,S,quantitative,,extracted,4875,"4,875",人,2024,route_a_appendix_table,0.92,"女性员工 人 4,192 3,966 4,875",page_59.png,女性员工,,,page_59.png,extracted,0.92,alias_match:女性员工; schema_match_validated,,,,,,
female_employee_ratio,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
