field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,,E,quantitative,,extracted,45332.89,"45,332.89",公吨,2024,route_a_appendix_table,0.95,"年度温室气体排放量 公吨 2024年 45,332.89 2023年 /",page_52.png,年度温室气体排放量,,,page_52.png,extracted,0.95,alias_match:温室气体排放量; schema_match_validated,,,,,,
scope_1_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
scope_2_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
scope_3_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ghg_emissions_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_total,,E,quantitative,,extracted,70876.16,"70,876.16",吨标煤,2024,route_a_appendix_table,0.94,"综合能源消耗总量 吨标煤 2024年 70,876.16 2023年 81,798.86",page_52_left.png,综合能源消耗总量,,,page_52_left.png,extracted,0.94,alias_match:能源消耗总量; schema_match_validated,,,,,,
energy_consumption_intensity,,E,quantitative,,extracted,3.48,3.48,吨标煤/百万元营收,2024,route_a_appendix_table,0.94,综合能源消耗强度 吨标煤/百万元营收 2024年 3.48 2023年 3.58,page_52_left.png,综合能源消耗强度,,,page_52_left.png,extracted,0.94,alias_match:能源消耗强度; schema_match_validated,,,,,,
electricity_consumption,,E,quantitative,,extracted,184365.86,"184,365.86",兆瓦时,2024,route_a_appendix_table,0.92,"报告期内电力消耗量 兆瓦时 2024年 184,365.86 2023年 203,178.63",page_52.png,报告期内电力消耗量,,,page_52.png,extracted,0.92,alias_match:电力消耗; schema_match_validated,,,,,,
renewable_energy_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
natural_gas_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
