field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,,E,quantitative,,extracted,304.05,304.05,吨二氧化碳当量,2024,route_a_appendix_table,0.95,温室气体排放量 吨二氧化碳当量 2024年 304.05,page_51.png,温室气体排放量,,,page_51.png,extracted,0.95,alias_match:温室气体排放量; schema_match_validated,,,,,,
scope_1_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
scope_2_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
scope_3_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ghg_emissions_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_total,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
electricity_consumption,,E,quantitative,,extracted,566618,"566,618",千瓦时,2024,route_a_appendix_table,0.92,"外购电力总量 千瓦时 2024年 566,618",page_51.png,外购电力总量,,,page_51.png,extracted,0.92,heuristic_electricity; schema_match_validated,,,,,,
renewable_energy_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
natural_gas_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
coal_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
water_consumption,,E,quantitative,,extracted,1658,"1,658",吨,2024,route_a_appendix_table,0.92,"总用水量 吨 2024年 1,658",page_51.png,总用水量,,,page_51.png,extracted,0.92,heuristic_water; schema_match_validated,,,,,,
water_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
recycled_water_volume,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
wastewater_discharge,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
cod_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ammonia_nitrogen_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
so2_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
nox_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
