field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
scope_1_emissions,,E,quantitative,,extracted,15958,15958,吨,2024,route_a_appendix_table,0.96,环境绩效 直接温室气体排放量 吨 2022年度 14925 2023年度 11841 2024年度 15958,page_31.png,直接温室气体排放量,环境绩效,,page_31.png,extracted,0.96,heuristic_scope_1; schema_match_validated,,,,,,
scope_2_emissions,,E,quantitative,,extracted,6463,6463,吨,2024,route_a_appendix_table,0.96,环境绩效 间接温室气体排放量 吨 2022年度 8484 2023年度 6682 2024年度 6463,page_31.png,间接温室气体排放量,环境绩效,,page_31.png,extracted,0.96,heuristic_scope_2; schema_match_validated,,,,,,
scope_3_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ghg_emissions_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_total,,E,quantitative,,extracted,16393,16393,吨标煤,2024,route_a_appendix_table,0.94,环境绩效 综合能源消耗总量 吨标煤 2022年度 14905 2023年度 111577 2024年度 16393,page_31.png,综合能源消耗总量,环境绩效,,page_31.png,extracted,0.94,alias_match:能源消耗总量; schema_match_validated,,,,,,
energy_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
electricity_consumption,,E,quantitative,,extracted,569.7,569.7,万千瓦时,2024,route_a_appendix_table,0.92,环境绩效 电使用量 万千瓦时 2022年度 45.7 2023年度 90.9 2024年度 569.7,page_31.png,电使用量,环境绩效,,page_31.png,extracted,0.92,heuristic_electricity; schema_match_validated,,,,,,
renewable_energy_consumption,,E,quantitative,,extracted,12126,12126,吨标煤,2024,route_a_appendix_table,0.95,环境绩效 清洁能源使用量 吨标煤 2022年度 9161.2 2023年度 6557.7 2024年度 12126,page_31.png,清洁能源使用量,环境绩效,,page_31.png,extracted,0.95,alias_match:清洁能源使用量; schema_match_validated,,,,,,
natural_gas_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
coal_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
