field_key,name_cn,category,indicator_type,status,value,raw_value,unit,year,row_label,topic,confidence,match_reason,page_image,evidence_text
total_ghg_emissions,温室气体排放总量,E,quantitative,missing,,,,,,,0.0,,,
scope_1_emissions,范围一温室气体排放量,E,quantitative,extracted,15958,15958,吨,2024,直接温室气体排放量,环境绩效,0.96,heuristic_scope_1; schema_match_validated,page_31.png,环境绩效 直接温室气体排放量 吨 2022年度 14925 2023年度 11841 2024年度 15958
scope_2_emissions,范围二温室气体排放量,E,quantitative,extracted,6463,6463,吨,2024,间接温室气体排放量,环境绩效,0.96,heuristic_scope_2; schema_match_validated,page_31.png,环境绩效 间接温室气体排放量 吨 2022年度 8484 2023年度 6682 2024年度 6463
scope_3_emissions,范围三温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
ghg_emissions_intensity,温室气体排放强度,E,quantitative,missing,,,,,,,0.0,,,
energy_consumption_total,能源消耗总量,E,quantitative,extracted,16393,16393,吨标煤,2024,综合能源消耗总量,环境绩效,0.94,alias_match:能源消耗总量; schema_match_validated,page_31.png,环境绩效 综合能源消耗总量 吨标煤 2022年度 14905 2023年度 111577 2024年度 16393
energy_consumption_intensity,能源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
electricity_consumption,电力消耗量,E,quantitative,extracted,569.7,569.7,万千瓦时,2024,电使用量,环境绩效,0.92,heuristic_electricity; schema_match_validated,page_31.png,环境绩效 电使用量 万千瓦时 2022年度 45.7 2023年度 90.9 2024年度 569.7
renewable_energy_consumption,可再生能源使用量,E,quantitative,extracted,12126,12126,吨标煤,2024,清洁能源使用量,环境绩效,0.95,alias_match:清洁能源使用量; schema_match_validated,page_31.png,环境绩效 清洁能源使用量 吨标煤 2022年度 9161.2 2023年度 6557.7 2024年度 12126
natural_gas_consumption,天然气消耗量,E,quantitative,missing,,,,,,,0.0,,,
coal_consumption,煤炭消耗量,E,quantitative,missing,,,,,,,0.0,,,
water_consumption,水资源消耗量,E,quantitative,extracted,89.21,89.21,万吨,2024,新鲜水用量,环境绩效,0.92,heuristic_water; schema_match_validated,page_31.png,环境绩效 新鲜水用量 万吨 2022年度 79.93 2023年度 66.97 2024年度 89.21
water_consumption_intensity,水资源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
recycled_water_volume,循环水或回用水量,E,quantitative,extracted,72.73,72.73,万吨,2024,循环用水量,环境绩效,0.93,alias_match:循环用水量; schema_match_validated,page_31.png,环境绩效 循环用水量 万吨 2022年度 63.59 2023年度 50.2 2024年度 72.73
wastewater_discharge,废水排放量,E,quantitative,missing,,,,,,,0.0,,,
cod_emissions,化学需氧量排放量,E,quantitative,missing,,,,,,,0.0,,,
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,missing,,,,,,,0.0,,,
so2_emissions,二氧化硫排放量,E,quantitative,missing,,,,,,,0.0,,,
nox_emissions,氮氧化物排放量,E,quantitative,missing,,,,,,,0.0,,,
particulate_matter_emissions,颗粒物排放量,E,quantitative,missing,,,,,,,0.0,,,
hazardous_waste,危险废弃物产生或排放量,E,quantitative,extracted,1.28,1.28,吨,2024,危险废弃物排放量,环境绩效,0.93,heuristic_hazardous_waste; schema_match_validated,page_31.png,环境绩效 危险废弃物排放量 吨 2022年度 14.93 2023年度 9.92 2024年度 1.28
non_hazardous_waste,无害废弃物产生或排放量,E,quantitative,missing,,,,,,,0.0,,,
total_waste,废弃物总量,E,quantitative,missing,,,,,,,0.0,,,
waste_recycling_rate,废弃物回收利用率,E,quantitative,missing,,,,,,,0.0,,,
environmental_investment,环保投入金额,E,quantitative,missing,,,,,,,0.0,,,
environmental_violation_cases,环境违规或处罚事件数量,E,quantitative,missing,,,,,,,0.0,,,
total_employees,员工总数,S,quantitative,extracted,1074,1074,人,2024,人员总数,社会绩效,0.93,heuristic_total_employees; schema_match_validated,page_31.png,社会绩效 人员总数 人 2022年度 1168 2023年度 1077 2024年度 1074
male_employees,男性员工人数,S,quantitative,missing,,,,,,,0.0,,,
female_employees,女性员工人数,S,quantitative,missing,,,,,,,0.0,,,
female_employee_ratio,女性员工比例,S,quantitative,missing,,,,,,,0.0,,,
female_management_ratio,女性管理层比例,S,quantitative,missing,,,,,,,0.0,,,
minority_employees,少数民族员工人数,S,quantitative,missing,,,,,,,0.0,,,
employees_under_30,30岁以下员工人数,S,quantitative,missing,,,,,,,0.0,,,
employees_30_to_50,30至50岁员工人数,S,quantitative,missing,,,,,,,0.0,,,
employees_over_50,50岁以上员工人数,S,quantitative,missing,,,,,,,0.0,,,
employee_turnover_rate,员工流失率,S,quantitative,extracted,1.02,1.02,%,2024,员工流失率,社会绩效,0.93,alias_match:员工流失率; schema_match_validated,page_31.png,社会绩效 员工流失率 % 2022年度 2.16 2023年度 1.82 2024年度 1.02
training_total_hours,员工培训总时长,S,quantitative,missing,,,,,,,0.0,,,
training_hours_per_employee,人均培训时长,S,quantitative,extracted,6.8,6.8,小时,2024,员工人均培训时长,社会绩效,0.9,heuristic_training_hours_per_employee; schema_match_validated,page_31.png,社会绩效 员工人均培训时长 小时 2022年度 24.3 2023年度 25.8 2024年度 6.8
training_coverage_rate,员工培训覆盖率,S,quantitative,extracted,,,,,2024年安全培训覆盖率：100%；安全培训场次：19场；员工安全培训时长：2558小时,,0.93,alias_match:培训覆盖率; schema_match_validated,page_22.png,指标披露：2024年安全培训覆盖率：100%；安全培训场次：19场；员工安全培训时长：2558小时
training_expense,培训投入金额,S,quantitative,extracted,99,99,万元,2024,培训投入,社会绩效,0.9,heuristic_training_expense; schema_match_validated,page_31.png,社会绩效 培训投入 万元 2022年度 83.2 2023年度 64 2024年度 99
trained_employees_count,受训员工人数或人次,S,quantitative,missing,,,,,,,0.0,,,
work_injury_rate,工伤率,S,quantitative,missing,,,,,,,0.0,,,
work_related_fatalities,因工死亡人数,S,quantitative,missing,,,,,,,0.0,,,
lost_workdays_due_to_injury,因工伤损失工作日数,S,quantitative,missing,,,,,,,0.0,,,
social_insurance_coverage_rate,社会保险覆盖率,S,quantitative,extracted,100,100,%,2024,社会保险覆盖率,社会绩效,0.95,alias_match:社会保险覆盖率; schema_match_validated,page_31.png,社会绩效 社会保险覆盖率 % 2022年度 100 2023年度 100 2024年度 100
employee_health_record_coverage_rate,员工健康档案或体检覆盖率,S,quantitative,extracted,100,100%,%,2024,2024年职业健康体检覆盖率,,0.93,alias_match:体检覆盖率; schema_match_validated,page_21.png,"指标: 2024年职业健康体检覆盖率, 单位: %, 2024年: 100%"
r_and_d_investment,研发投入金额,S,quantitative,extracted,4687,4687,万元,2024,科技研发投入,经营绩效,0.94,alias_match:科技研发投入; schema_match_validated,page_31.png,经营绩效 科技研发投入 万元 2022年度 5658 2023年度 4446 2024年度 4687
r_and_d_employees,研发人员数量,S,quantitative,missing,,,,,,,0.0,,,
authorized_patents_new,当年新增授权专利数量,S,quantitative,missing,,,,,,,0.0,,,
authorized_patents_total,累计授权专利数量,S,quantitative,missing,,,,,,,0.0,,,
customer_complaints,客户投诉数量,S,quantitative,missing,,,,,,,0.0,,,
board_size,董事会人数,G,quantitative,missing,,,,,,,0.0,,,
independent_directors,独立董事人数,G,quantitative,missing,,,,,,,0.0,,,
independent_director_ratio,独立董事比例,G,quantitative,missing,,,,,,,0.0,,,
female_directors,女性董事人数,G,quantitative,missing,,,,,,,0.0,,,
board_meetings,董事会会议次数,G,quantitative,missing,,,,,,,0.0,,,
shareholder_meetings,股东大会会议次数,G,quantitative,missing,,,,,,,0.0,,,
anti_corruption_training_sessions,反腐败培训次数,G,quantitative,missing,,,,,,,0.0,,,
anti_corruption_training_participants,反腐败培训参与人数或人次,G,quantitative,missing,,,,,,,0.0,,,
anti_corruption_training_hours,反腐败培训总时长,G,quantitative,missing,,,,,,,0.0,,,
confirmed_corruption_cases,确认的腐败事件数量,G,quantitative,missing,,,,,,,0.0,,,
whistleblowing_cases,举报案件数量,G,quantitative,missing,,,,,,,0.0,,,
patent_applications_new,当年申请专利数量,S,quantitative,extracted,12,12,项,2024,申报专利数,经营绩效,0.93,alias_match:申报专利数; schema_match_validated,page_31.png,经营绩效 申报专利数 项 2022年度 12 2023年度 10 2024年度 12
board_esg_oversight,董事会 ESG 监督机制,G,qualitative,missing,,,,,,,0.0,,,
esg_committee,ESG 委员会或可持续发展委员会,G,qualitative,missing,,,,,,,0.0,,,
anti_corruption_policy,反腐败政策,G,qualitative,missing,,,,,,,0.0,,,
whistleblowing_mechanism,举报机制,G,qualitative,missing,,,,,,,0.0,,,
supplier_esg_assessment,供应商 ESG 评估机制,S,qualitative,missing,,,,,,,0.0,,,
