field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
scope_1_emissions,,E,quantitative,,extracted,2005.87,"2,005.87",吨二氧化碳当量,2024,route_a_appendix_table,0.96,"范围一温室气体排放量 吨二氧化碳当量 2023年 1,752.85 2024年 2,005.87",page_48.png,范围一温室气体排放量,,,page_48.png,extracted,0.96,heuristic_scope_1; schema_match_validated,,,,,,
scope_2_emissions,,E,quantitative,,extracted,5169.09,"5,169.09",吨二氧化碳当量,2024,route_a_appendix_table,0.96,"范围二温室气体排放量 吨二氧化碳当量 2023年 4,850.63 2024年 5,169.09",page_48.png,范围二温室气体排放量,,,page_48.png,extracted,0.96,heuristic_scope_2; schema_match_validated,,,,,,
scope_3_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ghg_emissions_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_total,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
electricity_consumption,,E,quantitative,,extracted,8543.32,"8,543.32",兆瓦时,2024,route_a_appendix_table,0.92,"外购电力 兆瓦时 7,961.73 8,543.32",page_47.png,外购电力,,,page_47.png,extracted,0.92,heuristic_electricity; schema_match_validated,,,,,,
renewable_energy_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
natural_gas_consumption,,E,quantitative,,extracted,108195.51,"108,195.51",立方米,2024,route_a_appendix_table,0.94,"天然气使用量 立方米 107,395 108,195.51",page_47.png,天然气使用量,,,page_47.png,extracted,0.94,alias_match:天然气使用量; schema_match_validated,,,,,,
coal_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
water_consumption,,E,quantitative,,extracted,44259.26,"44,259.26",吨,2024,route_a_appendix_table,0.92,"总用水量 吨 35,157 44,259.26",page_47.png,总用水量,,,page_47.png,extracted,0.92,heuristic_water; schema_match_validated,,,,,,
water_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
recycled_water_volume,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
wastewater_discharge,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
cod_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ammonia_nitrogen_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
so2_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
nox_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
particulate_matter_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
hazardous_waste,,E,quantitative,,extracted,0.2,0.20,吨,2024,route_a_appendix_table,0.93,有害废弃物（灯管、废旧电池）总量 吨 0.05 0.20,page_47.png,有害废弃物（灯管、废旧电池）总量,,,page_47.png,extracted,0.93,heuristic_hazardous_waste; schema_match_validated,,,,,,
non_hazardous_waste,,E,quantitative,,extracted,185.4,185.40,吨,2024,route_a_appendix_table,0.93,无害废弃物总量 吨 160.62 185.40,page_47.png,无害废弃物总量,,,page_47.png,extracted,0.93,heuristic_non_hazardous_waste; schema_match_validated,,,,,,
total_waste,,E,quantitative,,extracted,185.6,185.60,吨,2024,route_a_appendix_table,0.93,废弃物总量 吨 160.66 185.60,page_47.png,废弃物总量,,,page_47.png,extracted,0.93,alias_match:废弃物总量; schema_match_validated,,,,,,
waste_recycling_rate,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
environmental_investment,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
environmental_violation_cases,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
total_employees,,S,quantitative,,extracted,31912,"31,912",人,2024,route_a_appendix_table,0.93,"员工雇佣 员工总数 人 2023年 31,586 2024年 31,912",page_48.png,员工总数,员工雇佣,,page_48.png,extracted,0.93,heuristic_total_employees; schema_match_validated,,,,,,
male_employees,,S,quantitative,,extracted,18904,"18,904",人,2024,route_a_appendix_table,0.92,"员工雇佣 男性员工 人 2023年 18,450 2024年 18,904",page_48.png,男性员工,员工雇佣,,page_48.png,extracted,0.92,alias_match:男性员工; schema_match_validated,,,,,,
female_employees,,S,quantitative,,extracted,13008,"13,008",人,2024,route_a_appendix_table,0.92,"员工雇佣 女性员工 人 2023年 13,136 2024年 13,008",page_48.png,女性员工,员工雇佣,,page_48.png,extracted,0.92,alias_match:女性员工; schema_match_validated,,,,,,
female_employee_ratio,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
female_management_ratio,,S,quantitative,,extracted,44.27,44.27,%,2024,route_a_appendix_table,0.95,女性管理者占比 % 2023年 48.41 2024年 44.27,page_48.png,女性管理者占比,,,page_48.png,extracted,0.95,llm_match:女性管理者占比与field_key 'female_management_ratio'的中文名'女性管理层比例'及别名'女性管理人员占比'、'管理人员中女性人数比例'等语义完全一致，单位为%，符合value_type: percentage。; schema_match_validated,,,,,,
minority_employees,,S,quantitative,,extracted,1246,"1,246",人,2024,route_a_appendix_table,0.92,"少数民族员工 人 2023年 1,193 2024年 1,246",page_48.png,少数民族员工,,,page_48.png,extracted,0.92,alias_match:少数民族; schema_match_validated,,,,,,
employees_under_30,,S,quantitative,,extracted,16909,"16,909",人,2024,route_a_appendix_table,0.93,"30岁以下 人 2023年 18,861 2024年 16,909",page_48.png,30岁以下,,,page_48.png,extracted,0.93,alias_match:30岁以下; schema_match_validated,,,,,,
employees_30_to_50,,S,quantitative,,extracted,14287,"14,287",人,2024,route_a_appendix_table,0.95,"30-50岁 人 2023年 12,417 2024年 14,287",page_48.png,30-50岁,,,page_48.png,extracted,0.95,llm_match:指标名称'30-50岁'与field_key 'employees_30_to_50'的aliases中'30至50岁员工人数'、'30-50岁员工人数'等高度一致，单位'人'匹配，且属于S类人口结构指标。; schema_match_validated,,,,,,
employees_over_50,,S,quantitative,,extracted,716,716,人,2024,route_a_appendix_table,0.94,50岁及以上 人 2023年 308 2024年 716,page_48.png,50岁及以上,,,page_48.png,extracted,0.94,alias_match:50岁及以上; schema_match_validated,,,,,,
