field_key,name_cn,category,indicator_type,status,value,raw_value,unit,year,row_label,topic,confidence,match_reason,page_image,evidence_text
total_ghg_emissions,温室气体排放总量,E,quantitative,missing,,,,,,,0.0,,,
scope_1_emissions,范围一温室气体排放量,E,quantitative,extracted,2005.87,"2,005.87",吨二氧化碳当量,2024,范围一温室气体排放量,,0.96,heuristic_scope_1; schema_match_validated,page_48.png,"范围一温室气体排放量 吨二氧化碳当量 2023年 1,752.85 2024年 2,005.87"
scope_2_emissions,范围二温室气体排放量,E,quantitative,extracted,5169.09,"5,169.09",吨二氧化碳当量,2024,范围二温室气体排放量,,0.96,heuristic_scope_2; schema_match_validated,page_48.png,"范围二温室气体排放量 吨二氧化碳当量 2023年 4,850.63 2024年 5,169.09"
scope_3_emissions,范围三温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
ghg_emissions_intensity,温室气体排放强度,E,quantitative,missing,,,,,,,0.0,,,
energy_consumption_total,能源消耗总量,E,quantitative,missing,,,,,,,0.0,,,
energy_consumption_intensity,能源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
electricity_consumption,电力消耗量,E,quantitative,extracted,8543.32,"8,543.32",兆瓦时,2024,外购电力,,0.92,heuristic_electricity; schema_match_validated,page_47.png,"外购电力 兆瓦时 7,961.73 8,543.32"
renewable_energy_consumption,可再生能源使用量,E,quantitative,missing,,,,,,,0.0,,,
natural_gas_consumption,天然气消耗量,E,quantitative,extracted,108195.51,"108,195.51",立方米,2024,天然气使用量,,0.94,alias_match:天然气使用量; schema_match_validated,page_47.png,"天然气使用量 立方米 107,395 108,195.51"
coal_consumption,煤炭消耗量,E,quantitative,missing,,,,,,,0.0,,,
water_consumption,水资源消耗量,E,quantitative,extracted,44259.26,"44,259.26",吨,2024,总用水量,,0.92,heuristic_water; schema_match_validated,page_47.png,"总用水量 吨 35,157 44,259.26"
water_consumption_intensity,水资源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
recycled_water_volume,循环水或回用水量,E,quantitative,missing,,,,,,,0.0,,,
wastewater_discharge,废水排放量,E,quantitative,missing,,,,,,,0.0,,,
cod_emissions,化学需氧量排放量,E,quantitative,missing,,,,,,,0.0,,,
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,missing,,,,,,,0.0,,,
so2_emissions,二氧化硫排放量,E,quantitative,missing,,,,,,,0.0,,,
nox_emissions,氮氧化物排放量,E,quantitative,missing,,,,,,,0.0,,,
particulate_matter_emissions,颗粒物排放量,E,quantitative,missing,,,,,,,0.0,,,
hazardous_waste,危险废弃物产生或排放量,E,quantitative,extracted,0.2,0.20,吨,2024,有害废弃物（灯管、废旧电池）总量,,0.93,heuristic_hazardous_waste; schema_match_validated,page_47.png,有害废弃物（灯管、废旧电池）总量 吨 0.05 0.20
non_hazardous_waste,无害废弃物产生或排放量,E,quantitative,extracted,185.4,185.40,吨,2024,无害废弃物总量,,0.93,heuristic_non_hazardous_waste; schema_match_validated,page_47.png,无害废弃物总量 吨 160.62 185.40
total_waste,废弃物总量,E,quantitative,extracted,185.6,185.60,吨,2024,废弃物总量,,0.93,alias_match:废弃物总量; schema_match_validated,page_47.png,废弃物总量 吨 160.66 185.60
waste_recycling_rate,废弃物回收利用率,E,quantitative,missing,,,,,,,0.0,,,
environmental_investment,环保投入金额,E,quantitative,missing,,,,,,,0.0,,,
environmental_violation_cases,环境违规或处罚事件数量,E,quantitative,missing,,,,,,,0.0,,,
total_employees,员工总数,S,quantitative,extracted,31912,"31,912",人,2024,员工总数,员工雇佣,0.93,heuristic_total_employees; schema_match_validated,page_48.png,"员工雇佣 员工总数 人 2023年 31,586 2024年 31,912"
male_employees,男性员工人数,S,quantitative,extracted,18904,"18,904",人,2024,男性员工,员工雇佣,0.92,alias_match:男性员工; schema_match_validated,page_48.png,"员工雇佣 男性员工 人 2023年 18,450 2024年 18,904"
female_employees,女性员工人数,S,quantitative,extracted,13008,"13,008",人,2024,女性员工,员工雇佣,0.92,alias_match:女性员工; schema_match_validated,page_48.png,"员工雇佣 女性员工 人 2023年 13,136 2024年 13,008"
female_employee_ratio,女性员工比例,S,quantitative,missing,,,,,,,0.0,,,
