field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,,E,quantitative,,extracted,765.94,765.94,吨二氧化碳当量,2024,route_a_appendix_table,0.95,"2024温室气体排放
温室气体排放量 吨二氧化碳当量 2024年 765.94",page_78.png,温室气体排放量,,,page_78.png,extracted,0.95,alias_match:温室气体排放量; schema_match_validated,,,,,,
scope_1_emissions,,E,quantitative,,extracted,138.86,138.86,吨二氧化碳当量,2024,route_a_appendix_table,0.96,"2024温室气体排放
直接温室气体排放量 吨二氧化碳当量 2024年 138.86",page_78.png,直接温室气体排放量,,,page_78.png,extracted,0.96,heuristic_scope_1; schema_match_validated,,,,,,
scope_2_emissions,,E,quantitative,,extracted,627.07,627.07,吨二氧化碳当量,2024,route_a_appendix_table,0.96,"2024温室气体排放
间接温室气体排放量 吨二氧化碳当量 2024年 627.07",page_78.png,间接温室气体排放量,,,page_78.png,extracted,0.96,heuristic_scope_2; schema_match_validated,,,,,,
scope_3_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ghg_emissions_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_total,,E,quantitative,,extracted,210.76,210.76,吨标准煤,2024,route_a_appendix_table,0.94,"2024能源消耗
能源消耗总量 吨标准煤 2024年 210.76",page_78.png,能源消耗总量,,,page_78.png,extracted,0.94,alias_match:能源消耗总量; schema_match_validated,,,,,,
energy_consumption_intensity,,E,quantitative,,extracted,0.18,0.18,吨标准煤/百万元营收,2024,route_a_appendix_table,0.95,能源耗尽强度 吨标准煤/百万元营收 2023年 0.22 2024年 0.18,page_85.png,能源耗尽强度,,,page_85.png,extracted,0.95,llm_match:能源耗尽强度是能源消耗强度的误写或变体表述，与'能源消耗强度'、'综合能耗强度'、'单位收入能耗'等别名语义一致；单位'吨标准煤/百万元营收'与schema中'吨标准煤/万元'量纲兼容（仅数量级差异，属合理换算）；category为E，value_type为number，完全匹配。; schema_match_validated,,,,,,
electricity_consumption,,E,quantitative,,extracted,116.86,116.86,万千瓦时,2024,route_a_appendix_table,0.92,"2024能源消耗
外购电力 万千瓦时 2024年 116.86",page_78.png,外购电力,,,page_78.png,extracted,0.92,heuristic_electricity; schema_match_validated,,,,,,
renewable_energy_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
natural_gas_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
coal_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
water_consumption,,E,quantitative,,extracted,6297,"6,297",吨,2024,route_a_appendix_table,0.92,"总用水量 吨 2024年 6,297",page_81_left.png,总用水量,,,page_81_left.png,extracted,0.92,heuristic_water; schema_match_validated,,,,,,
water_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
recycled_water_volume,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
wastewater_discharge,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
cod_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ammonia_nitrogen_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
so2_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
nox_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
particulate_matter_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
