field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,,E,quantitative,,extracted,809915.05,"809,915.05",吨二氧化碳当量,2024,route_a_appendix_table,0.94,"温室气体总排放量 吨二氧化碳当量 2023年 587,569.62 2024年 809,915.05",page_93.png,温室气体总排放量,,,page_93.png,extracted,0.94,heuristic_total_ghg; schema_match_validated,,,,,,
scope_1_emissions,,E,quantitative,,extracted,18436.68,"18,436.68",吨二氧化碳当量,2024,route_a_appendix_table,0.96,"范围一排放量 吨二氧化碳当量 2023年 12,571.88 2024年 18,436.68",page_93.png,范围一排放量,,,page_93.png,extracted,0.96,heuristic_scope_1; schema_match_validated,,,,,,
scope_2_emissions,,E,quantitative,,extracted,218194.61,"218,194.61",吨二氧化碳当量,2024,route_a_appendix_table,0.96,"范围二排放量（基于位置） 吨二氧化碳当量 2023年 194,532.85 2024年 218,194.61",page_93.png,范围二排放量（基于位置）,,,page_93.png,extracted,0.96,heuristic_scope_2; schema_match_validated,,,,,,
scope_3_emissions,,E,quantitative,,extracted,597809.99,"597,809.99",吨二氧化碳当量,2024,route_a_appendix_table,0.95,"范围三温室气体上游排放量 吨二氧化碳当量 2023年 374,066.63 2024年 597,809.99",page_93.png,范围三温室气体上游排放量,,,page_93.png,extracted,0.95,llm_match:指标名称'范围三温室气体上游排放量'明确指向范围三排放，属于Core ESG Schema中scope_3_emissions的语义范畴；单位'吨二氧化碳当量'与schema中unit_examples一致；aliases包含'范围三温室气体排放量'等变体，'上游排放量'是范围三的常见子类表述，不影响核心匹配。; schema_match_validated,,,,,,
ghg_emissions_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_total,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
electricity_consumption,,E,quantitative,,extracted,403816.34,"403,816.34",兆瓦时,2024,route_a_appendix_table,0.92,"电力总耗电量 兆瓦时 2023年 343,484.87 2024年 403,816.34",page_93.png,电力总耗电量,,,page_93.png,extracted,0.92,heuristic_electricity; schema_match_validated,,,,,,
renewable_energy_consumption,,E,quantitative,,extracted,0,0,兆瓦时,2024,route_a_appendix_table,0.95,可再生能源购买量（绿电） 兆瓦时 2023年 0 2024年 0,page_93.png,可再生能源购买量（绿电）,,,page_93.png,extracted,0.95,llm_match:可再生能源购买量（绿电）属于可再生能源使用量，与 field_key 'renewable_energy_consumption' 的别名 '绿色电力'、'可再生能源使用量' 高度一致，单位兆瓦时在 unit_examples 中明确列出。; schema_match_validated,,,,,,
natural_gas_consumption,,E,quantitative,,extracted,3222676.15,"3,222,676.15",立方米,2024,route_a_appendix_table,0.94,"天然气使用量 立方米 2023年 2,901,374 2024年 3,222,676.15",page_93.png,天然气使用量,,,page_93.png,extracted,0.94,alias_match:天然气使用量; schema_match_validated,,,,,,
