field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
scope_1_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
scope_2_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
scope_3_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ghg_emissions_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_total,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
electricity_consumption,,E,quantitative,,extracted,3160.76,3160.76,万千瓦时,2024,route_a_appendix_table,0.92,外购电力 万千瓦时 2022年 2677.22 2023年 2659.03 2024年 3160.76,page_31.png,外购电力,,,page_31.png,extracted,0.92,heuristic_electricity; schema_match_validated,,,,,,
renewable_energy_consumption,,E,quantitative,,extracted,145.55,145.55,万千瓦时,2024,route_a_appendix_table,0.96,光伏等新能源发电量 万千瓦时 2022年 98.32 2023年 96.16 2024年 145.55,page_31_left.png,光伏等新能源发电量,,,page_31_left.png,extracted,0.96,alias_match:光伏等新能源发电量; schema_match_validated,,,,,,
natural_gas_consumption,,E,quantitative,,extracted,1.49,1.49,万立方米,2024,route_a_appendix_table,0.94,天然气消耗量 万立方米 2022年 1.39 2023年 1.54 2024年 1.49,page_31.png,天然气消耗量,,,page_31.png,extracted,0.94,alias_match:天然气消耗量; schema_match_validated,,,,,,
coal_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
water_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
water_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
recycled_water_volume,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
wastewater_discharge,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
cod_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ammonia_nitrogen_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
so2_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
nox_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
particulate_matter_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
hazardous_waste,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
non_hazardous_waste,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
total_waste,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
waste_recycling_rate,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
environmental_investment,,E,quantitative,,extracted,279.18,279.18,万元,2024,route_a_appendix_table,0.93,环保总投入 万元 2022年 129.64 2023年 78.17 2024年 279.18,page_31_left.png,环保总投入,,,page_31_left.png,extracted,0.93,alias_match:环保总投入; schema_match_validated,,,,,,
environmental_violation_cases,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
total_employees,,S,quantitative,,extracted,6243,6243,人,2024,route_a_appendix_table,0.93,员工 员工总数 人 2024年 6243,page_25.png,员工总数,员工,,page_25.png,extracted,0.93,heuristic_total_employees; schema_match_validated,,,,,,
male_employees,,S,quantitative,,extracted,2516,2516,人,2024,route_a_appendix_table,0.92,男性员工人数 人 2022年 2620 2023年 2600 2024年 2516,page_31.png,男性员工人数,,,page_31.png,extracted,0.92,heuristic_male_employees; schema_match_validated,,,,,,
female_employees,,S,quantitative,,extracted,3627,3627,人,2024,route_a_appendix_table,0.92,女性员工人数 人 2022年 3678 2023年 3654 2024年 3627,page_31.png,女性员工人数,,,page_31.png,extracted,0.92,heuristic_female_employees; schema_match_validated,,,,,,
female_employee_ratio,,S,quantitative,,extracted,58.1,58.10%,%,2024,route_a_appendix_table,0.94,员工 女性员工比例 % 2024年 58.10%,page_25.png,女性员工比例,员工,,page_25.png,extracted,0.94,alias_match:女性员工比例; schema_match_validated,,,,,,
female_management_ratio,,S,quantitative,,extracted,43.8,43.8%,%,2024,route_a_appendix_table,0.95,员工 女性管理者比例 % 2024年 43.8%,page_25.png,女性管理者比例,员工,,page_25.png,extracted,0.95,alias_match:女性管理者比例; schema_match_validated,,,,,,
minority_employees,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
employees_under_30,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
employees_30_to_50,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
employees_over_50,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
employee_turnover_rate,,S,quantitative,,extracted,6,6,%,2024,route_a_appendix_table,0.93,员工流失率 % 2022年 6.2 2023年 5.9 2024年 6,page_31.png,员工流失率,,,page_31.png,extracted,0.93,alias_match:员工流失率; schema_match_validated,,,,,,
training_total_hours,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
training_hours_per_employee,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
training_coverage_rate,,S,quantitative,,extracted,100,100,%,2024,route_a_appendix_table,0.95,员工培训覆盖率 % 2022年 100 2023年 100 2024年 100,page_31.png,员工培训覆盖率,,,page_31.png,extracted,0.95,alias_match:员工培训覆盖率; schema_match_validated,,,,,,
training_expense,,S,quantitative,,extracted,265,265,万元,2024,route_a_appendix_table,0.9,员工培训投入 万元 2022年 396 2023年 415 2024年 265,page_31.png,员工培训投入,,,page_31.png,extracted,0.9,heuristic_training_expense; schema_match_validated,,,,,,
trained_employees_count,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
work_injury_rate,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
work_related_fatalities,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
lost_workdays_due_to_injury,,S,quantitative,,extracted,0,0,日,2024,route_a_appendix_table,0.96,因工伤损失工作日数 日 2022年 0 2023年 0 2024年 0,page_31_left.png,因工伤损失工作日数,,,page_31_left.png,extracted,0.96,alias_match:因工伤损失工作日数; schema_match_validated,,,,,,
social_insurance_coverage_rate,,S,quantitative,,extracted,100,100%,%,2024,route_a_appendix_table,0.95,社会保障与福利 社会保险覆盖率 % 2024年 100%,page_25_left.png,社会保险覆盖率,社会保障与福利,,page_25_left.png,extracted,0.95,alias_match:社会保险覆盖率; schema_match_validated,,,,,,
employee_health_record_coverage_rate,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
