field_key,name_cn,category,indicator_type,status,value,raw_value,unit,year,row_label,topic,confidence,match_reason,page_image,evidence_text
total_ghg_emissions,温室气体排放总量,E,quantitative,missing,,,,,,,0.0,,,
scope_1_emissions,范围一温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
scope_2_emissions,范围二温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
scope_3_emissions,范围三温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
ghg_emissions_intensity,温室气体排放强度,E,quantitative,missing,,,,,,,0.0,,,
energy_consumption_total,能源消耗总量,E,quantitative,missing,,,,,,,0.0,,,
energy_consumption_intensity,能源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
electricity_consumption,电力消耗量,E,quantitative,extracted,3160.76,3160.76,万千瓦时,2024,外购电力,,0.92,heuristic_electricity; schema_match_validated,page_31.png,外购电力 万千瓦时 2022年 2677.22 2023年 2659.03 2024年 3160.76
renewable_energy_consumption,可再生能源使用量,E,quantitative,extracted,145.55,145.55,万千瓦时,2024,光伏等新能源发电量,,0.96,alias_match:光伏等新能源发电量; schema_match_validated,page_31_left.png,光伏等新能源发电量 万千瓦时 2022年 98.32 2023年 96.16 2024年 145.55
natural_gas_consumption,天然气消耗量,E,quantitative,extracted,1.49,1.49,万立方米,2024,天然气消耗量,,0.94,alias_match:天然气消耗量; schema_match_validated,page_31.png,天然气消耗量 万立方米 2022年 1.39 2023年 1.54 2024年 1.49
coal_consumption,煤炭消耗量,E,quantitative,missing,,,,,,,0.0,,,
water_consumption,水资源消耗量,E,quantitative,missing,,,,,,,0.0,,,
water_consumption_intensity,水资源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
recycled_water_volume,循环水或回用水量,E,quantitative,missing,,,,,,,0.0,,,
wastewater_discharge,废水排放量,E,quantitative,missing,,,,,,,0.0,,,
cod_emissions,化学需氧量排放量,E,quantitative,missing,,,,,,,0.0,,,
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,missing,,,,,,,0.0,,,
so2_emissions,二氧化硫排放量,E,quantitative,missing,,,,,,,0.0,,,
nox_emissions,氮氧化物排放量,E,quantitative,missing,,,,,,,0.0,,,
particulate_matter_emissions,颗粒物排放量,E,quantitative,missing,,,,,,,0.0,,,
hazardous_waste,危险废弃物产生或排放量,E,quantitative,missing,,,,,,,0.0,,,
