field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,温室气体排放总量,E,quantitative,number,extracted,56.64,56.64,万吨二氧化碳当量,2024,route_a_appendix_table,0.94,应对气候变化 温室气体排放总量 万吨二氧化碳当量 2022年 49.76 2023年 46.04 2024年 56.64,page_50.png,温室气体排放总量,应对气候变化,附表2 ESG 数据表－环境维度,page_50.png,extracted,0.94,heuristic_total_ghg; schema_match_validated,,,,,,
scope_1_emissions,范围一温室气体排放量,E,quantitative,number,extracted,38.76,38.76,万吨二氧化碳当量,2024,route_a_appendix_table,0.96,范围1温室气体排放量 万吨二氧化碳当量 2022年 38.11 2023年 40.06 2024年 38.76,page_50.png,范围1温室气体排放量,,附表2 ESG 数据表－环境维度,page_50.png,extracted,0.96,heuristic_scope_1; schema_match_validated,,,,,,
scope_2_emissions,范围二温室气体排放量,E,quantitative,number,extracted,5.3,5.30,万吨二氧化碳当量,2024,route_a_appendix_table,0.96,范围2温室气体排放量 万吨二氧化碳当量 2022年 10.30 2023年 5.18 2024年 5.30,page_50.png,范围2温室气体排放量,,附表2 ESG 数据表－环境维度,page_50.png,extracted,0.96,heuristic_scope_2; schema_match_validated,,,,,,
scope_3_emissions,范围三温室气体排放量,E,quantitative,number,extracted,12.08,12.08,万吨二氧化碳当量,2024,route_a_appendix_table,0.94,范围3温室气体排放量 万吨二氧化碳当量 2022年 1.35 2023年 0.78 2024年 12.08,page_50.png,范围3温室气体排放量,,附表2 ESG 数据表－环境维度,page_50.png,extracted,0.94,heuristic_scope_3; schema_match_validated,,,,,,
ghg_emissions_intensity,温室气体排放强度,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
energy_consumption_total,能源消耗总量,E,quantitative,number,extracted,23.52,23.52,万吨标准煤,2024,route_a_appendix_table,0.95,综合能源消耗量 汽油¹ 万吨标准煤 2022年 21.63 2023年 23.02 2024年 23.52,page_51.png,汽油¹,综合能源消耗量,能源利用,page_51.png,extracted,0.95,alias_match:综合能源消耗量; schema_match_validated,,,,,,
energy_consumption_intensity,能源消耗强度,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
electricity_consumption,电力消耗量,E,quantitative,number,extracted,2.25,2.25,亿千瓦时,2024,route_a_appendix_table,0.9,按能源类型分 电力 亿千瓦时 2022年 1.98 2023年 2.38 2024年 2.25,page_51.png,电力,按能源类型分,能源利用,page_51.png,extracted,0.9,alias_match:电力; schema_match_validated,,,,,,
renewable_energy_consumption,可再生能源使用量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
natural_gas_consumption,天然气消耗量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
