page_image,table_title,topic,metric_name,unit,year,column_label,value,raw_value,values,evidence_text,reason,confidence
page_44.png,公司治理-股东大会、董事会、监事会召开情况,股东大会,召开年度股东大会次数,次,2024,2024年,1,1,"{""2024年"": ""1""}",召开年度股东大会 1 次，审议并通过议案 15 项。,no_schema_match,0.0
page_44.png,公司治理-股东大会、董事会、监事会召开情况,董事会,召开临时股东大会次数,次,2024,2024年,1,1,"{""2024年"": ""1""}",召开临时股东大会 1 次，审议并通过议案 3 项。,no_schema_match,0.0
page_44.png,公司治理-股东大会、董事会、监事会召开情况,董事会,召开董事会次数,次,2024,2024年,18,18,"{""2024年"": ""18""}",召开董事会 18 次，审议议案 44 项；涉及利润分配、重大工程项目等事项。,no_schema_match,0.0
page_44.png,公司治理-股东大会、董事会、监事会召开情况,监事会,召开监事会次数,次,2024,2024年,4,4,"{""2024年"": ""4""}",召开监事会 4 次，审议、听取议案 16 项。,no_schema_match,0.0
page_44.png,公司治理-股东大会、董事会、监事会召开情况,董事会,召开董事会专门委员会次数,次,2024,2024年,19,19,"{""2024年"": ""19""}",召开董事会专门委员会 19 次，审议、听取议案 27 项。,no_schema_match,0.0
page_44_right.png,2024年公司治理相关会议情况,股东大会,审议并通过议案数量,项,2024,2024年,15,15,"{""2024年"": ""15""}",股东大会 审议并通过议案数量 项 2024年 15,no_schema_match,0.0
page_44_right.png,2024年公司治理相关会议情况,股东大会,审议并通过议案数量,项,2024,2024年,3,3,"{""2024年"": ""3""}",股东大会 审议并通过议案数量 项 2024年 3,no_schema_match,0.0
page_44_right.png,2024年公司治理相关会议情况,董事会,审议议案数量,项,2024,2024年,44,44,"{""2024年"": ""44""}",董事会 审议议案数量 项 2024年 44,no_schema_match,0.0
page_44_right.png,2024年公司治理相关会议情况,董事会,涉及利润分配、重大工程项目等事项数量,项,2024,2024年,,不适用,"{""2024年"": ""不适用""}",董事会 涉及利润分配、重大工程项目等事项数量 项 2024年 不适用,no_schema_match,0.0
page_44_right.png,2024年公司治理相关会议情况,监事会,召开监事会次数,次,2024,2024年,4,4,"{""2024年"": ""4""}",监事会 召开监事会次数 次 2024年 4,no_schema_match,0.0
page_44_right.png,2024年公司治理相关会议情况,监事会,审议、听取议案数量,项,2024,2024年,16,16,"{""2024年"": ""16""}",监事会 审议、听取议案数量 项 2024年 16,no_schema_match,0.0
page_44_right.png,2024年公司治理相关会议情况,董事会各专门委员会,召开董事会各专门委员会次数,次,2024,2024年,19,19,"{""2024年"": ""19""}",董事会各专门委员会 召开董事会各专门委员会次数 次 2024年 19,no_schema_match,0.0
page_44_right.png,2024年公司治理相关会议情况,董事会各专门委员会,审议、听取议案数量,项,2024,2024年,27,27,"{""2024年"": ""27""}",董事会各专门委员会 审议、听取议案数量 项 2024年 27,no_schema_match,0.0
page_48.png,反商业贿赂及反贪污风险管理策略,,商业道德风险,,2024,2024年,中长期,中长期,"{""2024年"": ""中长期""}",商业道德风险 中长期 合规成本增加 公布《反贿赂反腐败政策》，涵盖员工及商业合作伙伴；推行廉洁教育，提高全员廉洁意识。,no_schema_match,0.0
page_48.png,反商业贿赂及反贪污风险管理策略,,关键岗位风险,,2024,2024年,中长期,中长期,"{""2024年"": ""中长期""}",关键岗位风险 中长期 合规成本增加 加强廉洁教育；实行轮岗机制、强化供应商准入审核与定期评估机制，推行分级审批与定能核查制度。,no_schema_match,0.0
page_48.png,反商业贿赂及反贪污风险管理策略,,业务流程风险,,2024,2024年,中长期,中长期,"{""2024年"": ""中长期""}",业务流程风险 中长期 合规成本增加 建立考核、监督内控机制；加强教育培训和廉洁文化建设。,no_schema_match,0.0
page_48.png,反商业贿赂及反贪污风险管理策略,,制度机制风险,,2024,2024年,中长期,中长期,"{""2024年"": ""中长期""}",制度机制风险 中长期 成本增加、诉讼费用增加 完善反商业贿赂与反贪污制度和管理机制；完善举报渠道，加强科技手段保护措施。,no_schema_match,0.0
page_48.png,反商业贿赂及反贪污风险管理策略,,重点领域/项目决策风险,,2024,2024年,中长期,中长期,"{""2024年"": ""中长期""}",重点领域/项目决策风险 中长期 项目成本上升 加强“三重一大”事项监督，完善集体决策机制。,no_schema_match,0.0
page_48_right.png,反商业贿赂及反贪污风险及管理策略,,商业道德风险,,2024,2024年,,,"{""2024年"": null}",商业道德风险 中长期 合规成本增加 公布《反贿赂反腐败政策》，涵盖员工及商业合作伙伴；推行廉洁教育，提高全员廉洁意识。,no_schema_match,0.0
page_48_right.png,反商业贿赂及反贪污风险及管理策略,,关键岗位风险,,2024,2024年,,,"{""2024年"": null}",关键岗位风险 中长期 合规成本增加 加强廉洁教育；实行轮岗机制。强化供应商准入审核与定期评估机制，推行分级审批与定期核查制度。,no_schema_match,0.0
page_48_right.png,反商业贿赂及反贪污风险及管理策略,,业务流程风险,,2024,2024年,,,"{""2024年"": null}",业务流程风险 中长期 合规成本增加 建立考核、监督检查机制，加强教育培训和廉洁文化建设。,no_schema_match,0.0
page_48_right.png,反商业贿赂及反贪污风险及管理策略,,制度机制风险,,2024,2024年,,,"{""2024年"": null}",制度机制风险 中长期 成本增加、诉讼费用增加 完善反商业贿赂与反贪污制度和管理机制，完善举报渠道，加强举报人保护措施。,no_schema_match,0.0
page_48_right.png,反商业贿赂及反贪污风险及管理策略,,重点领域 / 项目决策风险,,2024,2024年,,,"{""2024年"": null}",重点领域 / 项目决策风险 中长期 项目成本上升、 加强“三重一大”事项监督，完善集体决策机制。,no_schema_match,0.0
page_49.png,指标与目标,,反腐败政策和程序传达给董事会成员的比率,%,2024,2024年,100,100%,"{""2024年"": ""100%"", ""报告期内进展"": ""✅ 达成""}",反腐败政策和程序传达给董事会成员的比率 2024年目标 100% 报告期内进展 ✅ 达成,no_schema_match,0.0
page_49.png,指标与目标,,反腐败政策和程序传达给员工的比率,%,2024,2024年,100,100%,"{""2024年"": ""100%"", ""报告期内进展"": ""✅ 达成""}",反腐败政策和程序传达给员工的比率 2024年目标 100% 报告期内进展 ✅ 达成,no_schema_match,0.0
page_49.png,指标与目标,,反腐败政策和程序传达给供应商的比率,%,2024,2024年,100,100%,"{""2024年"": ""100%"", ""报告期内进展"": ""✅ 达成""}",反腐败政策和程序传达给供应商的比率 2024年目标 100% 报告期内进展 ✅ 达成,no_schema_match,0.0
page_49_right.png,治理绩效-反腐败政策传达比率,,反腐败政策和程序传达给董事会成员的比率,,2024,2024年,100,100%,"{""2024年"": ""100%""}",反腐败政策和程序传达给董事会成员的比率 100% ✅达成,no_schema_match,0.0
page_49_right.png,治理绩效-反腐败政策传达比率,,反腐败政策和程序传达给员工的比率,,2024,2024年,100,100%,"{""2024年"": ""100%""}",反腐败政策和程序传达给员工的比率 100% ✅达成,no_schema_match,0.0
page_49_right.png,治理绩效-反腐败政策传达比率,,反腐败政策和程序传达给供应商的比率,,2024,2024年,100,100%,"{""2024年"": ""100%""}",反腐败政策和程序传达给供应商的比率 100% ✅达成,no_schema_match,0.0
page_50.png,附表1 ESG 数据表－经济维度,,资产总额,亿元,2024,2024年,1882.52,"1,882.52","{""2022年"": ""1,528.12"", ""2023年"": ""1,654.33"", ""2024年"": ""1,882.52""}","资产总额 亿元 1,528.12 1,654.33 1,882.52",business_performance_not_core_esg,0.0
page_50.png,附表1 ESG 数据表－经济维度,,营业收入,亿元,2024,2024年,891.75,891.75,"{""2022年"": ""739.69"", ""2023年"": ""832.72"", ""2024年"": ""891.75""}",营业收入 亿元 739.69 832.72 891.75,business_performance_not_core_esg,0.0
page_50.png,附表1 ESG 数据表－经济维度,,利润总额,亿元,2024,2024年,441.63,441.63,"{""2022年"": ""371.04"", ""2023年"": ""419.13"", ""2024年"": ""441.63""}",利润总额 亿元 371.04 419.13 441.63,business_performance_not_core_esg,0.0
page_50.png,附表1 ESG 数据表－经济维度,,归母净利润,亿元,2024,2024年,318.53,318.53,"{""2022年"": ""266.90"", ""2023年"": ""302.11"", ""2024年"": ""318.53""}",归母净利润 亿元 266.90 302.11 318.53,business_performance_not_core_esg,0.0
page_50.png,附表1 ESG 数据表－经济维度,,基本每股收益,元/股,2024,2024年,8.206,8.206,"{""2022年"": ""6.876"", ""2023年"": ""7.763"", ""2024年"": ""8.206""}",基本每股收益 元/股 6.876 7.763 8.206,no_schema_match,0.0
page_50.png,附表1 ESG 数据表－经济维度,,已缴税金,亿元,2024,2024年,350.62,350.62,"{""2022年"": ""282.94"", ""2023年"": ""316.07"", ""2024年"": ""350.62""}",已缴税金 亿元 282.94 316.07 350.62,no_schema_match,0.0
page_50.png,附表1 ESG 数据表－经济维度,,现金分红总额,亿元,2024,2024年,181.27,181.27,"{""2022年"": ""117.34"", ""2023年"": ""146.86"", ""2024年"": ""181.27""}",现金分红总额 亿元 117.34 146.86 181.27,no_schema_match,0.0
page_50.png,附表1 ESG 数据表－经济维度,,政府补贴,万元,2024,2024年,20932.29,"20,932.29","{""2022年"": ""10,042.18"", ""2023年"": ""23,625.71"", ""2024年"": ""20,932.29""}","政府补贴 万元 10,042.18 23,625.71 20,932.29",no_schema_match,0.0
page_50.png,附表2 ESG 数据表－环境维度,,环境培训相关培训次数,次,2024,2024年,30,30,"{""2022年"": ""27"", ""2023年"": ""30"", ""2024年"": ""30""}",环境培训相关培训次数 次 2022年 27 2023年 30 2024年 30,no_schema_match,0.0
page_50.png,附表2 ESG 数据表－环境维度,,参加环保相关培训总人次,万人次,2024,2024年,5,5,"{""2022年"": ""5"", ""2023年"": ""5"", ""2024年"": ""5""}",参加环保相关培训总人次 万人次 2022年 5 2023年 5 2024年 5,no_schema_match,0.0
page_50.png,附表2 ESG 数据表－环境维度,,报告因环境事件受到生态环境等有关部门重大行政处罚或被追究刑事责任的处罚金额,万元,2024,2024年,0,0,"{""2022年"": ""0"", ""2023年"": ""0"", ""2024年"": ""0""}",报告因环境事件受到生态环境等有关部门重大行政处罚或被追究刑事责任的处罚金额 万元 2022年 0 2023年 0 2024年 0,no_schema_match,0.0
page_50_right.png,附表 1 ESG 数据表－经济维度,,资产总额,亿元,2024,2024年,1882.52,"1,882.52","{""2022年"": ""1,528.12"", ""2023年"": ""1,654.33"", ""2024年"": ""1,882.52""}","资产总额 亿元 1,528.12 1,654.33 1,882.52",business_performance_not_core_esg,0.0
