field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,温室气体排放总量,E,quantitative,number,extracted,1035977,"1,035,977.00",吨,2024,route_a_appendix_table,0.94,"应对气候变化 温室气体排放总量 吨 2024年 1,035,977.00",page_48_left.png,温室气体排放总量,应对气候变化,量化数据绩效表-环境绩效,page_48_left.png,extracted,0.94,heuristic_total_ghg; schema_match_validated,,,,,,
scope_1_emissions,范围一温室气体排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
scope_2_emissions,范围二温室气体排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
scope_3_emissions,范围三温室气体排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
ghg_emissions_intensity,温室气体排放强度,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
energy_consumption_total,能源消耗总量,E,quantitative,number,extracted,100051,"100,051.00",吨标煤,2024,route_a_appendix_table,0.94,"能源总量情况 综合能源消耗总量 吨标煤 2024年 100,051.00",page_48_left.png,综合能源消耗总量,能源总量情况,量化数据绩效表-环境绩效,page_48_left.png,extracted,0.94,alias_match:能源消耗总量; schema_match_validated,,,,,,
energy_consumption_intensity,能源消耗强度,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
electricity_consumption,电力消耗量,E,quantitative,number,extracted,91040,"91,040.00",兆瓦时,2024,route_a_appendix_table,0.9,"电力 兆瓦时 2024年 91,040.00",page_48_left.png,电力,,量化数据绩效表-环境绩效,page_48_left.png,extracted,0.9,alias_match:电力; schema_match_validated,,,,,,
renewable_energy_consumption,可再生能源使用量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
natural_gas_consumption,天然气消耗量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
coal_consumption,煤炭消耗量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
water_consumption,水资源消耗量,E,quantitative,number,extracted,1623804,"1,623,804.00",吨,2024,route_a_appendix_table,0.91,"耗水量 吨 2024年 1,623,804.00",page_48_left.png,耗水量,,量化数据绩效表-环境绩效,page_48_left.png,extracted,0.91,alias_match:耗水量; schema_match_validated,,,,,,
water_consumption_intensity,水资源消耗强度,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
recycled_water_volume,循环水或回用水量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
wastewater_discharge,废水排放量,E,quantitative,number,extracted,6976449,"6,976,449.00",立方米,2024,route_a_appendix_table,0.93,"废水排放 工业废水总量 立方米 2024年 6,976,449.00",page_48_left.png,工业废水总量,废水排放,量化数据绩效表-环境绩效,page_48_left.png,extracted,0.93,alias_match:废水排放量; schema_match_validated,,,,,,
cod_emissions,化学需氧量排放量,E,quantitative,number,extracted,545.78,545.78,吨,2024,route_a_appendix_table,0.93,化学需氧量 (COD) 吨 2024年 545.78,page_48_left.png,化学需氧量 (COD),,量化数据绩效表-环境绩效,page_48_left.png,extracted,0.93,alias_match:化学需氧量; schema_match_validated,,,,,,
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,number,extracted,2.12,2.12,吨,2024,route_a_appendix_table,0.9,氨氮 (NH3-N) 吨 2024年 2.12,page_48_left.png,氨氮 (NH3-N),,量化数据绩效表-环境绩效,page_48_left.png,extracted,0.9,alias_match:氨氮; schema_match_validated,,,,,,
so2_emissions,二氧化硫排放量,E,quantitative,number,extracted,79.3,79.30,吨,2024,route_a_appendix_table,0.91,氧化硫 (SOx) 吨 2024年 79.30,page_48_left.png,氧化硫 (SOx),,量化数据绩效表-环境绩效,page_48_left.png,extracted,0.91,alias_match:氧化硫; schema_match_validated,,,,,,
