page_image,table_title,topic,metric_name,unit,year,column_label,value,raw_value,values,evidence_text,reason,confidence
page_40_right.png,2024年质量目标及达成情况,,出厂产品批次合格率,%,2024,2024年,100,100,"{""2024年"": ""100""}",目标 出厂产品批次合格率 % 2024年 100,no_schema_match,0.0
page_40_right.png,2024年质量目标及达成情况,,顾客满意度,%,2024,2024年,80,80,"{""2024年"": ""80""}",目标 顾客满意度 % 2024年 80,no_schema_match,0.0
page_40_right.png,2024年质量目标及达成情况,,产品综合一等品率,%,2024,2024年,94,94,"{""2024年"": ""94""}",目标 产品综合一等品率 % 2024年 94,no_schema_match,0.0
page_40_right.png,2024年质量目标及达成情况,,出厂产品批次合格率,%,2024,2024年,100,100,"{""2024年"": ""100""}",完成情况 出厂产品批次合格率 % 2024年 100,no_schema_match,0.0
page_40_right.png,2024年质量目标及达成情况,,顾客满意度,%,2024,2024年,95.04,95.04,"{""2024年"": ""95.04""}",完成情况 顾客满意度 % 2024年 95.04,no_schema_match,0.0
page_40_right.png,2024年质量目标及达成情况,,产品综合一等品率,%,2024,2024年,98.15,98.15,"{""2024年"": ""98.15""}",完成情况 产品综合一等品率 % 2024年 98.15,no_schema_match,0.0
page_48_left.png,量化数据绩效表-环境绩效,,环境行政处罚金额,万元,2024,2024年,0,0,"{""2024年"": ""0""}",环境行政处罚金额 万元 2024年 0,no_schema_match,0.0
page_48_left.png,量化数据绩效表-环境绩效,,汽油,升,2024,2024年,16483,"16,483.00","{""2024年"": ""16,483.00""}","汽油 升 2024年 16,483.00",no_schema_match,0.0
page_48_left.png,量化数据绩效表-环境绩效,,柴油,升,2024,2024年,379720,"379,720.00","{""2024年"": ""379,720.00""}","柴油 升 2024年 379,720.00",no_schema_match,0.0
page_48_left.png,量化数据绩效表-环境绩效,,热力,百万千焦,2024,2024年,1329091,"1,329,091.00","{""2024年"": ""1,329,091.00""}","热力 百万千焦 2024年 1,329,091.00",no_schema_match,0.0
page_48_left.png,量化数据绩效表-环境绩效,,生物质能（用于燃料）,吨标准煤,2024,2024年,4037,"4,037.00","{""2024年"": ""4,037.00""}","生物质能（用于燃料） 吨标准煤 2024年 4,037.00",no_schema_match,0.0
page_48_left.png,量化数据绩效表-环境绩效,,其他燃料,吨标准煤,2024,2024年,18081,"18,081.00","{""2024年"": ""18,081.00""}","其他燃料 吨标准煤 2024年 18,081.00",no_schema_match,0.0
page_48_left.png,量化数据绩效表-环境绩效,水资源使用,取水总量,吨,2024,2024年,16582429,"16,582,429.00","{""2024年"": ""16,582,429.00""}","水资源使用 取水总量 吨 2024年 16,582,429.00",no_schema_match,0.0
page_48_left.png,量化数据绩效表-环境绩效,,废气总量,万立方米,2024,2024年,608761.77,"608,761.77","{""2024年"": ""608,761.77""}","废气总量 万立方米 2024年 608,761.77",no_schema_match,0.0
page_48_left.png,量化数据绩效表-环境绩效,,生活废水总量,立方米,2024,2024年,34838,"34,838.00","{""2024年"": ""34,838.00""}","生活废水总量 立方米 2024年 34,838.00",no_schema_match,0.0
page_48_left.png,量化数据绩效表-环境绩效,,总氮 (TN),吨,2024,2024年,66.76,66.76,"{""2024年"": ""66.76""}",总氮 (TN) 吨 2024年 66.76,no_schema_match,0.0
page_48_right.png,社会绩效,,劳动合同签订率,%,2024,2024年,100,100,"{""2024年"": ""100""}",劳动合同签订率 % 2024年 100,no_schema_match,0.0
page_48_right.png,社会绩效,,30-50岁员工数量,人,2024,2024年,8714,"8,714","{""2024年"": ""8,714""}","30-50岁员工数量 人 2024年 8,714",no_schema_match,0.0
page_48_right.png,社会绩效,,50岁以上员工数量,人,2024,2024年,1104,"1,104","{""2024年"": ""1,104""}","50岁以上员工数量 人 2024年 1,104",no_schema_match,0.0
page_48_right.png,社会绩效,,本科学历及以上员工数量,人,2024,2024年,566,566,"{""2024年"": ""566""}",本科学历及以上员工数量 人 2024年 566,no_schema_match,0.0
page_48_right.png,社会绩效,,大专学历员工数量,人,2024,2024年,1207,"1,207","{""2024年"": ""1,207""}","大专学历员工数量 人 2024年 1,207",no_schema_match,0.0
page_48_right.png,社会绩效,,高中中专学历员工数量,人,2024,2024年,2115,"2,115","{""2024年"": ""2,115""}","高中中专学历员工数量 人 2024年 2,115",no_schema_match,0.0
page_48_right.png,社会绩效,,初中学历员工数量,人,2024,2024年,6969,"6,969","{""2024年"": ""6,969""}","初中学历员工数量 人 2024年 6,969",no_schema_match,0.0
page_48_right.png,社会绩效,,新增就业人数,人,2024,2024年,1167,"1,167","{""2024年"": ""1,167""}","新增就业人数 人 2024年 1,167",no_schema_match,0.0
page_48_right.png,社会绩效,,新增职业病例数,例,2024,2024年,0,0,"{""2024年"": ""0""}",新增职业病例数 例 2024年 0,no_schema_match,0.0
page_48_right.png,社会绩效,,人均带薪年休假天数,天,2024,2024年,0,0,"{""2024年"": ""0""}",人均带薪年休假天数 天 2024年 0,no_schema_match,0.0
page_48_right.png,社会绩效,,员工满意度,%,2024,2024年,100,100,"{""2024年"": ""100""}",员工满意度 % 2024年 100,no_schema_match,0.0
page_48_right.png,社会绩效,,劳动纠纷案件数量,件,2024,2024年,12,12,"{""2024年"": ""12""}",劳动纠纷案件数量 件 2024年 12,no_schema_match,0.0
page_48_right.png,社会绩效,,安全生产,,,,,,null,安全生产,no_schema_match,0.0
page_48_right.png,社会绩效,,安全培训人次,人次,2024,2024年,11000,"11,000","{""2024年"": ""11,000""}","安全培训人次 人次 2024年 11,000",no_schema_match,0.0
page_48_right.png,社会绩效,,安全培训覆盖率,%,2024,2024年,100,100,"{""2024年"": ""100""}",安全培训覆盖率 % 2024年 100,no_schema_match,0.0
