field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,温室气体排放总量,E,quantitative,number,extracted,804280.18,"804,280.18",吨二氧化碳当量,2024,route_a_appendix_table,0.94,"温室气体排放总量 吨二氧化碳当量 2022年 676,235.95 2023年 709,844.02 2024年 804,280.18",page_58.png,温室气体排放总量,,温室气体排放,page_58.png,extracted,0.94,heuristic_total_ghg; schema_match_validated,,,,,,
scope_1_emissions,范围一温室气体排放量,E,quantitative,number,extracted,754163.65,"754,163.65",吨二氧化碳当量,2024,route_a_appendix_table,0.96,"直接温室气体排放量（范围一） 吨二氧化碳当量 2022年 633,588.51 2023年 666,885.98 2024年 754,163.65",page_58.png,直接温室气体排放量（范围一）,,温室气体排放,page_58.png,extracted,0.96,heuristic_scope_1; schema_match_validated,,,,,,
scope_2_emissions,范围二温室气体排放量,E,quantitative,number,extracted,50116.53,"50,116.53",吨二氧化碳当量,2024,route_a_appendix_table,0.96,"间接温室气体排放量（范围二） 吨二氧化碳当量 2022年 42,647.44 2023年 45,958.04 2024年 50,116.53",page_58.png,间接温室气体排放量（范围二）,,温室气体排放,page_58.png,extracted,0.96,heuristic_scope_2; schema_match_validated,,,,,,
scope_3_emissions,范围三温室气体排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
ghg_emissions_intensity,温室气体排放强度,E,quantitative,number,extracted,0.66,0.66,吨二氧化碳当量/万元营收,2024,route_a_appendix_table,0.96,温室气体排放强度 吨二氧化碳当量/万元营收 2022年 0.62 2023年 0.63 2024年 0.66,page_58.png,温室气体排放强度,,温室气体排放,page_58.png,extracted,0.96,alias_match:温室气体排放强度; schema_match_validated,,,,,,
energy_consumption_total,能源消耗总量,E,quantitative,number,extracted,478139.3,"478,139.30",吨标煤,2024,route_a_appendix_table,0.94,"能源消耗总量 吨标煤 2022年 401,475.21 2023年 421,012.01 2024年 478,139.30",page_58.png,能源消耗总量,,能源与水资源,page_58.png,extracted,0.94,alias_match:能源消耗总量; schema_match_validated,,,,,,
energy_consumption_intensity,能源消耗强度,E,quantitative,number,extracted,0.39,0.39,吨标煤/万元营收,2024,route_a_appendix_table,0.94,能源消耗强度 吨标煤/万元营收 2022年 0.37 2023年 0.37 2024年 0.39,page_58.png,能源消耗强度,,能源与水资源,page_58.png,extracted,0.94,alias_match:能源消耗强度; schema_match_validated,,,,,,
electricity_consumption,电力消耗量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
renewable_energy_consumption,可再生能源使用量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
natural_gas_consumption,天然气消耗量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
coal_consumption,煤炭消耗量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
water_consumption,水资源消耗量,E,quantitative,number,extracted,205939,"205,939.00",吨,2024,route_a_appendix_table,0.92,"总用水量 吨 2022年 186,512.10 2023年 190,117.98 2024年 205,939.00",page_58.png,总用水量,,能源与水资源,page_58.png,extracted,0.92,heuristic_water; schema_match_validated,,,,,,
water_consumption_intensity,水资源消耗强度,E,quantitative,number,extracted,0.17,0.17,吨/万元营收,2024,route_a_appendix_table,0.92,用水强度 吨/万元营收 2022年 0.17 2023年 0.17 2024年 0.17,page_58.png,用水强度,,能源与水资源,page_58.png,extracted,0.92,alias_match:用水强度; schema_match_validated,,,,,,
recycled_water_volume,循环水或回用水量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
wastewater_discharge,废水排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
cod_emissions,化学需氧量排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
so2_emissions,二氧化硫排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
nox_emissions,氮氧化物排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
particulate_matter_emissions,颗粒物排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
hazardous_waste,危险废弃物产生或排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
non_hazardous_waste,无害废弃物产生或排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
total_waste,废弃物总量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
waste_recycling_rate,废弃物回收利用率,E,quantitative,percentage,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
environmental_investment,环保投入金额,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
environmental_violation_cases,环境违规或处罚事件数量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
total_employees,员工总数,S,quantitative,number,extracted,13443,"13,443",人,2024,route_a_appendix_table,0.93,"员工总人数 人 2024 13,443",page_51.png,员工总人数,,员工构成情况,page_51.png,extracted,0.93,heuristic_total_employees; schema_match_validated,,,,,,
male_employees,男性员工人数,S,quantitative,number,extracted,8570,"8,570",人,2024,route_a_appendix_table,0.92,"按性别划分员工数 男性 人 2024 8,570",page_51_right.png,男性,,员工构成情况,page_51_right.png,extracted,0.92,alias_match:男性员工; schema_match_validated,,,,,,
female_employees,女性员工人数,S,quantitative,number,extracted,4875,"4,875",人,2024,route_a_appendix_table,0.92,"按性别划分员工数 女性 人 2024 4,875",page_51_right.png,女性,,员工构成情况,page_51_right.png,extracted,0.92,alias_match:女性员工; schema_match_validated,,,,,,
female_employee_ratio,女性员工比例,S,quantitative,percentage,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
female_management_ratio,女性管理层比例,S,quantitative,percentage,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
minority_employees,少数民族员工人数,S,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
employees_under_30,30岁以下员工人数,S,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
employees_30_to_50,30至50岁员工人数,S,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
employees_over_50,50岁以上员工人数,S,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
employee_turnover_rate,员工流失率,S,quantitative,percentage,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
