page_image,table_title,topic,metric_name,unit,year,column_label,value,raw_value,values,evidence_text,reason,confidence
page_49.png,隐患排查整改达标率,,隐患排查整改达标率,%,2024,2024年,100,100,"{""2024年"": ""100""}",报告期间 隐患排查整改达标率 100%,no_schema_match,0.0
page_50.png,安全教育绩效表,安全教育,安全教育培训覆盖人次,人次,2024,2024年,63932,"63,932","{""2024年"": ""63,932""}","安全教育培训覆盖人次 人次 2024年 63,932",no_schema_match,0.0
page_50.png,安全教育绩效表,安全教育,开展安全教育培训场次,场,2024,2024年,2212,"2,212","{""2024年"": ""2,212""}","开展安全教育培训场次 场 2024年 2,212",no_schema_match,0.0
page_50.png,职业健康绩效表,职业健康,职业病发生,起,2024,2024年,0,0,"{""2024年"": ""0""}",职业病发生 起 2024年 0,no_schema_match,0.0
page_50.png,职业健康绩效表,职业健康,特殊作业人员持证上岗率,%,2024,2024年,100,100%,"{""2024年"": ""100%""}",特殊作业人员持证上岗率 % 2024年 100%,no_schema_match,0.0
page_50.png,职业健康绩效表,职业健康,安全生产责任人员覆盖率,%,2024,2024年,100,100%,"{""2024年"": ""100%""}",安全生产责任人员覆盖率 % 2024年 100%,no_schema_match,0.0
page_50.png,职业健康绩效表,职业健康,职业病危害因素检测率,%,2024,2024年,100,100%,"{""2024年"": ""100%""}",职业病危害因素检测率 % 2024年 100%,no_schema_match,0.0
page_50_right.png,报告期内职业健康绩效,,职业病发生,起,2024,2024年,0,0,"{""2024年"": ""0""}",职业病发生 起 2024年 0,no_schema_match,0.0
page_50_right.png,报告期内职业健康绩效,,特殊作业人员持证上岗率,%,2024,2024年,100,100,"{""2024年"": ""100""}",特殊作业人员持证上岗率 % 2024年 100,no_schema_match,0.0
page_50_right.png,报告期内职业健康绩效,,安全生产责任险人员覆盖率,%,2024,2024年,100,100,"{""2024年"": ""100""}",安全生产责任险人员覆盖率 % 2024年 100,no_schema_match,0.0
