field_key,field_name_cn,category,indicator_type,value_type,value,raw_value,unit,year,column_label,row_label,topic,table_title,page_image,evidence_text,status,confidence,match_reason
total_ghg_emissions,温室气体排放总量,E,quantitative,number,45332.89,"45,332.89",公吨,2024,2024年,年度温室气体排放量,,ESG绩效表-环境绩效,page_52.png,"年度温室气体排放量 公吨 2024年 45,332.89 2023年 /",extracted,0.95,alias_match:温室气体排放量; schema_match_validated
scope_1_emissions,范围一温室气体排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
scope_2_emissions,范围二温室气体排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
scope_3_emissions,范围三温室气体排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
ghg_emissions_intensity,温室气体排放强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
energy_consumption_total,能源消耗总量,E,quantitative,number,70876.16,"70,876.16",吨标煤,2024,2024年,综合能源消耗总量,,ESG绩效表,page_52_left.png,"综合能源消耗总量 吨标煤 2024年 70,876.16 2023年 81,798.86",extracted,0.94,alias_match:能源消耗总量; schema_match_validated
energy_consumption_intensity,能源消耗强度,E,quantitative,number,3.48,3.48,吨标煤/百万元营收,2024,2024年,综合能源消耗强度,,ESG绩效表,page_52_left.png,综合能源消耗强度 吨标煤/百万元营收 2024年 3.48 2023年 3.58,extracted,0.94,alias_match:能源消耗强度; schema_match_validated
electricity_consumption,电力消耗量,E,quantitative,number,184365.86,"184,365.86",兆瓦时,2024,2024年,报告期内电力消耗量,,ESG绩效表-环境绩效,page_52.png,"报告期内电力消耗量 兆瓦时 2024年 184,365.86 2023年 203,178.63",extracted,0.92,alias_match:电力消耗; schema_match_validated
renewable_energy_consumption,可再生能源使用量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
natural_gas_consumption,天然气消耗量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
coal_consumption,煤炭消耗量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
water_consumption,水资源消耗量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
water_consumption_intensity,水资源消耗强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
recycled_water_volume,循环水或回用水量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
wastewater_discharge,废水排放量,E,quantitative,number,29791.46,"29,791.46",吨,2024,2024年,废水排放量,,ESG绩效表-环境绩效,page_52.png,"废水排放量 吨 2024年 29,791.46 2023年 38,205.25",extracted,0.93,alias_match:废水排放量; schema_match_validated
cod_emissions,化学需氧量排放量,E,quantitative,number,0.1,0.10,吨,2024,2024年,化学需氧量COD,,ESG绩效表-环境绩效,page_52.png,化学需氧量COD 吨 2024年 0.10 2023年 3.27,extracted,0.93,alias_match:化学需氧量; schema_match_validated
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,number,0,0.00,吨,2024,2024年,氨氮,,ESG绩效表-环境绩效,page_52.png,氨氮 吨 2024年 0.00 2023年 0.00,extracted,0.9,alias_match:氨氮; schema_match_validated
