page_image,table_title,topic,metric_name,unit,year,column_label,value,raw_value,values,evidence_text,reason,confidence
page_51.png,股东回报指标表,,公司现金分红比例,%,2024,2024年,100,100%,"{""2024年"": ""100%""}",公司现金分红比例 % 2024年 100%,no_schema_match,0.0
page_51.png,股东回报指标表,,现金分红总额,元,2024,2024年,157794285,"157,794,285.00","{""2024年"": ""157,794,285.00""}","现金分红总额 元 2024年 157,794,285.00",no_schema_match,0.0
page_51.png,股东回报指标表,,送红股数量（含税）,股,2024,2024年,0股,0股,"{""2024年"": ""0股""}",送红股数量（含税） 股 2024年 0股,no_schema_match,0.0
page_51_right.png,2024年现金分红情况,,公司现金分红比例达,%,2024,2024年,100,100%,"{""2024年"": ""100%""}",公司现金分红比例达 % 2024年 100%,no_schema_match,0.0
page_51_right.png,2024年现金分红情况,,现金分红总额为近五年最高水平,,2024,2024年,最高水平,最高水平,"{""2024年"": ""最高水平""}",现金分红总额为近五年最高水平 2024年 最高水平,no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,本年度营业收入,万元,2024,2024年,20347.1,"20,347.10","{""2024年"": ""20,347.10"", ""2023年"": ""22,983.30""}","本年度营业收入 万元 2024年 20,347.10 2023年 22,983.30",business_performance_not_core_esg,0.0
page_52.png,ESG绩效表-环境绩效,,报告期内用水总量,吨,2024,2024年,7094119.56,"7,094,119.56","{""2024年"": ""7,094,119.56"", ""2023年"": ""7,490,175.83""}","报告期内用水总量 吨 2024年 7,094,119.56 2023年 7,490,175.83",no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,提供用水密度,吨/百万元营收,2024,2024年,378.14,378.14,"{""2024年"": ""378.14"", ""2023年"": ""327.43""}",提供用水密度 吨/百万元营收 2024年 378.14 2023年 327.43,no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,年度循环水总用量,吨,2024,2024年,1962659.5,"1,962,659.50","{""2024年"": ""1,962,659.50"", ""2023年"": ""1,839,806.49""}","年度循环水总用量 吨 2024年 1,962,659.50 2023年 1,839,806.49",no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,本年度循环水使用占比,%,2024,2024年,25.5,25.5,"{""2024年"": ""25.5"", ""2023年"": ""24.8""}",本年度循环水使用占比 % 2024年 25.5 2023年 24.8,no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,不可再生原材料耗量,吨,2024,2024年,104779823.77,"104,779,823.77","{""2024年"": ""104,779,823.77"", ""2023年"": ""10,666,836.31""}","不可再生原材料耗量 吨 2024年 104,779,823.77 2023年 10,666,836.31",no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,综合碳排放流速,吨标煤/百万元营收,2024,2024年,3.48,3.48,"{""2024年"": ""3.48"", ""2023年"": ""3.59""}",综合碳排放流速 吨标煤/百万元营收 2024年 3.48 2023年 3.59,no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,报告期内自发电电力使用比例,%,2024,2024年,7.59,7.59,"{""2024年"": ""7.59"", ""2023年"": ""5.77""}",报告期内自发电电力使用比例 % 2024年 7.59 2023年 5.77,no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,工业用水,吨,2024,2024年,0,0.00,"{""2024年"": ""0.00"", ""2023年"": ""0.00""}",工业用水 吨 2024年 0.00 2023年 0.00,no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,大气污染物排放总量,吨,2024,2024年,206.05,206.05,"{""2024年"": ""206.05"", ""2023年"": ""74.10""}",大气污染物排放总量 吨 2024年 206.05 2023年 74.10,no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,其中：一氧化氮(NO)排放总量,吨,2024,2024年,25.31,25.31,"{""2024年"": ""25.31"", ""2023年"": ""20.83""}",其中：一氧化氮(NO)排放总量 吨 2024年 25.31 2023年 20.83,no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,一般工业固废异类场产生量,吨,2024,2024年,269496.49,"269,496.49","{""2024年"": ""269,496.49"", ""2023年"": ""252,585.62""}","一般工业固废异类场产生量 吨 2024年 269,496.49 2023年 252,585.62",no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,一般工业固废异类场贮存产量,吨/百万元营收,2024,2024年,13.25,13.25,"{""2024年"": ""13.25"", ""2023年"": ""11.05""}",一般工业固废异类场贮存产量 吨/百万元营收 2024年 13.25 2023年 11.05,no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,一般工业固废异类场处置量,吨,2024,2024年,2506.79,"2,506.79","{""2024年"": ""2,506.79"", ""2023年"": ""123,540.41""}","一般工业固废异类场处置量 吨 2024年 2,506.79 2023年 123,540.41",no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,一般工业固废异类场综合利用量,吨,2024,2024年,266991.7,"266,991.70","{""2024年"": ""266,991.70"", ""2023年"": ""129,034.51""}","一般工业固废异类场综合利用量 吨 2024年 266,991.70 2023年 129,034.51",no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,环保投资次数,场次,2024,2024年,392,392,"{""2024年"": ""392"", ""2023年"": ""377""}",环保投资次数 场次 2024年 392 2023年 377,rejected_by_schema_validator:unit_type_mismatch:money; original_reason=heuristic_environmental_investment,0.92
page_52.png,ESG绩效表-环境绩效,,环保项目覆盖人次,人次,2024,2024年,15574,"15,574","{""2024年"": ""15,574"", ""2023年"": ""8,238""}","环保项目覆盖人次 人次 2024年 15,574 2023年 8,238",no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,无废厂区物料循环利用率,吨,2024,2024年,269496.49,"269,496.49","{""2024年"": ""269,496.49"", ""2023年"": ""123,045.21""}","无废厂区物料循环利用率 吨 2024年 269,496.49 2023年 123,045.21",no_schema_match,0.0
page_52.png,ESG绩效表-环境绩效,,无废厂区物料循环利用率,%,2024,2024年,100,100,"{""2024年"": ""100"", ""2023年"": ""51""}",无废厂区物料循环利用率 % 2024年 100 2023年 51,no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,研发投入占主营业务收入比例,%,2024,2024年,2.52,2.52,"{""2024年"": ""2.52"", ""2023年"": ""2.7""}",研发投入占主营业务收入比例 % 2024年 2.52 2023年 2.7,no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,研发员工比例（%）,%,2024,2024年,20.4,20.40%,"{""2024年"": ""20.40%"", ""2023年"": ""20.36%""}",研发员工比例（%） % 2024年 20.40% 2023年 20.36%,no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,年度专利授权数,项,2024,2024年,180,180,"{""2024年"": ""180"", ""2023年"": ""233""}",年度专利授权数 项 2024年 180 2023年 233,rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_authorized_patents_new,0.88
page_52.png,ESG绩效表-社会绩效,,年度授权专利数,项,2024,2024年,101,101,"{""2024年"": ""101"", ""2023年"": ""138""}",年度授权专利数 项 2024年 101 2023年 138,rejected_by_schema_validator:required_keyword_missing; original_reason=heuristic_authorized_patents_new,0.88
page_52.png,ESG绩效表-社会绩效,,累计有效专利数,项,2024,2024年,838,838,"{""2024年"": ""838"", ""2023年"": ""851""}",累计有效专利数 项 2024年 838 2023年 851,no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,其中：应用于主营业务的发明专利数量,项,2024,2024年,938,938,"{""2024年"": ""938"", ""2023年"": ""851""}",其中：应用于主营业务的发明专利数量 项 2024年 938 2023年 851,no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,每百万元营收有效专利数,件,2024,2024年,0.0461,0.0461,"{""2024年"": ""0.0461"", ""2023年"": ""0.0372""}",每百万元营收有效专利数 件 2024年 0.0461 2023年 0.0372,no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,因健康与安全理由而召回的产品占比,%,2024,2024年,0,0.00,"{""2024年"": ""0.00"", ""2023年"": ""0.00""}",因健康与安全理由而召回的产品占比 % 2024年 0.00 2023年 0.00,no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,客户隐私及信息安全,,2024,2024年,0,0.00,"{""2024年"": ""0.00"", ""2023年"": ""/""}",客户隐私及信息安全 2024年 0.00 2023年 /,no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,客户隐私泄露事件数量,件,2024,2024年,0,0,"{""2024年"": ""0"", ""2023年"": ""/""}",客户隐私泄露事件数量 件 2024年 0 2023年 /,no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,客户投诉/举报相关法律诉讼涉及金额（万元人民币）,万元人民币,2024,2024年,12800,"12,800","{""2024年"": ""12,800"", ""2023年"": ""/""}","客户投诉/举报相关法律诉讼涉及金额（万元人民币） 万元人民币 2024年 12,800 2023年 /",no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,男雇员,人,2024,2024年,3896,"3,896","{""2024年"": ""3,896"", ""2023年"": ""4,138""}","男雇员 人 2024年 3,896 2023年 4,138",no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,女雇员,人,2024,2024年,1123,"1,123","{""2024年"": ""1,123"", ""2023年"": ""1,176""}","女雇员 人 2024年 1,123 2023年 1,176",no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,按性别划分的雇员总数,人,2024,2024年,0,0,"{""2024年"": ""0"", ""2023年"": ""/""}",按性别划分的雇员总数 人 2024年 0 2023年 /,no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,管理层人数,人,2024,2024年,1453,"1,453","{""2024年"": ""1,453"", ""2023年"": ""1,594""}","管理层人数 人 2024年 1,453 2023年 1,594",no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,其中：一线员工（其他）,人,2024,2024年,1849,"1,849","{""2024年"": ""1,849"", ""2023年"": ""1,722""}","其中：一线员工（其他） 人 2024年 1,849 2023年 1,722",no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,按年龄划分的雇员总数,人,2024,2024年,2783,"2,783","{""2024年"": ""2,783"", ""2023年"": ""2,931""}","按年龄划分的雇员总数 人 2024年 2,783 2023年 2,931",no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,其中：50岁以上,人,2024,2024年,587,587,"{""2024年"": ""587"", ""2023年"": ""588""}",其中：50岁以上 人 2024年 587 2023年 588,no_schema_match,0.0
page_52.png,ESG绩效表-社会绩效,,新招聘员工数,人,2024,2024年,309,309,"{""2024年"": ""309"", ""2023年"": ""367""}",新招聘员工数 人 2024年 309 2023年 367,no_schema_match,0.0
page_52_left.png,ESG绩效表,,本年度营业收入,百万元,2024,2024年,20347.1,"20,347.10","{""2024年"": ""20,347.10"", ""2023年"": ""22,863.30""}","本年度营业收入 百万元 2024年 20,347.10 2023年 22,863.30",business_performance_not_core_esg,0.0
page_52_left.png,ESG绩效表,,报告期用水总量,吨,2024,2024年,7694119.56,"7,694,119.56","{""2024年"": ""7,694,119.56"", ""2023年"": ""7,486,173.83""}","报告期用水总量 吨 2024年 7,694,119.56 2023年 7,486,173.83",no_schema_match,0.0
page_52_left.png,ESG绩效表,,报告期用水密度,吨/百万元营收,2024,2024年,378.14,378.14,"{""2024年"": ""378.14"", ""2023年"": ""327.43""}",报告期用水密度 吨/百万元营收 2024年 378.14 2023年 327.43,no_schema_match,0.0
page_52_left.png,ESG绩效表,,年度循环水总用量,吨,2024,2024年,1962659.5,"1,962,659.50","{""2024年"": ""1,962,659.50"", ""2023年"": ""1,839,900.49""}","年度循环水总用量 吨 2024年 1,962,659.50 2023年 1,839,900.49",no_schema_match,0.0
page_52_left.png,ESG绩效表,,本年度循环水使用占比,%,2024,2024年,25.5,25.5,"{""2024年"": ""25.5"", ""2023年"": ""24.6""}",本年度循环水使用占比 % 2024年 25.5 2023年 24.6,no_schema_match,0.0
page_52_left.png,ESG绩效表,,不可再生物料消耗量,吨,2024,2024年,104779323.77,"104,779,323.77","{""2024年"": ""104,779,323.77"", ""2023年"": ""110,655,896.31""}","不可再生物料消耗量 吨 2024年 104,779,323.77 2023年 110,655,896.31",no_schema_match,0.0
page_52_left.png,ESG绩效表,,有毒有害物料消耗量,吨,2024,2024年,0,0.00,"{""2024年"": ""0.00"", ""2023年"": ""0.00""}",有毒有害物料消耗量 吨 2024年 0.00 2023年 0.00,no_schema_match,0.0
page_52_left.png,ESG绩效表,,其中：常规电网购电量,兆瓦时,2024,2024年,128748.26,"128,748.26","{""2024年"": ""128,748.26"", ""2023年"": ""165,690.06""}","其中：常规电网购电量 兆瓦时 2024年 128,748.26 2023年 165,690.06",no_schema_match,0.0
page_52_left.png,ESG绩效表,,其中：绿电购买量（含绿证）,兆瓦时,2024,2024年,41626,"41,626.00","{""2024年"": ""41,626.00"", ""2023年"": ""25,760.00""}","其中：绿电购买量（含绿证） 兆瓦时 2024年 41,626.00 2023年 25,760.00",no_schema_match,0.0
page_52_left.png,ESG绩效表,,报告期内自发电电力使用比例,%,2024,2024年,7.59,7.59,"{""2024年"": ""7.59"", ""2023年"": ""5.77""}",报告期内自发电电力使用比例 % 2024年 7.59 2023年 5.77,no_schema_match,0.0
page_52_left.png,ESG绩效表,,废气污染物排放总量,吨,2024,2024年,206.05,206.05,"{""2024年"": ""206.05"", ""2023年"": ""174.10""}",废气污染物排放总量 吨 2024年 206.05 2023年 174.10,no_schema_match,0.0
page_52_left.png,ESG绩效表,,年度危险废弃物产生密度,吨/百万元营收,2024,2024年,0.0004,0.0004,"{""2024年"": ""0.0004"", ""2023年"": ""0.0004""}",年度危险废弃物产生密度 吨/百万元营收 2024年 0.0004 2023年 0.0004,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_hazardous_waste,0.93
page_52_right.png,环境绩效,,一般工业固体废弃物产生量,吨,2024,2024年,269498.49,"269,498.49","{""2024年"": ""269,498.49"", ""2023年"": ""252,585.62""}","一般工业固体废弃物产生量 吨 2024年 269,498.49 2023年 252,585.62",no_schema_match,0.0
page_52_right.png,环境绩效,,一般工业固体废弃物产生密度,吨/百万元营收,2024,2024年,13.25,13.25,"{""2024年"": ""13.25"", ""2023年"": ""11.05""}",一般工业固体废弃物产生密度 吨/百万元营收 2024年 13.25 2023年 11.05,no_schema_match,0.0
page_52_right.png,环境绩效,,一般工业固体废弃物处置量,吨,2024,2024年,2506.79,"2,506.79","{""2024年"": ""2,506.79"", ""2023年"": ""123,540.41""}","一般工业固体废弃物处置量 吨 2024年 2,506.79 2023年 123,540.41",no_schema_match,0.0
page_52_right.png,环境绩效,,一般工业固体废弃物综合利用率,吨,2024,2024年,266991.7,"266,991.70","{""2024年"": ""266,991.70"", ""2023年"": ""129,045.21""}","一般工业固体废弃物综合利用率 吨 2024年 266,991.70 2023年 129,045.21",no_schema_match,0.0
page_52_right.png,环境绩效,,环保培训次数,场次,2024,2024年,392,392,"{""2024年"": ""392"", ""2023年"": ""377""}",环保培训次数 场次 2024年 392 2023年 377,no_schema_match,0.0
