page_image,table_title,topic,metric_name,unit,year,column_label,value,raw_value,values,evidence_text,reason,confidence
page_40.png,关键绩效表,员工关怀,公司工会会员人数,人,2024,2024年,191,191,"{""2024年"": ""191""}",员工关怀 公司工会会员人数 人 2024年 191,no_schema_match,0.0
page_40.png,关键绩效表,员工关怀,开展职工代表大会次数,次,2024,2024年,3,3,"{""2024年"": ""3""}",员工关怀 开展职工代表大会次数 次 2024年 3,no_schema_match,0.0
page_40.png,关键绩效表,员工关怀,审议通过议题数,个,2024,2024年,3,3,"{""2024年"": ""3""}",员工关怀 审议通过议题数 个 2024年 3,no_schema_match,0.0
page_40_right.png,关键绩效表,员工关怀,公司工会会员人数,人,2024,2024年,191,191,"{""2024年"": ""191""}",报告期内，公司工会会员 191 人，开展职工代表大会大会 3 次，审议通过 3 个议题。,no_schema_match,0.0
page_40_right.png,关键绩效表,员工关怀,开展职工代表大会次数,次,2024,2024年,3,3,"{""2024年"": ""3""}",报告期内，公司工会会员 191 人，开展职工代表大会大会 3 次，审议通过 3 个议题。,no_schema_match,0.0
page_40_right.png,关键绩效表,员工关怀,审议通过议题数,个,2024,2024年,3,3,"{""2024年"": ""3""}",报告期内，公司工会会员 191 人，开展职工代表大会大会 3 次，审议通过 3 个议题。,no_schema_match,0.0
page_41.png,2024年培训体系开展情况,新员工培训,组织新员工入职技能培训批次,批,2024,2024年,5,5,"{""2024年"": ""5""}",新员工培训 组织新员工入职技能培训批次 批 2024年 5,no_schema_match,0.0
page_41.png,2024年培训体系开展情况,新员工培训,学习课程覆盖单位数量,个,2024,2024年,20,20,"{""2024年"": ""20""}",新员工培训 学习课程覆盖单位数量 个 2024年 20,no_schema_match,0.0
page_41.png,2024年培训体系开展情况,专项培训课程,组织专业培训场次,场,2024,2024年,61,61,"{""2024年"": ""61""}",专项培训课程 组织专业培训场次 场 2024年 61,no_schema_match,0.0
page_41.png,2024年培训体系开展情况,专项培训课程,覆盖专业类别数量,个,2024,2024年,15,15,"{""2024年"": ""15""}",专项培训课程 覆盖专业类别数量 个 2024年 15,no_schema_match,0.0
page_41.png,2024年培训体系开展情况,专项培训课程,培训总时长,小时,2024,2024年,5002,"5,002","{""2024年"": ""5,002""}","专项培训课程 培训总时长 小时 2024年 5,002",no_schema_match,0.0
page_41.png,2024年培训体系开展情况,专项培训课程,满意度,%,2024,2024年,90,90,"{""2024年"": ""90""}",专项培训课程 满意度 % 2024年 90,no_schema_match,0.0
page_41.png,2024年培训体系开展情况,讲师队伍搭建,内部优秀讲师队伍人数,人,2024,2024年,4,4,"{""2024年"": ""4""}",讲师队伍搭建 内部优秀讲师队伍人数 人 2024年 4,no_schema_match,0.0
page_41.png,2024年培训体系开展情况,讲师队伍搭建,累计认证讲师人数,人,2024,2024年,超过100,超过100,"{""2024年"": ""超过100""}",讲师队伍搭建 累计认证讲师人数 人 2024年 超过100,no_schema_match,0.0
