field_key,field_name_cn,category,indicator_type,value_type,value,raw_value,unit,year,column_label,row_label,topic,table_title,page_image,evidence_text,status,confidence,match_reason
total_ghg_emissions,温室气体排放总量,E,quantitative,number,765.94,765.94,吨二氧化碳当量,2024,2024年,温室气体排放量,,2024温室气体排放,page_78.png,"2024温室气体排放
温室气体排放量 吨二氧化碳当量 2024年 765.94",extracted,0.95,alias_match:温室气体排放量; schema_match_validated
scope_1_emissions,范围一温室气体排放量,E,quantitative,number,138.86,138.86,吨二氧化碳当量,2024,2024年,直接温室气体排放量,,2024温室气体排放,page_78.png,"2024温室气体排放
直接温室气体排放量 吨二氧化碳当量 2024年 138.86",extracted,0.96,heuristic_scope_1; schema_match_validated
scope_2_emissions,范围二温室气体排放量,E,quantitative,number,627.07,627.07,吨二氧化碳当量,2024,2024年,间接温室气体排放量,,2024温室气体排放,page_78.png,"2024温室气体排放
间接温室气体排放量 吨二氧化碳当量 2024年 627.07",extracted,0.96,heuristic_scope_2; schema_match_validated
scope_3_emissions,范围三温室气体排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
ghg_emissions_intensity,温室气体排放强度,E,quantitative,number,0.65,0.65,吨二氧化碳当量/万元营收,2024,2024年,温室气体排放密度,,ESG 绩效数据表,page_74_right.png,温室气体排放密度 吨二氧化碳当量/万元营收 2024年 0.65,extracted,0.96,alias_match:温室气体排放密度; schema_match_validated
energy_consumption_total,能源消耗总量,E,quantitative,number,210.76,210.76,吨标准煤,2024,2024年,能源消耗总量,,2024能源消耗,page_78.png,"2024能源消耗
能源消耗总量 吨标准煤 2024年 210.76",extracted,0.94,alias_match:能源消耗总量; schema_match_validated
energy_consumption_intensity,能源消耗强度,E,quantitative,number,0.18,0.18,吨标准煤/百万元营收,2024,2024年,能源消耗密度,,ESG 绩效数据表,page_74_right.png,能源消耗密度 吨标准煤/百万元营收 2024年 0.18,extracted,0.94,alias_match:能源消耗密度; schema_match_validated
electricity_consumption,电力消耗量,E,quantitative,number,116.86,116.86,万千瓦时,2024,2024年,外购电力,,2024能源消耗,page_78.png,"2024能源消耗
外购电力 万千瓦时 2024年 116.86",extracted,0.92,heuristic_electricity; schema_match_validated
renewable_energy_consumption,可再生能源使用量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
natural_gas_consumption,天然气消耗量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
coal_consumption,煤炭消耗量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
water_consumption,水资源消耗量,E,quantitative,number,6297,"6,297",吨,2024,2024年,总用水量,,水资源管理-环境绩效,page_81_left.png,"总用水量 吨 2024年 6,297",extracted,0.92,heuristic_water; schema_match_validated
water_consumption_intensity,水资源消耗强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
recycled_water_volume,循环水或回用水量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
wastewater_discharge,废水排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
cod_emissions,化学需氧量排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
so2_emissions,二氧化硫排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
nox_emissions,氮氧化物排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
particulate_matter_emissions,颗粒物排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
hazardous_waste,危险废弃物产生或排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
non_hazardous_waste,无害废弃物产生或排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
total_waste,废弃物总量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
waste_recycling_rate,废弃物回收利用率,E,quantitative,percentage,,,,,,,,,,,missing,0.0,not_found
environmental_investment,环保投入金额,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
environmental_violation_cases,环境违规或处罚事件数量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
total_employees,员工总数,S,quantitative,number,1771,"1,771",人,2024,2024年,员工总数,,关键绩效表,page_85.png,"员工总数 人 2023年 1,630 2024年 1,771",extracted,0.93,heuristic_total_employees; schema_match_validated
male_employees,男性员工人数,S,quantitative,number,,,,,,,,,,,missing,0.0,not_found
