page_image,table_title,topic,metric_name,unit,year,column_label,value,raw_value,values,evidence_text,reason,confidence
page_93.png,温室气体排放,,二氧化碳 (CO2),吨二氧化碳当量,2024,2024年,6818.93,"6,818.93","{""2023年"": ""7,854.28"", ""2024年"": ""6,818.93""}","二氧化碳 (CO2) 吨二氧化碳当量 2023年 7,854.28 2024年 6,818.93",no_schema_match,0.0
page_93.png,温室气体排放,,甲烷 (CH4),吨二氧化碳当量,2024,2024年,2164.04,"2,164.04","{""2023年"": ""4,163.45"", ""2024年"": ""2,164.04""}","甲烷 (CH4) 吨二氧化碳当量 2023年 4,163.45 2024年 2,164.04",no_schema_match,0.0
page_93.png,温室气体排放,,一氧化二氮 (N2O),吨二氧化碳当量,2024,2024年,72.76,72.76,"{""2023年"": ""13.61"", ""2024年"": ""72.76""}",一氧化二氮 (N2O) 吨二氧化碳当量 2023年 13.61 2024年 72.76,no_schema_match,0.0
page_93.png,温室气体排放,,氢氟碳化物 (HFC),吨二氧化碳当量,2024,2024年,9150.56,"9,150.56","{""2023年"": ""404.05"", ""2024年"": ""9,150.56""}","氢氟碳化物 (HFC) 吨二氧化碳当量 2023年 404.05 2024年 9,150.56",no_schema_match,0.0
page_93.png,温室气体排放,,全氟化碳 (PFC),吨二氧化碳当量,2024,2024年,170.37,170.37,"{""2023年"": ""136.29"", ""2024年"": ""170.37""}",全氟化碳 (PFC) 吨二氧化碳当量 2023年 136.29 2024年 170.37,no_schema_match,0.0
page_93.png,温室气体排放,,六氟化硫 (SF6),吨二氧化碳当量,2024,2024年,0,0,"{""2023年"": ""0"", ""2024年"": ""0""}",六氟化硫 (SF6) 吨二氧化碳当量 2023年 0 2024年 0,no_schema_match,0.0
page_93.png,温室气体排放,,三氟化氮 (NF3),吨二氧化碳当量,2024,2024年,0,0,"{""2023年"": ""0"", ""2024年"": ""0""}",三氟化氮 (NF3) 吨二氧化碳当量 2023年 0 2024年 0,no_schema_match,0.0
page_93.png,温室气体排放,,范围三温室气体上游排放量,吨二氧化碳当量,2024,2024年,597809.99,"597,809.99","{""2023年"": ""374,066.63"", ""2024年"": ""597,809.99""}","范围三温室气体上游排放量 吨二氧化碳当量 2023年 374,066.63 2024年 597,809.99",rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_scope_3,0.94
page_93.png,温室气体排放,,外购商品和服务,吨二氧化碳当量,2024,2024年,514211.21,"514,211.21","{""2023年"": ""357,845.18"", ""2024年"": ""514,211.21""}","外购商品和服务 吨二氧化碳当量 2023年 357,845.18 2024年 514,211.21",no_schema_match,0.0
page_93.png,温室气体排放,,资本货物,吨二氧化碳当量,2024,2024年,0,0,"{""2023年"": ""0"", ""2024年"": ""0""}",资本货物 吨二氧化碳当量 2023年 0 2024年 0,no_schema_match,0.0
page_93.png,温室气体排放,,燃料和能源相关活动（不包括范畴一或范畴二）,吨二氧化碳当量,2024,2024年,71170.6,"71,170.60","{""2023年"": ""0"", ""2024年"": ""71,170.60""}","燃料和能源相关活动（不包括范畴一或范畴二） 吨二氧化碳当量 2023年 0 2024年 71,170.60",no_schema_match,0.0
page_93.png,温室气体排放,,上游运输和分销,吨二氧化碳当量,2024,2024年,10567.25,"10,567.25","{""2023年"": ""7,630.36"", ""2024年"": ""10,567.25""}","上游运输和分销 吨二氧化碳当量 2023年 7,630.36 2024年 10,567.25",no_schema_match,0.0
page_93.png,温室气体排放,,运营中产生的废弃物,吨二氧化碳当量,2024,2024年,1131.48,"1,131.48","{""2023年"": ""8,404.54"", ""2024年"": ""1,131.48""}","运营中产生的废弃物 吨二氧化碳当量 2023年 8,404.54 2024年 1,131.48",no_schema_match,0.0
page_93.png,温室气体排放,,商务旅行,吨二氧化碳当量,2024,2024年,305.33,305.33,"{""2023年"": ""66.02"", ""2024年"": ""305.33""}",商务旅行 吨二氧化碳当量 2023年 66.02 2024年 305.33,no_schema_match,0.0
page_93.png,温室气体排放,,员工通勤,吨二氧化碳当量,2024,2024年,369.08,369.08,"{""2023年"": ""20.54"", ""2024年"": ""369.08""}",员工通勤 吨二氧化碳当量 2023年 20.54 2024年 369.08,no_schema_match,0.0
