pdf_name,success,route_b_available,target_fields,matched_fields,reason,output_dir
000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告.pdf,True,True,5,5,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告
000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告.pdf,True,True,5,5,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告
002083_孚日股份_2025_孚日股份：社会责任报告.pdf,True,False,5,0,no_text_layer_or_too_little_text,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\003_002083_孚日股份_2025_孚日股份：社会责任报告
002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告.pdf,True,True,5,5,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告
002302_西部建设_2024_西部建设：2024年度环境、社会和公司治理（ESG）报告.pdf,True,True,5,4,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\005_002302_西部建设_2024_西部建设：2024年度环境、社会和公司治理（ESG）报告
002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告.pdf,True,True,5,4,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\006_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告
002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告.pdf,True,True,5,4,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\007_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告
002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告.pdf,True,True,5,5,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告
002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告.pdf,True,True,5,2,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\009_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告
002913_奥士康_2025_奥士康：社会责任报告.pdf,True,True,5,5,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\010_002913_奥士康_2025_奥士康：社会责任报告
002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告.pdf,True,True,5,5,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\011_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告
600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告.pdf,True,True,5,3,,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\012_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告
