field_key,field_name_cn,category,indicator_type,value_type,value,raw_value,unit,year,column_label,row_label,topic,table_title,page_image,evidence_text,status,confidence,match_reason
total_ghg_emissions,温室气体排放总量,E,quantitative,number,56.64,56.64,万吨二氧化碳当量,2024,2024年,温室气体排放总量,应对气候变化,附表2 ESG 数据表－环境维度,page_50.png,应对气候变化 温室气体排放总量 万吨二氧化碳当量 2022年 49.76 2023年 46.04 2024年 56.64,extracted,0.94,heuristic_total_ghg; schema_match_validated
scope_1_emissions,范围一温室气体排放量,E,quantitative,number,38.76,38.76,万吨二氧化碳当量,2024,2024年,范围1温室气体排放量,,附表2 ESG 数据表－环境维度,page_50.png,范围1温室气体排放量 万吨二氧化碳当量 2022年 38.11 2023年 40.06 2024年 38.76,extracted,0.96,heuristic_scope_1; schema_match_validated
scope_2_emissions,范围二温室气体排放量,E,quantitative,number,5.3,5.30,万吨二氧化碳当量,2024,2024年,范围2温室气体排放量,,附表2 ESG 数据表－环境维度,page_50.png,范围2温室气体排放量 万吨二氧化碳当量 2022年 10.30 2023年 5.18 2024年 5.30,extracted,0.96,heuristic_scope_2; schema_match_validated
scope_3_emissions,范围三温室气体排放量,E,quantitative,number,12.08,12.08,万吨二氧化碳当量,2024,2024年,范围3温室气体排放量,,附表2 ESG 数据表－环境维度,page_50.png,范围3温室气体排放量 万吨二氧化碳当量 2022年 1.35 2023年 0.78 2024年 12.08,extracted,0.94,heuristic_scope_3; schema_match_validated
ghg_emissions_intensity,温室气体排放强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
energy_consumption_total,能源消耗总量,E,quantitative,number,23.52,23.52,万吨标准煤,2024,2024年,汽油¹,综合能源消耗量,能源利用,page_51.png,综合能源消耗量 汽油¹ 万吨标准煤 2022年 21.63 2023年 23.02 2024年 23.52,extracted,0.95,alias_match:综合能源消耗量; schema_match_validated
energy_consumption_intensity,能源消耗强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
electricity_consumption,电力消耗量,E,quantitative,number,2.25,2.25,亿千瓦时,2024,2024年,电力,按能源类型分,能源利用,page_51.png,按能源类型分 电力 亿千瓦时 2022年 1.98 2023年 2.38 2024年 2.25,extracted,0.9,alias_match:电力; schema_match_validated
renewable_energy_consumption,可再生能源使用量,E,quantitative,number,5653,"5,653",兆瓦时,2024,2024年,清洁能源使用总量（沼气）,,能源利用,page_51_right.png,"清洁能源使用总量（沼气） 兆瓦时 2022年 6,700 2023年 7,240 2024年 5,653",extracted,0.95,llm_match:清洁能源使用总量（沼气）属于可再生能源使用量，沼气是典型可再生能源，单位兆瓦时在aliases和unit_examples中均匹配。; schema_match_validated
natural_gas_consumption,天然气消耗量,E,quantitative,number,1.69,1.69,亿立方米,2024,2024年,天然气,按能源类型分,能源利用,page_51.png,按能源类型分 天然气 亿立方米 2022年 1.58 2023年 1.65 2024年 1.69,extracted,0.95,llm_match:指标名称为'天然气'，属于能源类型细分，与field_key 'natural_gas_consumption'的aliases'天然气消耗量、天然气使用量、天然气用量'完全一致；单位'亿立方米'属于合理数量级变体（Core Schema中unit_examples含'立方米、万立方米'，'亿立方米'为同维度扩展）；表格主题'能源利用'进一步支持其归类为环境类能源消耗指标。; schema_match_validated
coal_consumption,煤炭消耗量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
water_consumption,水资源消耗量,E,quantitative,number,1206,"1,206",万吨,2024,2024年,总用水量,,水资源利用,page_51_right.png,"总用水量 万吨 2022年 1,049 2023年 1,096 2024年 1,206",extracted,0.92,heuristic_water; schema_match_validated
water_consumption_intensity,水资源消耗强度,E,quantitative,number,1.35,1.35,万吨/亿元,2024,2024年,水资源使用强度（以单位营收计算）,,水资源利用,page_51_right.png,水资源使用强度（以单位营收计算） 万吨/亿元 2022年 1.42 2023年 1.32 2024年 1.35,extracted,0.95,alias_match:水资源使用强度; schema_match_validated
recycled_water_volume,循环水或回用水量,E,quantitative,number,145,145,万吨,2024,2024年,万吨,循环用水总量,水资源利用,page_51.png,循环用水总量 万吨 万吨 2022年 131 2023年 137 2024年 145,extracted,0.95,llm_match:循环用水总量与 field_key 'recycled_water_volume' 的中文名 '循环水或回用水量' 及别名 '循环水使用量、循环用水量、循环水量、回用水量、中水回用量、再生水使用量' 高度一致，单位 '万吨' 符合其 unit_examples。; schema_match_validated
wastewater_discharge,废水排放量,E,quantitative,number,374.4,374.4,万吨,2024,2024年,废水排放总量,水污染物,污染物排放,page_51.png,水污染物 废水排放总量 万吨 2022年 425.04 2023年 440.37 2024年 374.4,extracted,0.95,llm_match:指标名称'废水排放总量'与field_key 'wastewater_discharge'的中文名'废水排放量'及别名'污水排放量'语义一致，属于环境类污染物排放指标，单位'万吨'符合unit_examples。; schema_match_validated
cod_emissions,化学需氧量排放量,E,quantitative,number,80.43,80.43,吨,2024,2024年,化学需氧量（COD）,水污染物,污染物排放,page_51.png,水污染物 化学需氧量（COD） 吨 2022年 84 2023年 105.37 2024年 80.43,extracted,0.93,alias_match:化学需氧量; schema_match_validated
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,number,2.92,2.92,吨,2024,2024年,氨氮,水污染物,污染物排放,page_51.png,水污染物 氨氮 吨 2022年 1.5 2023年 1.77 2024年 2.92,extracted,0.9,alias_match:氨氮; schema_match_validated
so2_emissions,二氧化硫排放量,E,quantitative,number,2.2,2.2,吨,2024,2024年,二氧化硫（SO₂）,大气污染物,污染物排放,page_51.png,大气污染物 二氧化硫（SO₂） 吨 2022年 1.85 2023年 2.69 2024年 2.2,extracted,0.91,alias_match:氧化硫; schema_match_validated
nox_emissions,氮氧化物排放量,E,quantitative,number,93,93,吨,2024,2024年,氮氧化物（NOx）,大气污染物,污染物排放,page_51.png,大气污染物 氮氧化物（NOx） 吨 2022年 879 2023年 92 2024年 93,extracted,0.92,alias_match:氮氧化物; schema_match_validated
particulate_matter_emissions,颗粒物排放量,E,quantitative,number,0.4,0.4,吨,2024,2024年,颗粒物（PM）,大气污染物,污染物排放,page_51.png,大气污染物 颗粒物（PM） 吨 2022年 15.67 2023年 0.49 2024年 0.4,extracted,0.91,alias_match:颗粒物; schema_match_validated
hazardous_waste,危险废弃物产生或排放量,E,quantitative,number,44.18,44.18,吨,2024,2024年,有害废弃物,按废物类型分类,废弃物处理,page_51.png,按废物类型分类 有害废弃物 吨 吨 2022年 39.00 2023年 38.17 2024年 44.18,extracted,0.93,heuristic_hazardous_waste; schema_match_validated
non_hazardous_waste,无害废弃物产生或排放量,E,quantitative,number,830869.7,"830,869.70",吨,2024,2024年,无害废弃物,,废弃物处理,page_51_left.png,"废弃物处理 按废弃物类型分类 无害废弃物 吨 2022年 758,551.17 2023年 845,202.67 2024年 830,869.70",extracted,0.93,heuristic_non_hazardous_waste; schema_match_validated
total_waste,废弃物总量,E,quantitative,number,830913.88,"830,913.88",吨,2024,2024年,废弃物产生总量,,废弃物处理,page_51_left.png,"废弃物处理 废弃物产生总量 吨 2022年 758,590.17 2023年 845,240.84 2024年 830,913.88",extracted,0.95,alias_match:废弃物产生总量; schema_match_validated
waste_recycling_rate,废弃物回收利用率,E,quantitative,percentage,,,,,,,,,,,missing,0.0,not_found
