page_image,table_title,topic,metric_name,unit,year,column_label,value,raw_value,values,evidence_text,reason,confidence
page_44.png,公司治理-股东大会、董事会、监事会召开情况,股东大会,召开年度股东大会次数,次,2024,2024年,1,1,"{""2024年"": ""1""}",召开年度股东大会 1 次，审议并通过议案 15 项。,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=llm_match:指标名称'召开年度股东大会次数'与field_key 'shareholder_meetings'的aliases中'股东大会召开次数'、'股东大会会议次数'等高度一致，单位'次'匹配，且属于公司治理（G）类核心ESG指标。,0.95
page_44.png,公司治理-股东大会、董事会、监事会召开情况,董事会,召开临时股东大会次数,次,2024,2024年,1,1,"{""2024年"": ""1""}",召开临时股东大会 1 次，审议并通过议案 3 项。,llm_no_match:‘召开临时股东大会次数’不属于 Core ESG Schema 中的任何 field_key；Core Schema 中仅包含‘股东大会会议次数’（field_key: shareholder_meetings），其定义为常规/年度股东大会，不涵盖‘临时’股东大会，且无别名或语义覆盖‘临时’属性，故不匹配。,0.3
page_44.png,公司治理-股东大会、董事会、监事会召开情况,董事会,召开董事会次数,次,2024,2024年,18,18,"{""2024年"": ""18""}",召开董事会 18 次，审议议案 44 项；涉及利润分配、重大工程项目等事项。,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=llm_match:指标名称'召开董事会次数'与field_key 'board_meetings'的aliases完全匹配，category为G，value_type为number，unit'次'符合unit_examples。,0.95
page_44.png,公司治理-股东大会、董事会、监事会召开情况,监事会,召开监事会次数,次,2024,2024年,4,4,"{""2024年"": ""4""}",召开监事会 4 次，审议、听取议案 16 项。,llm_no_match:监事会会议次数属于公司治理常规运作指标，但 Core ESG Schema 中未定义对应 field_key（如 board_meetings 仅覆盖董事会，shareholder_meetings 仅覆盖股东大会，无监事会相关字段）。,0.3
page_44.png,公司治理-股东大会、董事会、监事会召开情况,董事会,召开董事会专门委员会次数,次,2024,2024年,19,19,"{""2024年"": ""19""}",召开董事会专门委员会 19 次，审议、听取议案 27 项。,llm_no_match:召开董事会专门委员会次数不属于 Core ESG Schema 中定义的任何 field_key；Core Schema 中仅包含董事会会议次数（board_meetings），不涵盖专门委员会层面的会议次数。,0.3
page_44_right.png,2024年公司治理相关会议情况,股东大会,审议并通过议案数量,项,2024,2024年,15,15,"{""2024年"": ""15""}",股东大会 审议并通过议案数量 项 2024年 15,llm_no_match:审议并通过议案数量属于公司治理过程性活动的量化描述，Core ESG Schema 中无对应 field_key；董事会/股东大会相关字段仅涵盖会议次数（board_meetings、shareholder_meetings），不包含议案数量。,0.25
page_44_right.png,2024年公司治理相关会议情况,股东大会,审议并通过议案数量,项,2024,2024年,3,3,"{""2024年"": ""3""}",股东大会 审议并通过议案数量 项 2024年 3,llm_no_match:该指标属于公司治理过程性活动的量化描述（审议议案数量），Core ESG Schema 中无对应 field_key；董事会/股东大会相关字段仅涵盖会议次数（board_meetings、shareholder_meetings），不包含议案数量。,0.25
page_44_right.png,2024年公司治理相关会议情况,董事会,审议议案数量,项,2024,2024年,44,44,"{""2024年"": ""44""}",董事会 审议议案数量 项 2024年 44,llm_no_match:审议议案数量属于公司治理过程性活动指标，Core ESG Schema 中无对应 field_key；董事会相关字段仅涵盖董事会人数、独立董事情况、会议次数等结构性或合规性指标，不包括议案数量。,0.25
page_44_right.png,2024年公司治理相关会议情况,董事会,涉及利润分配、重大工程项目等事项数量,项,2024,2024年,,不适用,"{""2024年"": ""不适用""}",董事会 涉及利润分配、重大工程项目等事项数量 项 2024年 不适用,llm_no_match:该指标描述的是董事会审议的具体事项类型数量（如利润分配、重大工程项目），属于公司治理过程性或议题分类统计，Core ESG Schema 中无对应 field_key；董事会相关字段仅涵盖人数、比例、会议次数、反腐败培训及举报等治理行为指标，不包括所审议事项的内容类别计数。,0.25
page_44_right.png,2024年公司治理相关会议情况,监事会,召开监事会次数,次,2024,2024年,4,4,"{""2024年"": ""4""}",监事会 召开监事会次数 次 2024年 4,llm_no_match:监事会会议次数属于公司治理活动细节，Core ESG Schema 中无对应 field_key；Schema 中仅包含董事会、股东大会、反腐败培训等相关字段，未涵盖监事会相关指标。,0.3
page_44_right.png,2024年公司治理相关会议情况,监事会,审议、听取议案数量,项,2024,2024年,16,16,"{""2024年"": ""16""}",监事会 审议、听取议案数量 项 2024年 16,llm_no_match:审议、听取议案数量属于监事会履职过程性指标，反映公司治理程序执行情况，但 Core ESG Schema 中无对应 field_key；董事会/股东大会相关会议次数有匹配项（board_meetings、shareholder_meetings），但‘审议、听取议案数量’并非会议次数，且未在任何 field_key 的 aliases 中出现，不属于标准化 ESG 指标。,0.2
page_44_right.png,2024年公司治理相关会议情况,董事会各专门委员会,召开董事会各专门委员会次数,次,2024,2024年,19,19,"{""2024年"": ""19""}",董事会各专门委员会 召开董事会各专门委员会次数 次 2024年 19,llm_no_match:该指标描述董事会各专门委员会召开次数，属于公司治理过程性活动，但 Core ESG Schema 中无对应 field_key；board_meetings 仅指董事会会议次数，不包含其下设专门委员会（如审计、提名、薪酬等委员会）的会议次数，因此不匹配。,0.25
page_44_right.png,2024年公司治理相关会议情况,董事会各专门委员会,审议、听取议案数量,项,2024,2024年,27,27,"{""2024年"": ""27""}",董事会各专门委员会 审议、听取议案数量 项 2024年 27,llm_no_match:审议、听取议案数量属于公司治理过程性活动统计，Core ESG Schema 中无对应 field_key；董事会专门委员会相关操作指标未在 schema 中定义，不属于已列示的 governance 指标（如 board_meetings、board_size 等）。,0.2
page_48.png,反商业贿赂及反贪污风险管理策略,,商业道德风险,,2024,2024年,中长期,中长期,"{""2024年"": ""中长期""}",商业道德风险 中长期 合规成本增加 公布《反贿赂反腐败政策》，涵盖员工及商业合作伙伴；推行廉洁教育，提高全员廉洁意识。,llm_no_match:商业道德风险是定性描述性内容，非可量化ESG指标；Core ESG Schema中无对应field_key，且未在aliases中出现相关表述。,0.3
page_48.png,反商业贿赂及反贪污风险管理策略,,关键岗位风险,,2024,2024年,中长期,中长期,"{""2024年"": ""中长期""}",关键岗位风险 中长期 合规成本增加 加强廉洁教育；实行轮岗机制、强化供应商准入审核与定期评估机制，推行分级审批与定能核查制度。,llm_no_match:关键岗位风险属于定性风险管理描述，非量化ESG指标；Core ESG Schema中无对应field_key，且不匹配任何环境、社会或治理类标准化量化字段。,0.3
page_48.png,反商业贿赂及反贪污风险管理策略,,业务流程风险,,2024,2024年,中长期,中长期,"{""2024年"": ""中长期""}",业务流程风险 中长期 合规成本增加 建立考核、监督内控机制；加强教育培训和廉洁文化建设。,llm_no_match:业务流程风险属于定性风险管理描述，非可量化ESG指标，Core ESG Schema中无对应field_key；且其值为'中长期'，非数值型，不符合任何field_key的value_type要求。,0.25
page_48.png,反商业贿赂及反贪污风险管理策略,,制度机制风险,,2024,2024年,中长期,中长期,"{""2024年"": ""中长期""}",制度机制风险 中长期 成本增加、诉讼费用增加 完善反商业贿赂与反贪污制度和管理机制；完善举报渠道，加强科技手段保护措施。,llm_no_match:制度机制风险属于定性风险管理描述，非量化ESG指标，Core ESG Schema中无对应field_key；其内容涉及治理机制但未指向具体可计量的治理指标（如反腐败培训次数、举报案件数等），且值为'中长期'，非数值或百分比，不符合任何field_key的value_type要求。,0.2
page_48.png,反商业贿赂及反贪污风险管理策略,,重点领域/项目决策风险,,2024,2024年,中长期,中长期,"{""2024年"": ""中长期""}",重点领域/项目决策风险 中长期 项目成本上升 加强“三重一大”事项监督，完善集体决策机制。,llm_no_match:重点领域/项目决策风险属于风险管理定性描述，非量化ESG指标，Core ESG Schema中无对应field_key；且其值为'中长期'（定性等级），不符合任何field_key的value_type（number或percentage）要求。,0.2
page_48_right.png,反商业贿赂及反贪污风险及管理策略,,商业道德风险,,2024,2024年,,,"{""2024年"": null}",商业道德风险 中长期 合规成本增加 公布《反贿赂反腐败政策》，涵盖员工及商业合作伙伴；推行廉洁教育，提高全员廉洁意识。,llm_no_match:商业道德风险是定性描述性风险主题，非可量化ESG指标；Core ESG Schema中无对应field_key，且未提供具体数值、单位或可测量的绩效数据。,0.3
page_48_right.png,反商业贿赂及反贪污风险及管理策略,,关键岗位风险,,2024,2024年,,,"{""2024年"": null}",关键岗位风险 中长期 合规成本增加 加强廉洁教育；实行轮岗机制。强化供应商准入审核与定期评估机制，推行分级审批与定期核查制度。,llm_no_match:关键岗位风险是定性管理描述，属于风险识别或内控议题的文本性说明，非可量化ESG指标；Core ESG Schema中无对应field_key，且不满足任何环境、社会或治理类标准指标的定义和计量要求。,0.3
page_48_right.png,反商业贿赂及反贪污风险及管理策略,,业务流程风险,,2024,2024年,,,"{""2024年"": null}",业务流程风险 中长期 合规成本增加 建立考核、监督检查机制，加强教育培训和廉洁文化建设。,llm_no_match:业务流程风险属于定性管理描述或内部控制议题，Core ESG Schema 中无对应 field_key；其表述为风险类型而非可量化ESG指标，且 evidence_text 和 table_title 均指向反腐败管理策略，但未指向任何标准化 G 类指标（如 confirmed_corruption_cases、whistleblowing_cases 等具体可计量事件），故不匹配。,0.2
page_48_right.png,反商业贿赂及反贪污风险及管理策略,,制度机制风险,,2024,2024年,,,"{""2024年"": null}",制度机制风险 中长期 成本增加、诉讼费用增加 完善反商业贿赂与反贪污制度和管理机制，完善举报渠道，加强举报人保护措施。,llm_no_match:制度机制风险属于定性风险管理描述，非可量化ESG指标，Core ESG Schema中无对应field_key。,0.2
page_48_right.png,反商业贿赂及反贪污风险及管理策略,,重点领域 / 项目决策风险,,2024,2024年,,,"{""2024年"": null}",重点领域 / 项目决策风险 中长期 项目成本上升、 加强“三重一大”事项监督，完善集体决策机制。,llm_no_match:该指标描述的是项目决策风险及管理策略，属于定性风险管理内容，非量化ESG绩效指标；Core ESG Schema中无对应字段（如governance类字段均聚焦于董事会、反腐败培训、举报、腐败事件等可量化事项），且'重点领域/项目决策风险'未在任何field_key的aliases中出现。,0.2
page_49.png,指标与目标,,反腐败政策和程序传达给董事会成员的比率,%,2024,2024年,100,100%,"{""2024年"": ""100%"", ""报告期内进展"": ""✅ 达成""}",反腐败政策和程序传达给董事会成员的比率 2024年目标 100% 报告期内进展 ✅ 达成,llm_no_match:该指标描述的是反腐败政策传达覆盖率，Core ESG Schema 中无对应 field_key；虽有反腐败相关字段（如 anti_corruption_training_sessions、anti_corruption_training_participants 等），但均聚焦于培训活动本身，而非政策传达比率。该指标属于治理实践执行细节，未在标准 schema 中定义。,0.3
page_49.png,指标与目标,,反腐败政策和程序传达给员工的比率,%,2024,2024年,100,100%,"{""2024年"": ""100%"", ""报告期内进展"": ""✅ 达成""}",反腐败政策和程序传达给员工的比率 2024年目标 100% 报告期内进展 ✅ 达成,llm_no_match:‘反腐败政策和程序传达给员工的比率’在 Core ESG Schema 中无对应 field_key；Schema 中仅包含反腐败培训相关指标（如培训次数、参与人次、时长）及腐败事件、举报案件等，但不涵盖政策传达覆盖率。该指标属于治理实践过程性指标，未被标准化纳入当前 Core Schema。,0.3
page_49.png,指标与目标,,反腐败政策和程序传达给供应商的比率,%,2024,2024年,100,100%,"{""2024年"": ""100%"", ""报告期内进展"": ""✅ 达成""}",反腐败政策和程序传达给供应商的比率 2024年目标 100% 报告期内进展 ✅ 达成,llm_no_match:该指标描述的是反腐败政策向供应商的传达比率，Core ESG Schema 中无对应 field_key；虽有反腐败相关字段（如 anti_corruption_training_sessions、whistleblowing_cases 等），但均不涉及‘政策传达给供应商的比率’，且该指标属于治理实践覆盖度的衍生指标，未在 Schema 的 aliases 或语义范围内。,0.3
page_49_right.png,治理绩效-反腐败政策传达比率,,反腐败政策和程序传达给董事会成员的比率,,2024,2024年,100,100%,"{""2024年"": ""100%""}",反腐败政策和程序传达给董事会成员的比率 100% ✅达成,llm_no_match:该指标描述的是反腐败政策传达的覆盖率，Core ESG Schema 中无对应 field_key；虽有反腐败相关字段（如 anti_corruption_training_sessions、anti_corruption_training_participants 等），但均聚焦于培训活动本身，而非政策传达比率。该指标属于治理过程有效性评估，未在 Schema 中定义。,0.3
page_49_right.png,治理绩效-反腐败政策传达比率,,反腐败政策和程序传达给员工的比率,,2024,2024年,100,100%,"{""2024年"": ""100%""}",反腐败政策和程序传达给员工的比率 100% ✅达成,llm_no_match:反腐败政策和程序传达给员工的比率在 Core ESG Schema 中无对应 field_key；Schema 中存在反腐败培训相关指标（如培训次数、参与人数、时长），但无政策传达覆盖率类指标。该指标不属于现有 G 类字段定义范围。,0.3
page_49_right.png,治理绩效-反腐败政策传达比率,,反腐败政策和程序传达给供应商的比率,,2024,2024年,100,100%,"{""2024年"": ""100%""}",反腐败政策和程序传达给供应商的比率 100% ✅达成,llm_no_match:反腐败政策和程序传达给供应商的比率在 Core ESG Schema 中无对应 field_key；Schema 中仅包含反腐败培训、举报、腐败事件等治理类指标，不涵盖政策传达覆盖率。,0.3
page_50.png,附表1 ESG 数据表－经济维度,,资产总额,亿元,2024,2024年,1882.52,"1,882.52","{""2022年"": ""1,528.12"", ""2023年"": ""1,654.33"", ""2024年"": ""1,882.52""}","资产总额 亿元 1,528.12 1,654.33 1,882.52",business_performance_not_core_esg,0.0
page_50.png,附表1 ESG 数据表－经济维度,,营业收入,亿元,2024,2024年,891.75,891.75,"{""2022年"": ""739.69"", ""2023年"": ""832.72"", ""2024年"": ""891.75""}",营业收入 亿元 739.69 832.72 891.75,business_performance_not_core_esg,0.0
