page_image,table_title,topic,metric_name,unit,year,column_label,value,raw_value,values,evidence_text,reason,confidence
page_51.png,股东回报指标表,,公司现金分红比例,%,2024,2024年,100,100%,"{""2024年"": ""100%""}",公司现金分红比例 % 2024年 100%,llm_no_match:该指标属于股东回报类经营绩效指标，Core ESG Schema 中无对应字段（如分红、股息、现金分红比例等均未纳入），不属于环境、社会或治理基础披露项。,0.25
page_51.png,股东回报指标表,,现金分红总额,元,2024,2024年,157794285,"157,794,285.00","{""2024年"": ""157,794,285.00""}","现金分红总额 元 2024年 157,794,285.00",llm_no_match:现金分红总额属于股东回报类财务指标，反映公司利润分配行为，不属于 Core ESG Schema 中的环境（E）、社会（S）或治理（G）标准字段。,0.25
page_51.png,股东回报指标表,,送红股数量（含税）,股,2024,2024年,0股,0股,"{""2024年"": ""0股""}",送红股数量（含税） 股 2024年 0股,llm_no_match:送红股数量（含税）属于股权分配、股东回报类财务/公司治理操作指标，与环境（E）、社会（S）或治理（G）核心ESG议题无直接关联；Core ESG Schema中无任何字段覆盖分红、送股等资本运作行为。,0.15
page_51_right.png,2024年现金分红情况,,公司现金分红比例达,%,2024,2024年,100,100%,"{""2024年"": ""100%""}",公司现金分红比例达 % 2024年 100%,llm_no_match:该指标属于经营绩效或公司治理分红政策相关指标，Core ESG Schema 中无对应 field_key；现金分红比例不属于环境（E）、社会（S）或治理（G）类标准ESG指标（G类字段聚焦董事会结构、反腐败、举报机制等，不涵盖分红政策）。,0.25
page_51_right.png,2024年现金分红情况,,现金分红总额为近五年最高水平,,2024,2024年,最高水平,最高水平,"{""2024年"": ""最高水平""}",现金分红总额为近五年最高水平 2024年 最高水平,llm_no_match:该指标描述现金分红水平，属于公司财务分配或股东回报类经营绩效指标，Core ESG Schema 中无对应字段。,0.25
page_52.png,ESG绩效表-环境绩效,,本年度营业收入,万元,2024,2024年,20347.1,"20,347.10","{""2024年"": ""20,347.10"", ""2023年"": ""22,983.30""}","本年度营业收入 万元 2024年 20,347.10 2023年 22,983.30",business_performance_not_core_esg,0.0
page_52.png,ESG绩效表-环境绩效,,报告期内用水总量,吨,2024,2024年,7094119.56,"7,094,119.56","{""2024年"": ""7,094,119.56"", ""2023年"": ""7,490,175.83""}","报告期内用水总量 吨 2024年 7,094,119.56 2023年 7,490,175.83",rejected_by_schema_validator:required_keyword_missing; original_reason=llm_match:‘报告期内用水总量’与 aliases 中的‘用水量’、‘耗水量’、‘新鲜水用量’等语义一致，且单位‘吨’属于 water_consumption 的 unit_examples，表格标题为‘ESG绩效表-环境绩效’，符合 category: E。,0.95
page_52.png,ESG绩效表-环境绩效,,提供用水密度,吨/百万元营收,2024,2024年,378.14,378.14,"{""2024年"": ""378.14"", ""2023年"": ""327.43""}",提供用水密度 吨/百万元营收 2024年 378.14 2023年 327.43,rejected_by_schema_validator:required_keyword_missing; original_reason=llm_match:‘提供用水密度’语义与‘水资源消耗强度’一致，别名中明确包含‘用水强度’‘单位收入耗水’等，且单位‘吨/百万元营收’符合强度类指标特征（单位/营收），与water_consumption_intensity的unit_examples（如吨/万元）逻辑一致，仅量纲换算差异（百万元=100万元），属同一指标。,0.95
page_52.png,ESG绩效表-环境绩效,,本年度循环水使用占比,%,2024,2024年,25.5,25.5,"{""2024年"": ""25.5"", ""2023年"": ""24.8""}",本年度循环水使用占比 % 2024年 25.5 2023年 24.8,llm_no_match:‘本年度循环水使用占比’是循环水占总用水量的比例，Core ESG Schema 中无对应百分比类强度指标；closest field ‘recycled_water_volume’ 表示绝对量（吨/立方米），非占比；且无 aliases 或 unit_examples 匹配‘%’占比形式，故不匹配。,0.3
page_52.png,ESG绩效表-环境绩效,,不可再生原材料耗量,吨,2024,2024年,104779823.77,"104,779,823.77","{""2024年"": ""104,779,823.77"", ""2023年"": ""10,666,836.31""}","不可再生原材料耗量 吨 2024年 104,779,823.77 2023年 10,666,836.31",llm_no_match:不可再生原材料耗量在 Core ESG Schema 中无对应 field_key；未出现在任何 aliases 中，且不属于已定义的能源、水、废弃物、排放等环境类标准指标。,0.3
