field_key,field_name_cn,category,indicator_type,value_type,value,raw_value,unit,year,column_label,row_label,topic,table_title,page_image,evidence_text,status,confidence,match_reason
total_ghg_emissions,温室气体排放总量,E,quantitative,number,304.05,304.05,吨二氧化碳当量,2024,2024年,温室气体排放量,,环境绩效,page_51.png,温室气体排放量 吨二氧化碳当量 2024年 304.05,extracted,0.95,alias_match:温室气体排放量; schema_match_validated
scope_1_emissions,范围一温室气体排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
scope_2_emissions,范围二温室气体排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
scope_3_emissions,范围三温室气体排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
ghg_emissions_intensity,温室气体排放强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
energy_consumption_total,能源消耗总量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
energy_consumption_intensity,能源消耗强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
electricity_consumption,电力消耗量,E,quantitative,number,566618,"566,618",千瓦时,2024,2024年,外购电力总量,,环境绩效,page_51.png,"外购电力总量 千瓦时 2024年 566,618",extracted,0.92,heuristic_electricity; schema_match_validated
renewable_energy_consumption,可再生能源使用量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
natural_gas_consumption,天然气消耗量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
coal_consumption,煤炭消耗量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
water_consumption,水资源消耗量,E,quantitative,number,1658,"1,658",吨,2024,2024年,总用水量,,环境绩效,page_51.png,"总用水量 吨 2024年 1,658",extracted,0.92,heuristic_water; schema_match_validated
water_consumption_intensity,水资源消耗强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
recycled_water_volume,循环水或回用水量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
wastewater_discharge,废水排放量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
