field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,温室气体排放总量,E,quantitative,number,extracted,765.94,765.94,吨二氧化碳当量,2024,route_a_appendix_table,0.95,"2024温室气体排放
温室气体排放量 吨二氧化碳当量 2024年 765.94",page_78.png,温室气体排放量,,2024温室气体排放,page_78.png,extracted,0.95,alias_match:温室气体排放量; schema_match_validated,,,,,,
scope_1_emissions,范围一温室气体排放量,E,quantitative,number,extracted,138.86,138.86,吨二氧化碳当量,2024,route_a_appendix_table,0.96,"2024温室气体排放
直接温室气体排放量 吨二氧化碳当量 2024年 138.86",page_78.png,直接温室气体排放量,,2024温室气体排放,page_78.png,extracted,0.96,heuristic_scope_1; schema_match_validated,,,,,,
scope_2_emissions,范围二温室气体排放量,E,quantitative,number,extracted,627.07,627.07,吨二氧化碳当量,2024,route_a_appendix_table,0.96,"2024温室气体排放
间接温室气体排放量 吨二氧化碳当量 2024年 627.07",page_78.png,间接温室气体排放量,,2024温室气体排放,page_78.png,extracted,0.96,heuristic_scope_2; schema_match_validated,,,,,,
scope_3_emissions,范围三温室气体排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
ghg_emissions_intensity,温室气体排放强度,E,quantitative,number,extracted,0.65,0.65,吨二氧化碳当量/万元营收,2024,route_a_appendix_table,0.96,温室气体排放密度 吨二氧化碳当量/万元营收 2024年 0.65,page_74_right.png,温室气体排放密度,,ESG 绩效数据表,page_74_right.png,extracted,0.96,alias_match:温室气体排放密度; schema_match_validated,,,,,,
energy_consumption_total,能源消耗总量,E,quantitative,number,extracted,210.76,210.76,吨标准煤,2024,route_a_appendix_table,0.94,"2024能源消耗
能源消耗总量 吨标准煤 2024年 210.76",page_78.png,能源消耗总量,,2024能源消耗,page_78.png,extracted,0.94,alias_match:能源消耗总量; schema_match_validated,,,,,,
energy_consumption_intensity,能源消耗强度,E,quantitative,number,extracted,0.18,0.18,吨标准煤/百万元营收,2024,route_a_appendix_table,0.94,能源消耗密度 吨标准煤/百万元营收 2024年 0.18,page_74_right.png,能源消耗密度,,ESG 绩效数据表,page_74_right.png,extracted,0.94,alias_match:能源消耗密度; schema_match_validated,,,,,,
electricity_consumption,电力消耗量,E,quantitative,number,extracted,116.86,116.86,万千瓦时,2024,route_a_appendix_table,0.92,"2024能源消耗
外购电力 万千瓦时 2024年 116.86",page_78.png,外购电力,,2024能源消耗,page_78.png,extracted,0.92,heuristic_electricity; schema_match_validated,,,,,,
renewable_energy_consumption,可再生能源使用量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
natural_gas_consumption,天然气消耗量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
coal_consumption,煤炭消耗量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
water_consumption,水资源消耗量,E,quantitative,number,extracted,6297,"6,297",吨,2024,route_a_appendix_table,0.92,"总用水量 吨 2024年 6,297",page_81_left.png,总用水量,,水资源管理-环境绩效,page_81_left.png,extracted,0.92,heuristic_water; schema_match_validated,,,,,,
water_consumption_intensity,水资源消耗强度,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
recycled_water_volume,循环水或回用水量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
wastewater_discharge,废水排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
cod_emissions,化学需氧量排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
so2_emissions,二氧化硫排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
