field_key,field_name_cn,category,indicator_type,value_type,value,raw_value,unit,year,column_label,row_label,topic,table_title,page_image,evidence_text,status,confidence,match_reason
total_ghg_emissions,温室气体排放总量,E,quantitative,number,809915.05,"809,915.05",吨二氧化碳当量,2024,2024年,温室气体总排放量,,温室气体排放,page_93.png,"温室气体总排放量 吨二氧化碳当量 2023年 587,569.62 2024年 809,915.05",extracted,0.94,heuristic_total_ghg; schema_match_validated
scope_1_emissions,范围一温室气体排放量,E,quantitative,number,18436.68,"18,436.68",吨二氧化碳当量,2024,2024年,范围一排放量,,温室气体排放,page_93.png,"范围一排放量 吨二氧化碳当量 2023年 12,571.88 2024年 18,436.68",extracted,0.96,heuristic_scope_1; schema_match_validated
scope_2_emissions,范围二温室气体排放量,E,quantitative,number,218194.61,"218,194.61",吨二氧化碳当量,2024,2024年,范围二排放量（基于位置）,,温室气体排放,page_93.png,"范围二排放量（基于位置） 吨二氧化碳当量 2023年 194,532.85 2024年 218,194.61",extracted,0.96,heuristic_scope_2; schema_match_validated
scope_3_emissions,范围三温室气体排放量,E,quantitative,number,590000.65,"590,000.65",吨二氧化碳当量,2024,2024年,范围三排放量,,温室气体排放,page_93.png,"范围三排放量 吨二氧化碳当量 2023年 380,465.09 2024年 590,000.65",extracted,0.94,heuristic_scope_3; schema_match_validated
ghg_emissions_intensity,温室气体排放强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
energy_consumption_total,能源消耗总量,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
energy_consumption_intensity,能源消耗强度,E,quantitative,number,,,,,,,,,,,missing,0.0,not_found
electricity_consumption,电力消耗量,E,quantitative,number,403816.34,"403,816.34",兆瓦时,2024,2024年,电力总耗电量,,能源管理,page_93.png,"电力总耗电量 兆瓦时 2023年 343,484.87 2024年 403,816.34",extracted,0.92,heuristic_electricity; schema_match_validated
renewable_energy_consumption,可再生能源使用量,E,quantitative,number,0,0,兆瓦时,2024,2024年,可再生能源购买量（绿电）,,能源管理,page_93.png,可再生能源购买量（绿电） 兆瓦时 2023年 0 2024年 0,extracted,0.95,llm_match:可再生能源购买量（绿电）属于可再生能源使用量，与 field_key 'renewable_energy_consumption' 的别名 '绿色电力'、'可再生能源使用量' 高度一致，单位兆瓦时（MWh）在 unit_examples 中明确列出。; schema_match_validated
natural_gas_consumption,天然气消耗量,E,quantitative,number,3222676.15,"3,222,676.15",立方米,2024,2024年,天然气使用量,,能源管理,page_93.png,"天然气使用量 立方米 2023年 2,901,374 2024年 3,222,676.15",extracted,0.94,alias_match:天然气使用量; schema_match_validated
